County,Submarket,Neighborhood,Status,Units,End construction,Property name,Street number,Street name,City,Zip, Census tract ,Developer,Property ID
King,K-N,Shoreline,U,221,Jun-2018,Paceline,17202,Aurora Avenue N,Shoreline,98133, 207.00 ,Metropolitan Development Company,472
King,K-SE,Renton,X,157,Oct-2019,Notch,13750,Newcastle Golf Club Road,Newcastle,98059, 251.02 ,Goodman Real Estate,713
Pierce,Pie,Puyallup/Sumner,R,216,Mar-2017,Vintage at South Hill,14104,Meridian Avenue E,Puyallup,98373, 731.07 ,Vintage Housing,722
King,K-E,Bellevue-West,X,183,Jan-2050,Cadillac Site II,1001,106th Avenue NE,Bellevue,98004, 238.02 ,MetLife Real Estate Investments,1171
King,K-E,Woodinville/Totem Lake,A,95,Mar-2017,Woodin Creek Village I - Bldg C,17300,135th Avenue NE,Woodinville,98072, 323.19 ,Weidner Company,1197
King,K-S,West Seattle,U,260,Jul-2017,Whittaker-North Tower,4755,Fauntleroy Way SW,Seattle,98116, 105.00 ,Lennar Multifamily,1397
King,K-E,Bellevue-West,C,20,Jan-2050,,131,102nd Avenue SE,Bellevue,98004, 238.02 ,Vander Hoek Corp,1496
King,K-S,Rainier Valley,X,85,Dec-2018,Cubix Othello,7339,43rd Avenue S,Seattle,98118, 111.01 ,Parkstone Properties,1497
Pierce,Pie,Fircrest/University Place,X,120,Apr-2019,Lot 12,3626,Market Place W,University Place,98466, 723.10 ,SEB,1519
King,K-C,Belltown/Dwntn/S Lk Union,X,539,Jan-2050,Ava,802,Pine Street,Seattle,98101, 73.00 ,Fana Group of Companies,1658
King,K-C,Queen Anne,X,70,Sep-2018,Queen Anne,800,5th Avenue N,Seattle,98109, 67.00 ,Blueprint Capital,2069
King,K-E,Redmond,X,323,Sep-2018,Avalon Esterra Park II,2690,152nd Avenue NE,Redmond,98052, 228.03 ,Avalon Bay Communities,2070
King,K-C,Belltown/Dwntn/S Lk Union,X,332,May-2019,Potala Tower Seattle,2116,4th Avenue,Seattle,98121, 72.00 ,Molasky Group of Companies,2083
King,K-E,Redmond,X,139,Dec-2018,Bond,6000 E,Lake Sammamish Parkway,Redmond,98052, 323.13 ,Main Street Property Group,2125
King,K-E,Redmond,X,192,Jun-2019,Alexan Central Park,16160 NE,80th Street,Redmond,98052, 323.09 ,Trammel Crow Residential,2142
Snohomish,Sno,Central Everett,X,275,Jun-2019,Wharf's End,1301 E,Marine View Drive,Everett,98201, 402.00 ,SeaLevel Properties,2177
King,K-C,Central,X,45,Jun-2019,2301 E Denny,2301 E,Denny Way,Seattle,98122, 77.00 ,Teshome Family,2185
King,K-C,Capitol Hill/Eastlake,X,22,Jul-2018,,2303,Franklin Avenue E,Seattle,98102, 61.00 ,Rudd Development,2207
King,K-C,First Hill,X,565,Jul-2020,North Block,1119,8th Avenue,Seattle,98101, 82.00 ,Lennar Multifamily,2212
King,K-N,Ballard,X,75,Apr-2019,,6416,15th Avenue NW,Seattle,98107, 33.00 ,Pryde + Johnson,2222
King,K-N,Greenlake/Wallingford,X,51,Feb-2019,,4035,Stone Way N,Seattle,98103, 54.00 ,Pryde + Johnson,2223
King,K-N,Greenlake/Wallingford,X,51,Dec-2018,4201 Stone,4201,Stone Way N,Seattle,98103, 50.00 ,Isola Capital Management,2225
King,K-S,Beacon Hill,X,49,Jun-2018,Jefferson Park,2902,Beacon Avenue S,Seattle,98144, 100.00 ,Edge Developers,2245
King,K-C,Central,X,550,Oct-2019,Promenade 23,2301 S,Jackson Street,Seattle,98144, 89.00 ,Vulcan Northwest,2252
King,K-C,First Hill,S,130,Jul-2018,,200,9th Avenue,Seattle,98104, 85.00 ,Seattle Housing Authority,2267
King,K-SE,Auburn,R,295,Jan-2050,Reserve @ Auburn,1233,A Street NE,Auburn,, 305.01 ,AVS Communities,2281
King,K-C,Belltown/Dwntn/S Lk Union,X,136,Oct-2019,,2121,5th Avenue,Seattle,98121, 72.00 ,2121 5th Avenue LLC,2306
King,K-C,First Hill,X,36,Mar-2019,First Hill,1320,University Street,Seattle,98101, 84.00 ,Cyzner Properties,2335
King,K-C,Capitol Hill/Eastlake,X,20,Sep-2018,13th,614,13th Avenue E,Seattle,98102, 65.00 ,Hardy Development Companies,2350
King,K-E,Bellevue-East,X,204,May-2019,AMLI Spring District,1375,121st Avenue NE,Bellevue,98005, 236.01 ,AMLI Residential,2375
King,K-N,Shoreline,X,34,Jan-2050,,3803 NE,155th Street,Lake Forest Park,98155, 213.00 ,AML Construction & Development,2400
King,K-S,Beacon Hill,X,43,Apr-2018,,1807,13th Avenue S,Seattle,98144, 94.00 ,Build Urban,2430
Pierce,Pie,Downtown Tacoma,X,180,Jan-2021,Tacoma Town Center Phase 2,2100,Jefferson Avenue,Tacoma,98402, 616.02 ,North American Asset Management Group,2478
King,K-E,Bellevue-West,C,335,Jun-2018,,752,108th Avenue NE,Bellevue,98004, 238.02 ,Plus Investments USA,2558
King,K-S,Rainier Valley,X,32,Jul-2018,,4716,38th Avenue S,Seattle,98118, 103.00 ,Thatch Real Estate Group,2563
King,K-SE,Auburn,S,295,Sep-2018,Villas @ Auburn,1235,A Street NE,Auburn,98002, 305.01 ,AVS Communities,2564
King,K-C,Capitol Hill/Eastlake,U,42,Dec-2017,,1901,Franklin Avenue E,Seattle,98102, 66.00 ,Meter LLC,2605
King,K-N,University,X,29,Feb-2019,,7012,Roosevelt Way NE,Seattle,98115, 26.00 ,Noren Development,2647
King,K-C,First Hill,R,243,Jan-2019,,620,Terry Avenue,Seattle,98104, 85.00 ,Columbia Pacific Advisors,2675
King,K-S,Beacon Hill,X,72,Jan-2050,Beacon Station Dev,2912,Beacon Avenue S,Seattle,98144, 100.00 ,Landmark Property Holdings,2682
King,K-C,Central,X,280,Jan-2020,,1032 S,Jackson Street,Seattle,98104, 91.00 ,Chinn Investments,2691
King,K-S,Rainier Valley,X,52,Aug-2018,Columbia City Flats,5511,Rainier Avenue S,Seattle,98118, 103.00 ,Columbia Modern Urban,2698
King,K-S,Rainier Valley,X,36,Dec-2019,City Flats,3948 S,Farrar Street,Seattle,98118, 103.00 ,Columbia Modern Urban,2701
King,K-C,Queen Anne,X,42,Jun-2018,,1622,Aurora Avenue N,Seattle,98109, 67.00 ,Cadence Real Estate,2709
King,K-C,Central,X,475,Jan-2050,MidTown Center,2301 E,Union Street,Seattle,98122, 88.00 ,Lennar Multifamily,2710
King,K-E,Bellevue-East,R,30,Jan-2050,,14434 NE,8th Street,Bellevue,98007, 236.03 ,,2712
King,K-E,Bellevue-West,X,257,Aug-2019,Brio,1021,112th Avenue NE,Bellevue,98004, 238.02 ,SU Development,2719
King,K-N,North Seattle,X,24,Jan-2050,,8509,14th Avenue NW,Seattle,98117, 16.00 ,Hybrid Architecture,2723
King,K-N,North Seattle,X,54,Jan-2050,,10540,Greenwood Avenue N,Seattle,98133, 14.00 ,Tiek Guan Company,2734
King,K-N,University,X,64,May-2018,,4536,20th Avenue NE,Seattle,98105, 43.00 ,SeaLevel Properties,2740
King,K-C,Central,S,285,Sep-2018,Seattle University Dorm,1107 E,Madison Street,Seattle,98122, 86.00 ,,2741
Pierce,Pie,Stadium District,U,139,Jul-2017,Grand on Broadway,252,Broadway Avenue,Tacoma,98402, 615.00 ,Wise Real Estate Investments Inc,2745
King,K-N,University,X,59,Oct-2018,University Way Mixed Use,5247,University Way NE,Seattle,98105, 44.00 ,Golden Academy LLC,2747
King,K-C,Central,X,75,Nov-2019,,2925 E,Madison Street,Seattle,98112, 77.00 ,Velmeir Companies,2763
King,K-SE,Auburn,x,149,Jan-2050,,100,A Street SW,Auburn,98002, 305.01 ,Pillar Properties,2770
King,K-SE,Renton,X,74,May-2018,Avana Ridge,17249,Benson Road S,Renton,98055, 258.01 ,SeaLevel Properties,2776
King,K-SE,Kent,R,131,Jan-2050,Larc @ Kent Station,601,1st Avenue N,Kent,98032, 292.03 ,American Capital Development,2786
King,K-C,Central,X,75,Mar-2019,Metro Line Flats,915 E,Spruce Street,Seattle,98122, 86.00 ,Shelter Holdings,2791
King,K-C,Queen Anne,X,77,Jan-2050,,2031,Westlake Avenue N,Seattle,98109, 67.00 ,Midby Companies,2803
King,K-N,Greenlake/Wallingford,X,106,Mar-2019,,6717,Roosevelt Way NE,Seattle,98115, 36.00 ,Pasco Properties,2804
King,K-N,North Seattle,U,215,Sep-2018,Sedona II,8500,20th Avenue NE,Seattle,98115, 21.00 ,Epic Asset Management,2978
King,K-C,Belltown/Dwntn/S Lk Union,x,152,Jan-2050,Car Toys Building,307,Broad Street,Seattle,98121, 72.00 ,Connell Real Estate & Development,3076
King,K-E,Issaquah,X,110,Dec-2018,Vale,955,7th Avenue NW,Issaquah,98027, 321.03 ,SeaLevel Properties,3104
Snohomish,Sno,Silver Lake,X,42,Jan-2050,148th Street Townhouses,3123,148th Street SW,Lynnwood,98087, 418.04 ,Mietzner Group,3129
King,K-C,Queen Anne,C,70,Jan-2050,,1415,Dexter Avenue N,Seattle,98109, 67.00 ,Polygon Northwest,3202
Snohomish,Sno,Mountlake Terrace,T,276,Jan-2050,Scriber Creek,20917,44th Avenue W,Lynnwood,98036, 519.05 ,Magnum Construction,3254
Snohomish,Sno,Mountlake Terrace,x,100,Mar-2020,Andorra Estates II,22817,Lakeview Drive,Mountlake Terrace,98043, 510.00 ,Weidner Company,3275
King,K-N,North Seattle,X,224,Oct-2020,,820 N,85th Street,Seattle,98103, 18.00 ,Shea Properties,3308
King,K-C,First Hill,U,107,Feb-2018,Boylston Flats,1404,Boylston Avenue,Seattle,98122, 84.00 ,Johnson & Carr,3325
King,K-E,Issaquah,x,93,Jan-2050,Inneswood Estates,905,Newport Way NW,Issaquah,98027, 321.03 ,Belmont Homes,3389
King,K-N,Shoreline,X,81,Jan-2019,Arabella II,1301 NE,180th Street,Shoreline,98133, 207.00 ,Epic Asset Management,3391
King,K-E,Issaquah,U,398,Sep-2018,Anthology,2290,Newport Way NW,Issaquah,98027, 321.03 ,Wolff Company,3393
Pierce,Pie,Downtown Tacoma,S,44,Jun-2018,Colonial Court,702,Pacific Avenue,Tacoma,98402, 616.01 ,Capital Management Advisors,3441
King,K-C,Capitol Hill/Eastlake,U,49,Mar-2018,TOD,120,10th Avenue E,Seattle,98102, 75.00 ,Eagle Rock Ventures,3561
Pierce,Pie,Downtown Tacoma,X,239,Jan-2050,Sevencom,719,Broadway Street,Tacoma,98402, 616.01 ,Boulevard Group,3583
King,K-S,West Seattle,U,58,Jul-2017,Vega,4528,44th Avenue SW,Seattle,98116, 105.00 ,Blueprint Capital,3590
King,K-C,Belltown/Dwntn/S Lk Union,X,433,Jan-2050,3rd & Virginia,2000,3rd Avenue,Seattle,98121, 72.00 ,bcIMC,3602
King,K-N,University,U,210,Jun-2017,Augusta,4041,Roosevelt Way NE,Seattle,98105, 52.00 ,Vulcan Northwest,3606
King,K-S,West Seattle,R,48,Jan-2050,Living Care Senior Lifestyles,4515,41st Avenue SW,Seattle,98116, 105.00 ,BCK Investments,3608
Snohomish,Sno,Lynnwood,R,308,Jan-2020,City Center at Lynnwood,19501,40th Avenue W,Lynnwood,98036, 517.02 ,Senior Housing Assistance Group,3628
King,K-C,Belltown/Dwntn/S Lk Union,X,424,Aug-2019,1800,1800,Terry Avenue,Seattle,98101, 73.00 ,Seawest Investment Associates,3638
King,K-N,North Seattle,R,80,Jan-2050,Lake City Seniors,13730,Lake City Way NE,Seattle,98125, 1.00 ,Steve Smith Development,3656
King,K-C,Belltown/Dwntn/S Lk Union,X,400,Jan-2050,600 Wall,600,Wall Street,Seattle,98121, 72.00 ,Laconia Development,3676
King,K-N,North Seattle,U,108,Nov-2017,Cubix 109,1008 N,109th Street,Seattle,98133, 4.02 ,Parkstone Properties,3726
King,K-C,Central,T,70,Jan-2050,Gateway Square,1020 S,Dearborn Street,Seattle,98104, 91.00 ,Coho Real Estate,3802
King,K-C,Magnolia,X,24,Jan-2050,Yoshikawa Mixed Use,2406,32nd Avenue W,Seattle,98199, 57.00 ,Yoshikawa Investments,3829
King,K-C,Belltown/Dwntn/S Lk Union,U,398,Jul-2017,Helios,204,Pine Street,Seattle,98101, 81.00 ,Equity Residential,3834
King,K-N,North Seattle,M,152,Jun-2017,Lake City,3310 NE,125th Street,Seattle,98125, 1.00 ,Kauri Investments,3907
King,K-N,North Seattle,R,109,Jan-2018,Linden Village,13524,Linden Avenue N,Seattle,98133, 4.01 ,Tribrach Partners,3927
King,K-C,Belltown/Dwntn/S Lk Union,X,236,Jan-2050,Altitude Hotel & Residences,1903,5th Avenue,Seattle,98101, 72.00 ,Cresleigh Homes,3941
King,K-S,Rainier Valley,C,27,Jan-2050,,6515,38th Avenue S,Seattle,98118, 110.00 ,,3950
King,K-C,Central,U,52,Aug-2017,Le Madison,2305 E,Madison Street,Seattle,98112, 77.00 ,Hamilton Urban Partners,3967
King,K-C,Central,U,41,Jul-2017,,1141,Martin Luther King Jr Way,Seattle,98122, 88.00 ,Madrona Company,3980
King,K-C,Queen Anne,U,296,Oct-2017,Leeward,1305,Dexter Avenue N,Seattle,98109, 67.00 ,Shea Properties,4016
Pierce,Pie,Downtown Tacoma,X,233,Sep-2019,Elan on St Helens,429,St Helens Avenue,Tacoma,98402, 616.01 ,Commencement Bay Development,4019
King,K-E,Bellevue-West,X,100,Jan-2050,Bellevue Plaza,117,106th Avenue NE,Bellevue,98004, 238.02 ,Vulcan Northwest,4029
King,K-N,Ballard,M,61,Jan-2018,Giardino,1514 NW,52nd Street,Seattle,98107, 47.00 ,Calhoun Properties,4032
King,K-N,Ballard,X,30,May-2018,,1443 NW,63rd Street,Seattle,98107, 33.00 ,Greenbuild Development,4045
King,K-S,Rainier Valley,S,31,Jan-2050,,2914 S,McClellan Street,Seattle,98144, 95.00 ,Mt Baker Housing Association,4051
King,K-N,University,M,59,Mar-2018,Cielo South,4520,7th Avenue NE,Seattle,98105, 52.00 ,Calhoun Properties,4055
King,K-C,Central,X,42,Jan-2050,,355,15th Avenue,Seattle,98122, 86.00 ,Dep Homes,4076
King,K-N,Greenlake/Wallingford,X,20,Jan-2050,,811 NE,66th Street,Seattle,98115, 36.00 ,Mid City Builders,4079
