Name,long,lat
University of Washington Station,-122.303873,47.649856
Capitol Hill Station,-122.320179,47.619726
Stadium Station,-122.326997,47.591152
Sodo Station,-122.327295,47.581153
Beacon Hill Station,-122.31165,47.579188
University Street Station,-122.335644,47.607046
Columbia City Station,-122.292728,47.55968
International District/Chinatown Station - Bay C,-122.328149,47.59805
Mount Baker Station,-122.297688,47.576342
Westlake Station,-122.337076,47.611493
Rainier Beach Station,-122.279413,47.522381
Othello Station,-122.281476,47.537953
Pioneer Square Station,-122.331592,47.603132
