OBJECTID,STREET_NAME,LENGTH_MILES,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,CATALYTIC_PROJECTS,STATUS,NETWORK,COMPKEY,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,Shape,Shape_Length
1,RENTON AVE S,0.09398593,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12551,698,,,"(47.50067928200008, -122.24993698999998)",496.2457315
2,21ST AVE W,0.18996838,,Sharrow,Neighborhood Greenway,0,NA,CITYWIDE,3212,181,,,"(47.64201165700007, -122.38328161199996)",1003.033029
3,VALLEY ST,0.06838861,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,13267,384,,,"(47.62578474600008, -122.33581704399995)",361.0918742
4,39TH AVE NE,0.11985233,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,5986,0,,,"(47.666840335000074, -122.28553618199999)",632.6576763
5,2ND AV ET S,0.06825818,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,2926,215,,,"(47.60087849000007, -122.33121486499999)",360.4032156
6,5TH AVE,0.04303191,12/31/2016 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,NA,CITYWIDE,7223,316,,,"(47.60168377100007, -122.32765594099999)",227.2084701
7,5TH AVE,0.05791326,12/31/2016 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,NA,CITYWIDE,7225,316,,,"(47.60298463200007, -122.32853488999996)",305.7819893
8,20TH AVE S,0.05787491,12/31/2009 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,CITYWIDE,3038,153,,,"(47.60083481500004, -122.30635358499995)",305.579532
9,RENTON AVE S,0.04692165,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12520,699,,,"(47.52855283700006, -122.27794189999997)",247.7463006
10,LATONA AVE NE,0.05111303,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,11304,535,,,"(47.67009744100005, -122.32554278799995)",269.8767851
11,RENTON AVE S,0.06311454,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12513,699,,,"(47.53337870200005, -122.27885219499996)",333.2444561
12,S MYRTLE ST,0.2181314,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,20912,756,,,"(47.53895778300006, -122.29608148499995)",1151.733817
13,BLANCHARD ST,0.06098207,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,9294,378,,,"(47.61460039800005, -122.34263408699996)",321.9853156
14,RENTON AVE S,0.05118544,12/31/2011 12:00:00 AM +0000,,,0,MEETS,LOCAL,587361,0,,,"(47.56516284500003, -122.29265290399997)",270.2591489
15,1ST PL NE,0.20392755,,Sharrow,"In Street, Major Separation",0,NA,CITYWIDE,1265,161,,,"(47.71286112100006, -122.32724452299999)",119.4277411
16,N 125TH ST,0.12534918,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,15132,0,,,"(47.71957221100007, -122.34493681899994)",661.8436808
17,ROOSEVELT WAY NE,0.10068134,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,CITYWIDE,12598,705,,,"(47.65985017300005, -122.31774151099995)",531.5665934
18,RENTON AVE S,0.01166819,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,337245,697,,,"(47.51188147500005, -122.26206370299997)",61.60805609
19,BEACH DR SW,0.07502599,12/31/2000 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,LOCAL,9090,364,,,"(47.573052715000074, -122.41478227599998)",395.898099
20,ROOSEVELT WAY NE,0.05000218,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,NA,CITYWIDE,12634,701,,,"(47.68964535500004, -122.31760348899996)",264.0115135
21,MARION ST,0.06098993,12/31/2011 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,CITYWIDE,11670,560,,,"(47.60769538900007, -122.32670832099996)",322.0268366
22,CALIFORNIA AVE SW,0.05490822,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,9568,0,,,"(47.54227972600006, -122.38724307099994)",289.915406
23,16TH AVE S,0.3039334,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,,,,,,,,"(47.567237972000044, -122.31264425399996)",1566.670237
