,OBJECTID,STREET_NAME,LENGTH_MILES,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,CATALYTIC_PROJECTS,STATUS,NETWORK,COMPKEY,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,Shape,Shape_Length,BG_geoid,BG_label
0,1,RENTON AVE S,0.09398593,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12551.0,698.0,,,"(47.50067928200008, -122.24993698999998)",496.24573150000003,530330119002,Blkgrp 0119002
1,2,21ST AVE W,0.18996838,,Sharrow,Neighborhood Greenway,0.0,,CITYWIDE,3212.0,181.0,,,"(47.64201165700007, -122.38328161199996)",1003.0330289999999,530330058023,Blkgrp 0058023
2,3,VALLEY ST,0.06838861,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,13267.0,384.0,,,"(47.62578474600008, -122.33581704399995)",361.0918742,530330066001,Blkgrp 0066001
3,4,39TH AVE NE,0.11985233,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0.0,MEETS,CITYWIDE,5986.0,0.0,,,"(47.666840335000074, -122.28553618199999)",632.6576762999999,530330042004,Blkgrp 0042004
4,5,2ND AV ET S,0.06825818,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,2926.0,215.0,,,"(47.60087849000007, -122.33121486499999)",360.40321560000007,530330092002,Blkgrp 0092002
5,6,5TH AVE,0.04303191,12/31/2016 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0.0,,CITYWIDE,7223.0,316.0,,,"(47.60168377100007, -122.32765594099999)",227.2084701,530330092001,Blkgrp 0092001
6,7,5TH AVE,0.05791326,12/31/2016 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0.0,,CITYWIDE,7225.0,316.0,,,"(47.60298463200007, -122.32853488999996)",305.7819893,530330081002,Blkgrp 0081002
7,8,20TH AVE S,0.05787491,12/31/2009 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,CITYWIDE,3038.0,153.0,,,"(47.60083481500004, -122.30635358499995)",305.579532,530330090002,Blkgrp 0090002
8,9,RENTON AVE S,0.04692165,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12520.0,699.0,,,"(47.52855283700006, -122.27794189999997)",247.7463006,530330117001,Blkgrp 0117001
9,10,LATONA AVE NE,0.05111303,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,11304.0,535.0,,,"(47.67009744100005, -122.32554278799995)",269.8767851,530330045002,Blkgrp 0045002
10,11,RENTON AVE S,0.06311454,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12513.0,699.0,,,"(47.53337870200005, -122.27885219499996)",333.24445610000004,530330111013,Blkgrp 0111013
11,12,S MYRTLE ST,0.21813139999999998,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,20912.0,756.0,,,"(47.53895778300006, -122.29608148499995)",1151.733817,530330110021,Blkgrp 0110021
12,13,BLANCHARD ST,0.06098207,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0.0,UPGRADE,LOCAL,9294.0,378.0,,,"(47.61460039800005, -122.34263408699996)",321.98531560000004,530330072001,Blkgrp 0072001
13,14,RENTON AVE S,0.05118544,12/31/2011 12:00:00 AM +0000,,,0.0,MEETS,LOCAL,587361.0,0.0,,,"(47.56516284500003, -122.29265290399997)",270.25914889999996,530330101003,Blkgrp 0101003
14,15,1ST PL NE,0.20392755,,Sharrow,"In Street, Major Separation",0.0,,CITYWIDE,1265.0,161.0,,,"(47.71286112100006, -122.32724452299999)",119.42774109999999,530330006005,Blkgrp 0006005
15,16,N 125TH ST,0.12534918,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0.0,MEETS,LOCAL,15132.0,0.0,,,"(47.71957221100007, -122.34493681899994)",661.8436807999999,530330004022,Blkgrp 0004022
16,17,ROOSEVELT WAY NE,0.10068134,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation",,0.0,MEETS,CITYWIDE,12598.0,705.0,,,"(47.65985017300005, -122.31774151099995)",531.5665934,530330052005,Blkgrp 0052005
17,18,RENTON AVE S,0.01166819,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,337245.0,697.0,,,"(47.51188147500005, -122.26206370299997)",61.60805609,530330119001,Blkgrp 0119001
18,19,BEACH DR SW,0.07502599,12/31/2000 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,LOCAL,9090.0,364.0,,,"(47.573052715000074, -122.41478227599998)",395.898099,530330097013,Blkgrp 0097013
19,20,ROOSEVELT WAY NE,0.05000218,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,,CITYWIDE,12634.0,701.0,,,"(47.68964535500004, -122.31760348899996)",264.0115135,530330020001,Blkgrp 0020001
20,21,MARION ST,0.06098993,12/31/2011 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,CITYWIDE,11670.0,560.0,,,"(47.60769538900007, -122.32670832099996)",322.0268366,530330085001,Blkgrp 0085001
21,22,CALIFORNIA AVE SW,0.05490822,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0.0,MEETS,LOCAL,9568.0,0.0,,,"(47.54227972600006, -122.38724307099994)",289.915406,530330106003,Blkgrp 0106003
22,23,16TH AVE S,0.3039334,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,,,,,,,,"(47.567237972000044, -122.31264425399996)",1566.6702369999998,530330100012,Blkgrp 0100012
23,24,DEXTER AVE N,0.01995247,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,MEETS,CITYWIDE,10076.0,870.0,,,"(47.624549726000055, -122.34234960099997)",105.3490254,530330072001,Blkgrp 0072001
