name,long,lat
12th and Howe Play Park,-122.372985,47.636097
12th Ave S Viewpoint,-122.317765,47.577953
12th Ave Square Park,-122.316455,47.607427
14th Ave NW Boat Ramp,-122.373536,47.660775
3001 E Madison,-122.293173,47.625169
32nd Ave W Boat Launch,-122.398685,47.632345
6th Ave NW Pocket Park,-122.363566,47.684202
A. B. Ernst Park,-122.348826,47.650087
Adams Street Boat Ramp,-122.267178,47.565219
Albert Davis Park,-122.298752,47.72016
Alki Beach Park,-122.402173,47.582912
Alki Playground,-122.407312,47.578497
Alvin Larkins Park,-122.288745,47.614318
Amy Yee Tennis Center,-122.29742,47.584876
Andover Place,-122.409993,47.568517
Arapahoe Triangle,-122.409139,47.65129
Arroyos Natural Area,-122.387822,47.505679
Atlantic City Boat Ramp,-122.263078,47.522834
Atlantic Street Park,-122.30566,47.589165
B.F. Day Playground,-122.349222,47.65603
Bagley Viewpoint,-122.318347,47.643015
Baker Park on Crown Hill,-122.374794,47.690119
Ballard Commons Park,-122.385487,47.670549
Ballard Corners Park,-122.379116,47.674186
Ballard Playground,-122.39155,47.672786
Banner Way Triangle,-122.32343,47.685762
Bar-S Playground,-122.416054,47.575195
Bayview Playground,-122.386786,47.643802
Bayview-Kinnear (Lower Kerry Park),-122.360626,47.628948
Beacon Hill Playground,-122.315325,47.586226
Beacon Place,-122.318716,47.596236
Beaver Pond Natural Area on Thornton Creek,-122.323168,47.703288
Beck Place,-122.312027,47.671888
Beer Sheva Park,-122.263223,47.524191
Bell Street Park,-122.344866,47.614696
Bellevue Place,-122.327658,47.626904
Belltown Cottage Park,-122.350776,47.613889
Belmont Place,-122.324408,47.625727
Belvedere Park,-122.376896,47.580673
Belvoir Place,-122.283215,47.655124
Benefit Playground,-122.284294,47.518998
Benvenuto Viewpoint,-122.303029,47.589841
Bergen Place,-122.384495,47.66833
Bhy Kracke Park,-122.348403,47.630426
Bitter Lake Playfield,-122.349314,47.724209
Bitter Lake Reservoir Open Space,-122.348583,47.731181
Blaine Place,-122.364152,47.626809
Blue Dog Pond,-122.297814,47.589982
Blue Ridge Circle,-122.380095,47.70439
Blue Ridge Place,-122.381171,47.703423
Boren Place,-122.320952,47.604999
Boylston Place,-122.32094,47.609976
Bradner Gardens Park,-122.295426,47.587419
Brighton Playfield,-122.2821,47.548387
Broadview Park,-122.355836,47.717936
Bryant Neighborhood Playground,-122.283644,47.675299
Burke-Gilman Playground Park,-122.282623,47.666634
Cal Anderson Park and Bobby Morris Playfield,-122.319134,47.617013
California Place,-122.386696,47.585641
Camp Long,-122.373161,47.556242
Carkeek Park,-122.379763,47.712194
Carleton Center,-122.406385,47.639414
Carleton Highlands,-122.415934,47.650028
Cascade Place,-122.358092,47.666216
Cascade Playground,-122.332355,47.621405
Cedar Park,-122.288042,47.725808
Cesar Chavez Park,-122.32562,47.52678
Charles Richey Sr Viewpoint,-122.413877,47.57242
Cheasty Boulevard,-122.299204,47.572682
Cheasty GS: Cheasty Blvd,-122.299204,47.572682
Chinook Beach Park,-122.258376,47.520135
Christie Park,-122.319072,47.659308
City Hall Park,-122.329875,47.602022
Cleveland Playfield,-122.315542,47.552012
Coe Play Park,-122.365952,47.640108
College Street Park,-122.294616,47.582697
College Street Ravine,-122.395546,47.583406
Colman Park,-122.288612,47.58547
Colman Playground,-122.301957,47.587625
Columbia Park,-122.287394,47.559792
Commodore Park,-122.40014,47.66538
Corliss Place,-122.330874,47.665198
Cormorant Cove,-122.412089,47.570984
Cottage Grove Park,-122.365311,47.554364
Counterbalance Park: An Urban Oasis,-122.356323,47.625683
Cowen Park,-122.313072,47.672596
Crescent Place,-122.333029,47.684317
Crown Hill Glen,-122.381394,47.693703
Crown Hill Park,-122.373976,47.696071
Daejeon Park,-122.312163,47.59192
Dahl Playfield,-122.299309,47.685267
Dakota Place Park,-122.387164,47.566844
David Rodgers Park,-122.359484,47.644135
Day Street Boat Ramp,-122.285154,47.59026
Dearborn Park,-122.296225,47.553389
Delridge Playfield,-122.364371,47.562842
Denny Blaine Lake Park,-122.284838,47.61833
Denny Blaine Park,-122.280548,47.62011
Denny Park,-122.341049,47.61913
Discovery Park,-122.415282,47.66083
Don Armeni Park,-122.382295,47.59274
Dr. Blanche Lavizzo Park,-122.304179,47.600278
Dr. Jose Rizal Park,-122.318094,47.593859
Duwamish Waterway Park,-122.319694,47.531156
E.C. Hughes Playground,-122.369545,47.532805
East Montlake Park,-122.301441,47.646662
East Portal Viewpoint,-122.287893,47.590222
East Queen Anne Playground,-122.353786,47.636139
Eastlake Triangle,-122.328918,47.62841
Eastmont Place,-122.405566,47.637689
Eddie Vine Boat Ramp,-122.403454,47.686852
Ella Bailey Park,-122.39106,47.640584
Emma Schmitz Memorial Overlook,-122.40712,47.562898
Endolyne Park,-122.39438,47.514542
Ercolini Park,-122.394275,47.515021
Fairmount Playfield,-122.380549,47.554041
Fairview Park,-122.325368,47.647413
Fairview Walkway,-122.328967,47.630501
Fauntleroy Creek Ravine,-122.392498,47.522599
Fauntleroy Park,-122.383222,47.5192
Fauntleroy Place,-122.379834,47.562715
Ferdinand Street Boat Ramp,-122.264912,47.561358
Firehouse Mini Park,-122.308558,47.608448
First Hill Park,-122.325512,47.611906
Fletcher Place,-122.261484,47.519093
Flo Ware Park,-122.295868,47.599557
Freeway Park - Jim Ellis Freeway Park,-122.330904,47.609472
Fremont Canal Park,-122.357864,47.651802
Fremont Peak Park,-122.356671,47.661108
Frink Park,-122.290256,47.599506
Froula Playground,-122.313978,47.680538
Garfield Playfield,-122.301412,47.607098
Gas Works Park,-122.334906,47.645639
Genesee Park and Playfield,-122.278744,47.564856
Georgetown Playfield,-122.321396,47.55162
Gerber Park,-122.296568,47.607709
Gilman Playground,-122.369684,47.667292
Golden Gardens Park,-122.403454,47.686852
Grand Army of the Republic Cemetery,-122.316261,47.636461
Green Lake Park,-122.330394,47.678938
Greenwood Park,-122.350647,47.693048
Greenwood Triangle,-122.361032,47.668902
Greg Davis Park,-122.366001,47.55437
Hamilton Viewpoint Park,-122.38907,47.590748
Harborview Park,-122.323693,47.603014
Harrison Ridge Greenbelt,-122.290339,47.619711
Harvard-Miller/Roanoke Annex,-122.321643,47.641091
Herring's House Park (T'ul'altx),-122.349545,47.561514
Hiawatha Playfield,-122.384965,47.578272
Highland Drive Parkway,-122.353337,47.629736
Highland Park Playground,-122.349034,47.52738
Highland Place,-122.355466,47.629656
Hing Hay Park,-122.325435,47.598609
Hitt's Hill Park,-122.28455,47.554207
Homer Harris Park,-122.300994,47.617309
Horiuchi Park,-122.318982,47.603132
Horton Hill Corridor,-122.287187,47.573846
Howell Park,-122.280313,47.617518
Hubbard Homestead,-122.324674,47.709964
Hunter Boulevard,-122.285153,47.573877
Hutchinson Playground,-122.260062,47.514312
Hyde Place,-122.282887,47.632304
I-5 Colonnade,-122.323409,47.634898
Interbay Athletic Complex,-122.379191,47.647239
Interbay Golf,-122.378455,47.643753
Interlaken Park,-122.308316,47.636257
International Children's Park,-122.323412,47.596897
Inverness Ravine Park,-122.280809,47.691145
Jackson Park Golf Course,-122.319103,47.729254
Japanese Garden,-122.2952,47.627312
Jefferson Park,-122.311441,47.568067
Jefferson Park Golf Course,-122.305242,47.567202
Jimi Hendrix Park,-122.300842,47.588907
"John C. Little, Sr. Park",-122.286686,47.539048
Judge Charles M. Stokes Overlook,-122.306962,47.591632
Judkins Park and Playfield,-122.303951,47.592425
Junction Plaza,-122.385491,47.561204
Katie Black's Garden,-122.317642,47.590421
Kerry Park,-122.359874,47.629023
Keystone Place,-122.333769,47.670304
Kilbourne Park,-122.388277,47.52133
Kingfisher Natural Area on Thornton Creek,-122.312411,47.704889
Kinnear Park,-122.367207,47.627317
Kirke Park,-122.368021,47.680338
Kiwanis Memorial Preserve Park,-122.401004,47.66197
Kiwanis Memorial Preserve Park,-122.403237,47.660251
Kobe Terrace,-122.324494,47.60042
Kubota Garden,-122.266125,47.513543
Lake City Memorial Triangle,-122.295266,47.718819
Lake City Mini Park,-122.295875,47.71911
Lake People Park (Xacua'bs),-122.292012,47.569133
Lake Union Park,-122.338848,47.627015
Lakeridge Park,-122.247429,47.506033
Lakeridge Playfield,-122.246841,47.510319
Lakeview Park,-122.284732,47.62205
Lakeview Place,-122.325705,47.62939
Lakewood Moorage,-122.268295,47.562981
Lakewood Playfield,-122.27006,47.558831
Lakewood Triangle,-122.28372,47.576058
Lambert Place,-122.283837,47.632017
Landing Parkway,-122.283396,47.573861
Laurelhurst Playfield,-122.278019,47.65989
Laurelhurst Triangle,-122.277487,47.652696
LaVilla Meadows Natural Area on Thornton Creek,-122.299926,47.701262
Lawton Park,-122.391158,47.655065
Leschi Park,-122.286548,47.600931
Leschi-Lake Dell Natural Area,-122.287835,47.604695
Lewis Park,-122.314435,47.592857
Licorice Fern Natural Area on Thornton Creek,-122.315433,47.723106
Licton Springs Park,-122.338735,47.698542
Lincoln Park,-122.396012,47.531176
Linden Orchard Park,-122.347727,47.678016
Little Brook Park,-122.294567,47.731387
Llandover Woods Greenspace,-122.364545,47.733024
Longfellow Creek Greenspace,-122.363435,47.530167
Louisa Boren Park,-122.311628,47.635274
Lowman Beach Park,-122.396728,47.540367
Loyal Heights Playfield,-122.38324,47.684106
Lynn Street Mini Park,-122.32975,47.639849
MacLean Park,-122.345276,47.636191
Madison Park,-122.276602,47.635779
Madison Park North Beach,-122.276118,47.639084
Madrona Briar Patch,-122.284261,47.615231
Madrona Park,-122.282679,47.609299
Madrona Playground,-122.289885,47.611022
Madrona Ravine,-122.285412,47.611456
Magnolia Greenbelt,-122.389073,47.636006
Magnolia Manor Park,-122.390877,47.651085
Magnolia Park,-122.398993,47.632366
Magnolia Playfield,-122.399472,47.643746
Magnolia Tidelands Park,-122.391648,47.630922
Magnuson Park,-122.255084,47.680304
Maple Leaf Community Garden,-122.322269,47.70326
Maple Leaf Resevoir Park,-122.315613,47.689015
Maple School Ravine,-122.308342,47.551071
Maple Wood Playfield,-122.318845,47.560041
Marra-Desimone Park,-122.329372,47.522124
Marshall Park,-122.366805,47.629436
Martha Washington Park,-122.260054,47.542398
"Martin Luther King, Jr. Memorial",-122.297165,47.582756
Marvin's Garden,-122.384972,47.667976
Matthews Beach Park,-122.271785,47.694564
Mayfair Park,-122.353356,47.643241
McClellan Place,-122.311648,47.578695
McGilvra Boulevard,-122.282116,47.626925
McGilvra Place,-122.313032,47.614233
