School name,Grade Level,Year,Principal's name,School web address,# Students,# Teachers,Students per teacher,Average daily attendance,Student mobility,Proficient on state ELA test - Grade 3,Proficient on state ELA test - Grade 3 - Last year,Proficient on state Math test - Grade 3,Proficient on state Math test - Grade 3 - Last year,Proficient on state ELA test - Grade 4,Proficient on state ELA test - Grade 4 - Last year,Proficient on state Math test - Grade 4,Proficient on state Math test - Grade 4 - Last year,Proficient on state ELA test - Grade 5,Proficient on state ELA test - Grade 5 - Last year,Proficient on state Math test - Grade 5,Proficient on state Math test - Grade 5 - Last year,Proficient on state Science test - Grade 5,Proficient on state Science test - Grade 5 - Last year,Proficient on state Science test - Grade 5 - Two years ago,Proficient on state ELA test - Grade 6,Proficient on state ELA test - Grade 6 - Last year,Proficient on state Math test - Grade 6,Proficient on state Math test - Grade 6 - Last year,Proficient on state ELA test - Grade 7,Proficient on state ELA test - Grade 7 - Last year,Proficient on state Math test - Grade 7,Proficient on state Math test - Grade 7 - Last year,Proficient on state ELA test - Grade 8,Proficient on state ELA test - Grade 8 - Last year,Proficient on state Math test - Grade 8,Proficient on state Math test - Grade 8 - Last year,Proficient on state Science test - Grade 8,Proficient on state Science test - Grade 8 - Last year,Proficient on state Science test - Grade 8 - Two years ago,Taking and Passing Algebra 1B by 8th grade,Taking and Passing Algebra 1B by 8th grade - Last year,Proficient on state ELA test - Grade 10,Proficient on state ELA test - Grade 10 - Last year,Proficient on state ELA test - Grade 11,Proficient on state ELA test - Grade 11 - Last year,Proficient on state Math test - Grade 11,Proficient on state Math test - Grade 11 - Last year,9th and 10th graders proficient on the state Biology test,9th and 10th graders proficient on the state Biology test - Last year,9th and 10th graders proficient on the state Biology test - Two years ago,10th graders meeting state testing requirements,10th graders meeting state testing requirements - Last year,9th graders earning sufficient credits,9th graders earning sufficient credits - Last year,9th graders earning sufficient credits - Two years ago,Students graduating in 4 years or fewer,Students graduating in 4 years or fewer - Last year,Students graduating in 4 years or fewer - Two years ago,Students graduating in 6 years or fewer,Students graduating in 6 years or fewer - Last year,Students graduating in 6 years or fewer - Two years ago,Students taking and passing a college-level course by 12th grade,Students taking and passing a college-level course by 12th grade - Last year,Students with fewer than 10 absences per year ,Students with fewer than 10 absences per year  - Last year,Students with fewer than 10 absences per year  - Two years ago,Family perceptions of School-Family Engagement,Family perceptions of School-Family Engagement - Last year,Family perceptions of School-Family Engagement - Two years ago,Family satisfaction with school quality,Family satisfaction with school quality - Last year,Family satisfaction with school quality - Two years ago,Student perceptions of school climate,Staff perceptions of professional environment,Staff perceptions of professional environment - Last year,Staff perceptions of professional environment - Two years ago,Families responding to survey,Families responding to survey - Last year,School demographics: % American Indian,School demographics: % Black,School demographics: % Hispanic,School demographics: % Asian/Pacific-Islander,School demographics: % White,School demographics: % Multiracial/Unknown,School demographics: % Free/Reduced Lunch,School demographics: % English Language Learners,School demographics: % Special Education,School demographics: % AL Eligible,Reading Proficiency: ALL,Reading Proficiency: ALL - Change over last year,Reading Proficiency: American Indian,Reading Proficiency: American Indian - Change over last year,Reading Proficiency: Black,Reading Proficiency: Black - Change over last year,Reading Proficiency: Hispanic,Reading Proficiency: Hispanic - Change over last year,Reading Proficiency: Asian/ Pacific-Islander,Reading Proficiency: Asian/ Pacific-Islander - Change over last year,Reading Proficiency: White,Reading Proficiency: White - Change over last year,Reading Proficiency: Multiracial/Unknown,Reading Proficiency: Multiracial/Unknown - Change over last year,Reading Proficiency: Free/Reduced Lunch,Reading Proficiency: Free/Reduced Lunch - Change over last year,Reading Proficiency: English Language Learners,Reading Proficiency: English Language Learners - Change over last year,Reading Proficiency: Special Education,Reading Proficiency: Special Education - Change over last year,Reading Proficiency: Gifted,Reading Proficiency: Gifted - Change over last year,Math Proficiency: ALL,Math Proficiency: ALL - Change over last year,Math Proficiency: American Indian,Math Proficiency: American Indian - Change over last year,Math Proficiency: Black,Math Proficiency: Black - Change over last year,Math Proficiency: Hispanic,Math Proficiency: Hispanic - Change over last year,Math Proficiency: Asian/ Pacific-Islander,Math Proficiency: Asian/ Pacific-Islander - Change over last year,Math Proficiency: White,Math Proficiency: White - Change over last year,Math Proficiency: Multiracial/Unknown,Math Proficiency: Multiracial/Unknown - Change over last year,Math Proficiency: Free/Reduced Lunch,Math Proficiency: Free/Reduced Lunch - Change over last year,Math Proficiency: English Language Learners,Math Proficiency: English Language Learners - Change over last year,Math Proficiency: Special Education,Math Proficiency: Special Education - Change over last year,Math Proficiency: Gifted,Math Proficiency: Gifted - Change over last year
District - Elementary,ES,2015-16,NA,www.seattleschools.org,27760,-,-,-,-,0.65445,0.62267,0.6881,0.63959,0.66923,0.64945,0.66612,0.6368,0.6925,0.65842,0.60088,0.56166,0.74333,0.71519,0.75979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.73934,0.74502,0.76738,0.765,0.733,0.77,0.837,0.812,0.829,0.591,0.711,0.721,0.685,0.308,0.25242,0.00418,0.14438,0.11974,0.12972,0.48573,0.11625,0.35616,0.14521,0.11243,0.15303,0.67125,0.02837,0.3871,0.0746,0.34839,0.01048,0.46922,0.01622,0.68676,0.03756,0.81234,0.02482,0.70528,0.02878,0.41975,-0.00127,0.23107,0.02426,0.45058,0.00491,0.94834,0.00743,0.65352,0.03936,0.35484,0.00916,0.35273,0.04316,0.46048,0.05239,0.71938,0.04278,0.77456,0.03006,0.67228,0.02511,0.42218,0.02461,0.32821,0.06758,0.44229,0.03701,0.95448,0.00993
District - High School,MS,2015-16,NA,www.seattleschools.org,10803,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.64903,0.63554,0.61557,0.57764,0.66924,0.62452,0.62885,0.60532,0.67821,0.61185,0.61966,0.56433,0.735,0.66548,0.76719,0.46985,0.50507,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.65555,0.65814,0.67029,0.666,0.629,0.667,0.745,0.696,0.733,0.456,0.692,0.691,0.661,0.232,0.21152,0.00833,0.16014,0.12469,0.17347,0.45728,0.07609,0.40091,0.08211,0.137,0.26446,0.66513,0.04084,0.37079,0.03745,0.35915,0.04749,0.50346,0.03287,0.73542,0.02497,0.78907,0.04152,0.69307,0.03127,0.46354,0.02052,0.16667,-0.00817,0.33145,0.0019,0.9114,0.06268,0.6214,0.03891,0.38636,0.10376,0.28957,0.00261,0.43596,0.03535,0.7403,0.03254,0.74311,0.04768,0.63772,0.0409,0.41962,0.01266,0.2248,-0.0294,0.27633,0.01678,0.92145,0.05735
District - Middle,HS,2015-16,NA,www.seattleschools.org,14190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7878,0.7471,0.77066,0.09728,0.21504,0.06155,0.72434,0.70197,0.73411,0.68123,0.58162,0.86114,0.87344,0.84462,0.76804,0.763,0.741,0.83318,0.808,0.795,0.70131,0.6796,0.48337,0.50507,0.48912,0.643,0.612,0.621,0.729,0.705,0.685,0.529,0.674,0.661,0.684,0.182,0.15853,0.01085,0.17879,0.12438,0.19612,0.42805,0.0618,0.42481,0.0771,0.13354,0.11727,0.7878,0.04144,0.66667,0.14943,0.48545,0.02135,0.65789,0.02293,0.79148,-0.00852,0.93001,0.04884,0.83761,-0.03419,0.59784,0.01713,0.22426,0.00018,0.56906,0.14644,0.99359,0.04673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adams Elementary,ES,2015-16,Timothy Moynihan,adamses.seattleschools.org,544,31,18,0.95943,0.08088,0.73913,0.68605,0.68478,0.60465,0.75862,0.68182,0.63218,0.62121,0.76271,0.69737,0.62712,0.61842,0.84746,0.80263,0.7375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.77143,0.72973,0.78131,0.785,0.704,0.737,0.871,0.831,0.827,0.608,0.857,0.886,0.883,0.37,0.30179,0.00368,0.04412,0.10294,0.0386,0.70588,0.10478,0.18382,0.06618,0.12684,0.13603,0.7521,0.0635,-,-,0.16667,0.08333,0.5,0.1,0.63636,-0.07792,0.8503,0.04078,0.65217,-0.03204,0.32432,0.00766,0,-0.09524,0.4717,0.02984,1,-,0.65126,0.03723,-,-,0.08333,-0.08333,0.375,0.03214,0.63636,0.06494,0.74251,0.01462,0.56522,-0.01373,0.24324,-0.10676,0.06667,0.01905,0.43396,0.01536,0.9,-
Aki Kurose Middle School,MS,2015-16,Mia Williams,kurosems.seattleschools.org,721,41,18,0.93398,0.10957,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43023,0.46186,0.47287,0.4958,0.53846,0.50472,0.48511,0.4,0.56744,0.424,0.56481,0.42629,0.59447,0.45344,0.56107,0.3722,0.29502,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.59322,0.59767,0.63952,0.825,0.725,0.748,0.857,0.729,0.791,0.464,0.726,0.598,0.546,0.098,0.08911,0.00416,0.32871,0.16782,0.41748,0.0319,0.04993,0.81969,0.23301,0.15257,0.04993,0.50778,0.04646,-,-,0.34874,0.06841,0.33628,0.05057,0.71034,0.03906,0.63636,0.02922,0.425,0.04265,0.4711,0.04777,0.19463,0.00186,0.13483,-0.06057,-,-,0.50494,0.06288,-,-,0.34728,0.06157,0.33628,0.091,0.68385,0.03557,0.63636,0.13636,0.575,0.22206,0.46248,0.05815,0.24667,0.00715,0.20225,0.00685,-,-
Alki Elementary,ES,2015-16,Rena Deese,alkies.seattleschools.org,413,23,18,0.95864,0.05327,0.80556,0.66176,0.79452,0.77941,0.83099,0.8,0.76056,0.78333,0.82258,0.6087,0.72581,0.52174,0.83871,0.6087,0.76596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.76869,0.70519,0.7759,0.779,0.721,0.771,0.848,0.811,0.84,0.648,0.714,0.912,0.914,0.275,0.22039,0.01211,0.08717,0.09201,0.02179,0.67312,0.1138,0.2155,0.02663,0.11622,0.07264,0.81951,0.12411,-,-,0.77778,0.05778,0.8125,0.12019,-,-,0.83784,0.1137,0.78947,0.17409,0.79487,0.0641,-,-,0.6,0.2129,-,-,0.76214,0.04949,-,-,0.66667,0.10667,0.75,0.28846,-,-,0.77703,-0.01608,0.78947,0.09717,0.5641,0.00641,-,-,0.54286,0.15576,-,-
Arbor Heights Elementary,ES,2015-16,Christy Collins,arborheightses.seattleschools.org,410,25,16,0.95334,0.0561,0.67742,0.61194,0.45161,0.70769,0.5625,0.72881,0.46875,0.63793,0.64516,0.45238,0.31034,0.31707,0.67797,0.5122,0.74074,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.67299,0.73485,0.76441,0.751,0.671,0.786,0.768,0.738,0.819,0.586,0.569,0.522,0.709,0.289,0.26103,0.00488,0.10244,0.1122,0.07073,0.60244,0.10732,0.3122,0.03659,0.19756,0.10732,0.62766,0.01456,-,-,0.33333,-0.07407,0.47826,0.11462,0.66667,-,0.68807,-0.0728,0.875,0.40441,0.5,0.08442,-,-,0.4,-0.16098,-,-,0.41304,-0.17232,-,-,0.125,-0.26786,0.3913,0.08696,0.6,-,0.45714,-0.23851,0.4375,-0.10795,0.30303,-0.11589,-,-,0.28,-0.06146,-,-
B.F. Day Elementary,ES,2015-16,Stanley Jaskot,dayes.seattleschools.org,283,19,15,0.95652,0.12281,0.58537,0.62264,0.53659,0.64151,0.59615,0.57447,0.53846,0.65957,0.69048,0.67925,0.52381,0.56604,0.69048,0.62264,0.67308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.70915,0.67967,0.7655,0.821,0.697,0.789,0.887,0.743,0.845,0.431,0.575,0.422,0.627,0.39,0.27711,0,0.12721,0.10247,0.08127,0.5689,0.12014,0.34629,0.12721,0.12014,0.10954,0.62222,-0.00523,-,-,0.3913,0.03416,0.35714,-0.06391,0.71429,0.08929,0.73529,-0.01169,0.625,0.16346,0.50909,0.05295,0.29412,0.05412,0.24,-0.16,-,-,0.53333,-0.08758,-,-,0.34783,-0.00932,0.2,-0.32632,0.71429,0.04762,0.61765,-0.08115,0.6,0.13846,0.4,-0.07368,0.27778,-0.16222,0.16,-0.2,-,-
Bailey Gatzert Elementary,ES,2015-16,Greg Imel,gatzertes.seattleschools.org,291,30,10,0.95281,0.24606,0.39583,0.34328,0.64583,0.43284,0.39216,0.36957,0.62745,0.28261,0.23913,0.37931,0.17391,0.36207,0.40426,0.37931,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.73066,0.77114,0.69658,0.882,0.904,0.88,0.891,0.845,0.858,0.601,0.557,0.637,0.819,0.107,0.09639,0.00687,0.57045,0.18213,0.14777,0.03093,0.06186,0.82474,0.40206,0.17869,0.01718,0.34483,-0.01775,-,-,0.32584,-0.04258,0.16,-0.10471,0.56522,0.09855,-,-,-,-,0.27586,-0.06789,0.11111,-0.05556,0.21212,0.04546,-,-,0.48966,0.12123,-,-,0.46067,0.11331,0.44,0.14588,0.6087,0.07536,-,-,-,-,0.44828,0.09828,0.37778,0.18333,0.36364,0.14141,-,-
Ballard High School,HS,2015-16,Keven Wynkoop,ballardhs.seattleschools.org,1708,84,21,0.92536,0.07909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.93204,0.81667,0.86493,0.02151,0.11138,0.00269,0.89545,0.8952,0.9199,0.83678,0.7321,0.92144,0.95139,0.92806,0.90576,0.91,0.875,0.92308,0.932,0.937,0.82086,0.82653,0.589,0.56876,0.53186,0.65,0.605,0.599,0.705,0.671,0.662,0.514,0.651,0.713,0.642,0.214,0.18513,0.01288,0.04274,0.09778,0.06499,0.72482,0.05679,0.1534,0.01581,0.11007,0.11885,0.93204,0.11537,-,-,0.54545,0.14545,0.86957,-0.00223,0.92857,0.01948,0.9541,0.11798,0.94444,0.05556,0.77358,0.20216,0.42857,-,0.83673,0.32391,1,0.09091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
