gis_id,public_health,farmers_market,parks,libraries,community_centers,emergency_hub,tree_rel_area,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,avg_driving_time,avg_transit_time,sidewalk_availability,num_units,num_permits,total_value_permits,walk_time_lib,tran_time_lib,walk_time_slc,tran_time_slc,enroll_elem_df,math_perc_elem_df,reading_perc_elem_df,isa_perc_elem_df,s_per_t_elem_df,fam_sat_elem_df,stu_sat_elem_df,red_lunch_elem_df,enroll_ms_df,math_perc_ms_df,reading_perc_ms_df,isa_perc_ms_df,s_per_t_ms_df,fam_sat_ms_df,stu_sat_ms_df,red_lunch_ms_df,enroll_hs_df,math_perc_hs_df,reading_perc_hs_df,isa_perc_hs_df,s_per_t_hs_df,fam_sat_hs_df,stu_sat_hs_df,red_lunch_hs_df
530330001001,4.41192069,1.26541493,0.274991057,1.266386973,2.376801503,0.667628289,0.003394558,0,0,117,40,37,40,52,0.007277077,23,66,0.001267552,0,90,13796750,19,14,59,32,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330001002,4.099964596,1.145474017,0.278490955,1.13254173,2.599180852,0.62341199,0.00138079,0.003337389,1.53E-05,114,23,77,63,53,0.005389378,22,59,0.027774556,0,25,22061612,16,11,56,29,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330001003,3.878574389,0.71851159,0.349531136,0.724329446,1.881180253,0.236899671,0.012584887,0.030289766,8.75E-05,109,25,75,59,56,0.092978115,22,58,0.253967529,208,39,23477745,12,6,52,23,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330001004,4.182554783,1.387122716,0.06189286,1.370176712,2.897726325,0.928327506,0.000488279,0.002737828,1.66E-05,119,26,71,66,50,0.006998225,23,61,0.018216133,75,10,50048662,19,9,59,30,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330001005,3.564144312,0.442974172,0.43812255,0.437007521,1.900218677,0.18046477,0.000737287,0.009459609,2.68E-05,106,21,88,70,57,0.003512961,21,56,0.038878683,117,42,28313802,7,7,48,21,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330002001,3.722363861,1.049840533,0.413523815,1.028010838,2.631257667,0.774852152,0.001675425,0.003082978,1.49E-05,113,33,71,60,55,0.013990126,23,66,0.012135748,0,20,994360,13,9,50,32,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330002002,2.973677835,0.440548157,0.354952827,0.414716166,1.953417602,0.814401754,0.001708194,0.001827177,9.15E-06,103,34,77,70,57,0.012943232,22,64,0.02294338,0,44,43476386,7,7,41,22,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330002003,2.719243629,1.830598735,0.147494829,1.805040671,2.234085048,0.377723278,0.012985241,0.010747095,5.87E-05,120,36,35,34,52,0.02494908,23,78,0.090946774,0,25,4579129,27,22,33,30,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330002004,3.130480016,1.359591838,0.670811396,1.332470618,2.884563155,0.764490161,0.002254617,0.00697276,2.21E-05,117,33,65,54,50,0.019084254,22,73,0.053343979,0,31,4193425,21,17,39,27,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330002005,2.438993932,1.248767713,0.12084972,1.226303318,2.507223894,0.390730172,0.01036036,0.010766974,4.61E-05,108,28,68,51,49,0.029790209,21,70,0.062602497,34,53,19901002,20,11,30,21,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
