block_group,NAME,NBH_names,NCID,socio_status,fam_friendliness,infrastructure,connectivity,elem,upper,health,health_inverse,dev,,num_units,num_permits,total_value_permits,math_perc_elem,reading_perc_elem,isa_perc_elem,fam_sat_elem,stu_sat_elem,math_upper,reading_upper,isa_upper,fam_upper,stu_upper,public_health,farmers_market,parks,food_banks,occupied_housing_units,perc_owner,perc_family,avg_occupancy,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,avg_driving_time,avg_transit_time,sidewalk_availability,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,median_house_value
530330001001,33,100,1,0.88502879,0.86945342,-1.12679019,-1.235179305,0.12282608,0.91827914,0.901199036,-0.901199036,-0.272723978,,0,90,13796750,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503,4.41192069,1.26541493,0.274991057,1.081257744,623,0.92776886,0.565008026,2.075441413,0,0,117,40,37,40,52,0.007277077,23,66,0.001267552,0.155452436,0.047177108,113672,68764,0.020108275,2.866,577800
530330001002,33,100,2,-0.97340481,-0.58639427,-0.70094505,-0.250504284,0.23121184,-0.16029678,0.243006908,-0.243006908,-0.242640107,,0,25,22061612,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503,4.099964596,1.145474017,0.278490955,0.952923575,632,0.15664557,0.408227848,1.800632911,0.003337389,0.0000153,114,23,77,63,53,0.005389378,22,59,0.027774556,0.499168053,0.158069884,37083,27463,0.050748752,1.987,247600
530330001003,33,100,3,-0.57095197,0.12850424,5.92276986,-0.224444007,-0.01900741,0.17746012,0.011302153,-0.011302153,0.192986614,,208,39,23477745,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503,3.878574389,0.71851159,0.349531136,0.554669,684,0.41374269,0.488304094,2.219298246,0.030289766,0.0000875,109,25,75,59,56,0.092978115,22,58,0.253967529,0.453640324,0.13378967,56875,35299,0.031736154,2.335,348300
530330001004,33,100,4,-1.52726008,-0.07313134,-0.58144834,-0.50389004,0.14012239,-0.05357447,0.376895918,-0.376895918,-0.039425921,,75,10,50048662,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503,4.182554783,1.387122716,0.06189286,1.205557966,832,0.03125,0.359375,2.133413462,0.002737828,0.0000166,119,26,71,66,50,0.006998225,23,61,0.018216133,0.957048458,0.136563877,27955,17369,0.072687225,1.889,471679.3478
530330001005,33,100,5,-0.59251647,-1.13210137,-0.41173311,0.09700007,0.14535988,-0.24696837,-0.105212274,0.105212274,0.001305735,,117,42,28313802,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503,3.564144312,0.442974172,0.43812255,0.246476128,629,0.151033386,0.295707472,1.538950715,0.009459609,0.0000268,106,21,88,70,57,0.003512961,21,56,0.038878683,0.302,0.044,35417,32499,0.06,2.115,351400
530330002001,33,200,6,-0.67563104,1.52327595,-0.57616743,-0.53318919,0.25364851,0.0972714,0.157699261,-0.157699261,-0.269838168,,0,20,994360,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503,3.722363861,1.049840533,0.413523815,0.898299016,439,0.722095672,0.62642369,2.337129841,0.003082978,0.0000149,113,33,71,60,55,0.013990126,23,66,0.012135748,0.467544685,0.221072437,75197,35132,0.065851364,2.24,314600
530330002002,33,200,7,-0.87556887,1.06723825,-0.66997229,-0.210370224,0.29836788,-0.21951921,-0.215059131,0.215059131,-0.221966954,,0,44,43476386,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503,2.973677835,0.440548157,0.354952827,0.481182925,534,0.486891386,0.653558052,2.13670412,0.001827177,0.00000915,103,34,77,70,57,0.012943232,22,64,0.02294338,0.624671916,0.089238845,48516,23328,0.10936133,2.279,385400
530330002003,33,200,8,-0.33336324,-0.66287094,1.08278412,-1.001127597,0.14191412,0.2908068,0.813688947,-0.813688947,-0.243125054,,0,25,4579129,0.742493333,0.791346667,0.9484,0.86,0.623,0.34214,0.72642,0.92249,0.777,0.506,2.719243629,1.830598735,0.147494829,1.847123374,893,0.203807391,0.484882419,2.011198208,0.010747095,0.0000587,120,36,35,34,52,0.02494908,23,78,0.090946774,0.487739872,0.159914712,43013,28691,0.021855011,2.415,428400
530330002004,33,200,9,-0.37158115,1.02853064,0.18668891,-0.878578377,0.18192778,0.46568949,0.570224714,-0.570224714,-0.262857115,,0,31,4193425,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503,3.130480016,1.359591838,0.670811396,1.320745808,504,0.676587302,0.458333333,1.986111111,0.00697276,0.0000221,117,33,65,54,50,0.019084254,22,73,0.053343979,0.55651341,0.025862069,52619,27184,0.022030651,2.298,301100
530330002005,33,200,10,-0.30742171,0.1811802,0.74885797,-0.600805588,0.17810126,0.04008131,0.28378693,-0.28378693,-0.172884074,,34,53,19901002,0.742493333,0.791346667,0.9484,0.86,0.623,0.34214,0.72642,0.92249,0.777,0.506,2.438993932,1.248767713,0.12084972,1.316794731,713,0.46002805,0.611500701,2.053295933,0.010766974,0.0000461,108,28,68,51,49,0.029790209,21,70,0.062602497,0.354752343,0.158634538,65028,35482,0.018741633,2.322,345500
530330002006,33,200,6,0.50847415,1.54673322,-1.17888373,-0.87736125,0.15168511,0.74194525,0.516523287,-0.516523287,-0.268776197,,0,35,3079499,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503,3.435736687,1.178170662,0.793644164,1.085136439,489,1,0.691206544,2.558282209,0.000557197,0.00000272,114,36,62,51,53,0.004977405,23,70,0.006205597,0.257016248,0.039143279,92083,41256,0.038404727,2.853,337600
