"","census_tract","portion","CRA_NO"
"1","100",0.391255719175391,"8.3"
"2","200",0.575436308934556,"8.2"
"3","300",0.412817377133569,"9.5"
"4","401",0.290881155691734,"9.1"
"5","402",0.390907493944418,"9.1"
"6","500",0.208339777923505,"9.1"
"7","600",0.587182622866432,"9.5"
"8","700",0.23600773868726,"8.2"
"9","800",0.26829535829979,"8.3"
"10","900",0.250906445641639,"8.3"
"11","1000",0.0895424768831804,"8.3"
"12","1100",0.188555952378184,"8.2"
"13","1200",0.306330392483404,"8.1"
"14","1300",0.581753043770292,"9.2"
"15","1400",0.473248958653653,"10.1"
"16","1500",0.19581893270752,"10.1"
"17","1600",0.330932108638827,"10.1"
"18","1701",0.125942553095158,"9.3"
"19","1702",0.158866742993597,"9.3"
"20","1800",0.418246956229708,"9.2"
"21","1900",0.271586122493242,"8.1"
"22","2000",0.422083485023354,"8.1"
"23","2100",0.180221184699414,"7.4"
"24","2200",0.493893549854523,"7.4"
"25","2400",0.16310091346785,"7.4"
"26","2500",0.0967599346587601,"7.3"
"27","2600",0.243654138534853,"7.3"
"28","2700",0.374458400684681,"9.4"
"29","2800",0.132875010268349,"9.3"
"30","2900",0.187753404550715,"9.3"
"31","3000",0.446859440970249,"10.2"
"32","3100",0.437698710680698,"10.3"
"33","3200",0.562301289319302,"10.3"
"34","3300",0.553140559029751,"10.2"
"35","3400",0.165454075199287,"9.3"
"36","3500",0.229108213892893,"9.3"
"37","3600",0.460019675910434,"9.4"
"38","3800",0.0674829835943834,"7.3"
"39","3900",0.162784351978214,"7.4"
"40","4000",0.183234718923989,"7.5"
"41","4100",0.816765281076011,"7.5"
"42","4200",0.323986348426559,"7.3"
"43","4301",0.212805998694933,"7.3"
"44","4302",0.055310596090511,"7.3"
"45","4400",0.364164207881194,"7.2"
"46","4500",0.156721682727188,"11.2"
"47","4600",0.165521923404885,"9.4"
"48","4700",1,"10.4"
"49","4800",0.309885735052101,"11.1"
"50","4900",0.44538209284741,"11.1"
"51","5000",0.277996241377904,"11.2"
"52","5100",0.226313228280199,"11.2"
"53","5200",0.338968847614709,"11.2"
"54","5301",0.235053445569658,"7.2"
"55","5302",0.400782346549148,"7.2"
"56","5400",0.24473217210049,"11.1"
"57","5600",0.50086055236471,"12.1"
"58","5700",0.49913944763529,"12.1"
"59","5801",0.325885026259462,"12.2"
"60","5802",0.674114973740538,"12.2"
"61","5900",0.223064455334746,"12.3"
"62","6000",0.108142449134445,"12.3"
"63","6100",0.450457530292358,"7.1"
"64","6200",0.549542469707642,"7.1"
"65","6300",1,"6.5"
"66","6400",0.527688000714026,"6.4"
"67","6500",1,"6.3"
"68","6600",0.379913145923096,"11.3"
"69","6700",0.220262947266619,"12.3"
"70","6800",0.102074595314609,"12.3"
"71","6900",0.138917585426734,"12.3"
"72","7000",0.150767902915572,"12.3"
"73","7100",0.0567700646072757,"12.3"
"74","7200",0.35659466995553,"11.3"
"75","7300",0.263492184121373,"11.3"
"76","7401",0.192745056705595,"6.2"
"77","7402",0.194880391247523,"6.2"
"78","7500",0.360268814030946,"6.2"
"79","7600",0.472311999285974,"6.4"
"80","7700",0.332101780517358,"5.3"
"81","7800",0.562311308608881,"5.1"
"82","7900",0.17253466101471,"5.3"
"83","8001",0.805835047261524,"13.1"
"84","8002",0.194164952738476,"13.1"
"85","8100",1,"13.2"
"86","8200",0.282586318971144,"6.1"
"87","8300",0.172511336333685,"6.1"
"88","8400",0.252105738015937,"6.2"
"89","8500",0.260313349734559,"6.1"
"90","8600",0.284588994960612,"6.1"
"91","8700",0.208050137838793,"5.3"
"92","8800",0.287313420629139,"5.3"
"93","8900",0.437688691391119,"5.1"
"94","9000",1,"5.2"
"95","9100",0.309750358066343,"13.3"
"96","9200",0.690249641933657,"13.3"
"97","9300",1,"3.3"
"98","9400",0.380474851625832,"3.6"
"99","9500",1,"4.4"
"100","9600",0.379738010418348,"1.4"
"101","9701",0.620261989581652,"1.4"
"102","9702",0.26566057077896,"1.3"
"103","9800",0.511488724709994,"1.3"
"104","9900",1,"2.1"
"105","10001",0.240864970232876,"3.6"
"106","10002",0.378660178141292,"3.6"
"107","10100",0.48588272829661,"4.2"
"108","10200",0.724527593621465,"4.3"
"109","10300",0.305428593346281,"4.2"
"110","10401",0.431452834938419,"3.5"
"111","10402",0.568547165061581,"3.5"
"112","10500",0.222850704511047,"1.3"
"113","10600",0.446539108440265,"1.2"
"114","10701",0.637600481476156,"2.2"
"115","10702",0.362399518523844,"2.2"
"116","10800",1,"2.3"
"117","10900",1,"3.2"
"118","11001",0.197296538081204,"3.4"
"119","11002",0.334740867220567,"3.4"
"120","11101",0.208688678357108,"4.2"
"121","11102",0.275472406378535,"4.3"
"122","11200",0.980758591233125,"3.1"
"123","11300",0.979213478994826,"2.5"
"124","11401",0.307450819922995,"2.4"
"125","11402",0.279693907625246,"2.4"
"126","11500",0.412855272451759,"2.4"
"127","11600",0.553460891559735,"1.2"
"128","11700",0.46796259469823,"3.4"
"129","11800",0.319695497318718,"4.1"
"130","11900",0.659033482962085,"4.1"
"131","12000",0.567136675250896,"1.1"
"132","12100",0.432863324749104,"1.1"
"133","26001",0.0212710197191972,"4.1"
"134","26400",0.0192414087668752,"3.1"
"135","26500",0.0207865210051745,"2.5"
"136","990100",0.109871572440343,"9.1"
