block_group,household_1_person,household_2_person,household_3_person,household_4_person,household_5_person,household_6_person,household_7ormore_person,household_family,household_female_family,household_male_family,household_married_family,household_nonfamily,household_total,population_19to34,population_35to64,population_65andover,population_asian,population_black,population_female,population_hispanic,population_male,population_no_health_insurance,population_race_other,population_total,population_trans_car,population_trans_other,population_trans_public,population_trans_total,population_under18,population_white,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5ormore,vehicle_no
530330001001,182,289,97,37,14,4,0,352,4,15,333,271,623,207,604,334,139,27,682,25,611,61,10,1293,478,44,124,646,148,1117,128,274,149,0,24,48
530330001002,327,142,125,38,0,0,0,258,89,13,156,374,632,496,323,183,114,168,545,167,657,190,151,1202,433,45,100,578,200,769,434,108,21,0,0,69
530330001003,261,186,139,54,12,32,0,334,84,29,221,350,684,470,794,76,201,141,889,137,718,215,250,1607,672,84,203,959,267,1015,233,170,112,15,0,154
530330001004,476,97,91,38,105,20,5,299,83,0,216,533,832,574,613,74,194,511,825,499,991,248,534,1816,461,92,180,733,555,577,499,96,37,0,13,187
530330001005,371,202,31,25,0,0,0,186,34,31,121,443,629,480,220,199,211,1,594,32,406,44,58,1000,423,31,78,532,101,730,297,84,18,0,16,214
530330002001,131,143,89,38,38,0,0,275,67,32,176,164,439,309,485,138,216,0,493,224,570,235,57,1063,411,50,143,604,131,790,143,174,73,30,0,19
530330002002,156,201,144,14,19,0,0,349,106,20,223,185,534,273,432,124,237,217,550,103,593,102,157,1143,237,60,13,310,314,532,217,122,42,0,0,153
530330002003,374,257,140,122,0,0,0,433,109,44,280,460,893,765,630,289,563,242,1092,0,784,300,110,1876,766,52,291,1109,192,961,519,223,66,0,0,85
530330002004,223,132,82,67,0,0,0,231,33,66,132,273,504,261,368,303,493,0,563,0,481,27,88,1044,321,34,112,467,112,463,282,205,17,0,0,0
530330002005,263,256,146,13,11,24,0,436,200,51,185,277,713,469,503,213,125,176,937,0,557,237,229,1494,529,141,70,740,309,964,317,274,40,0,0,82
530330002006,92,212,63,93,0,29,0,338,37,0,301,151,489,144,760,145,90,0,703,131,651,53,127,1354,609,98,70,777,305,1137,59,315,115,0,0,0
530330003001,128,183,60,76,14,0,6,260,54,5,201,207,467,334,501,129,117,16,459,46,701,177,98,1160,450,63,144,657,196,929,145,213,79,8,8,14
530330003002,217,208,81,87,8,10,9,341,100,26,215,279,620,354,584,200,95,103,806,114,671,213,225,1477,510,71,165,746,339,1054,307,208,48,0,0,57
530330004011,995,475,164,147,62,0,0,695,360,0,335,1148,1843,872,1276,541,341,909,1818,294,1591,548,403,3409,1038,206,169,1413,720,1756,862,353,34,23,0,571
530330004012,222,318,107,21,0,0,0,343,73,13,257,325,668,562,521,203,441,38,613,181,775,48,40,1388,598,90,102,790,102,869,272,302,59,13,0,22
