gis_id,population_edu_advanced_perc,population_edu_bachelor_perc,population_edu_highschool_perc,population_edu_nodiploma_perc,population_edu_somecollege_perc,walk_time_lib,tran_time_lib,walk_time_slc,tran_time_slc,enroll_elem_df,math_perc_elem_df,reading_perc_elem_df,isa_perc_elem_df,s_per_t_elem_df,fam_sat_elem_df,stu_sat_elem_df,red_lunch_elem_df,enroll_ms_df,math_perc_ms_df,reading_perc_ms_df,isa_perc_ms_df,s_per_t_ms_df,fam_sat_ms_df,stu_sat_ms_df,red_lunch_ms_df,enroll_hs_df,math_perc_hs_df,reading_perc_hs_df,isa_perc_hs_df,s_per_t_hs_df,fam_sat_hs_df,stu_sat_hs_df,red_lunch_hs_df
530330001001,0.321,0.37,0.056,0.045,0.208,19,14,59,32,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330001002,0.141,0.18,0.261,0.106,0.311,16,11,56,29,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330001003,0.15,0.333,0.206,0.046,0.265,12,6,52,23,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330001004,0.107,0.18,0.195,0.155,0.363,19,9,59,30,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330001005,0.115,0.324,0.225,0.107,0.229,7,7,48,21,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330002001,0.115,0.373,0.195,0.084,0.233,13,9,50,32,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330002002,0.162,0.366,0.081,0.165,0.226,7,7,41,22,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330002003,0.193,0.284,0.227,0.015,0.282,27,22,33,30,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330002004,0.26,0.232,0.058,0.198,0.252,21,17,39,27,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330002005,0.11,0.351,0.089,0.079,0.37,20,11,30,21,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330002006,0.335,0.386,0.129,0.037,0.113,17,17,44,32,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330003001,0.096,0.236,0.274,0.109,0.285,35,32,20,20,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330003002,0.117,0.213,0.158,0.092,0.42,25,21,27,17,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004011,0.099,0.242,0.238,0.055,0.365,15,10,36,26,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004012,0.24,0.241,0.107,0.108,0.305,11,11,44,37,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004013,0.072,0.353,0.174,0.11,0.291,6,6,39,37,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004021,0.18,0.254,0.182,0.106,0.277,1,1,33,27,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004022,0.162,0.544,0.101,0,0.194,22,14,23,23,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004023,0.158,0.38,0.141,0.058,0.262,13,3,30,30,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004024,0.156,0.364,0.187,0.048,0.245,7,4,32,26,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330005001,0.34,0.388,0.016,0.019,0.237,16,16,51,34,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330005002,0.289,0.4,0.094,0.044,0.173,11,11,40,29,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330005003,0.241,0.464,0.068,0,0.227,22,19,46,40,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006001,0.149,0.268,0.204,0.089,0.291,21,21,19,12,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006002,0.145,0.323,0.213,0.075,0.243,18,15,18,18,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330006003,0.179,0.336,0.175,0.026,0.285,23,11,13,13,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006004,0.155,0.27,0.274,0.044,0.257,21,21,10,10,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006005,0.233,0.211,0.063,0.267,0.226,23,23,7,7,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006006,0.212,0.276,0.24,0,0.273,16,9,15,15,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330007001,0.142,0.288,0.218,0.045,0.308,7,7,41,23,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330007002,0.185,0.422,0.093,0.058,0.242,8,8,37,26,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330007003,0.217,0.307,0.125,0.057,0.294,12,6,28,18,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330007004,0.181,0.467,0.063,0.128,0.16,16,10,24,23,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330008001,0.331,0.242,0.06,0.045,0.323,17,9,47,32,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330008002,0.318,0.299,0.121,0.03,0.232,29,12,48,17,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330009001,0.339,0.367,0.086,0.035,0.173,25,16,58,23,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
