gis_id,math_perc_elem,reading_perc_elem,isa_perc_elem,fam_sat_elem,stu_sat_elem,math_upper,reading_upper,isa_upper,fam_upper,stu_upper
1,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503
2,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503
3,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
4,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503
5,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503
6,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503
7,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503
8,0.742493333,0.791346667,0.9484,0.86,0.623,0.34214,0.72642,0.92249,0.777,0.506
9,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503
10,0.742493333,0.791346667,0.9484,0.86,0.623,0.34214,0.72642,0.92249,0.777,0.506
11,0.742493333,0.791346667,0.9484,0.86,0.623,0.3413,0.738875,0.92555,0.78,0.503
12,0.3925,0.374816667,0.95134,0.759,0.607,0.37497,0.742333334,0.918895,0.697,0.468
13,0.3925,0.374816667,0.95134,0.759,0.607,0.37497,0.742333334,0.918895,0.697,0.468
14,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
15,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
16,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
17,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
18,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
19,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
20,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
21,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
22,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
23,0.423156667,0.496856667,0.95024,0.742,0.602,0.37497,0.742333334,0.918895,0.697,0.468
24,0.3925,0.374816667,0.95134,0.759,0.607,0.37497,0.742333334,0.918895,0.697,0.468
25,0.681476667,0.72335,0.96182,0.872,0.684,0.3413,0.738875,0.92555,0.78,0.503
26,0.3925,0.374816667,0.95134,0.759,0.607,0.37497,0.742333334,0.918895,0.697,0.468
27,0.3925,0.374816667,0.95134,0.759,0.607,0.37497,0.742333334,0.918895,0.697,0.468
28,0.3925,0.374816667,0.95134,0.759,0.607,0.37497,0.742333334,0.918895,0.697,0.468
29,0.681476667,0.72335,0.96182,0.872,0.684,0.3413,0.738875,0.92555,0.78,0.503
30,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
31,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
32,0.499683333,0.513266667,0.95666,0.799,0.553,0.3413,0.738875,0.92555,0.78,0.503
33,0.499683333,0.513266667,0.95666,0.799,0.553,0.3413,0.738875,0.92555,0.78,0.503
34,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
35,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
36,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
37,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
38,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
39,0.87187,0.898563333,0.96306,0.862,0.62,0.3413,0.738875,0.92555,0.78,0.503
40,0.499683333,0.513266667,0.95666,0.799,0.553,0.3413,0.738875,0.92555,0.78,0.503
41,0.499683333,0.513266667,0.95666,0.799,0.553,0.3413,0.738875,0.92555,0.78,0.503
42,0.681476667,0.72335,0.96182,0.872,0.684,0.3413,0.738875,0.92555,0.78,0.503
43,0.681476667,0.72335,0.96182,0.872,0.684,0.3413,0.738875,0.92555,0.78,0.503
