block_group,median_house_value,median_gross_rent,occupied_housing_units,tenure_owner,tenure_renter
530330001001,577800,1387,623,578,45
530330001002,247600,1013,632,99,533
530330001003,348300,785,684,283,401
530330001004,,922,832,26,806
530330001005,351400,1078,629,95,534
530330002001,314600,1368,439,317,122
530330002002,385400,1127,534,260,274
530330002003,428400,1083,893,182,711
530330002004,301100,1403,504,341,163
530330002005,345500,1085,713,328,385
530330002006,337600,,489,489,0
530330003001,342700,1514,467,262,205
530330003002,331300,1120,620,346,274
530330004011,303500,858,1843,373,1470
530330004012,329200,1093,668,369,299
530330004013,220500,532,790,235,555
530330004021,393200,1006,516,206,310
530330004022,291500,955,389,256,133
530330004023,401600,932,592,301,291
530330004024,508500,1165,802,285,517
530330005001,642700,,429,409,20
530330005002,536300,,380,373,7
530330005003,536200,,437,401,36
530330006001,349500,1616,430,375,55
530330006002,296000,893,501,189,312
530330006003,327800,1236,674,305,369
530330006004,413800,1274,756,421,335
530330006005,418100,1642,304,201,103
530330006006,359200,1143,680,259,421
530330007001,216800,962,931,281,650
530330007002,299200,1012,502,263,239
530330007003,368900,866,434,313,121
530330007004,364200,941,302,225,77
530330008001,403800,1625,452,334,118
530330008002,432200,1000,568,417,151
530330009001,549100,1258,449,350,99
530330009002,758100,1829,395,356,39
530330010001,374600,981,365,156,209
530330010002,453400,1118,427,252,175
530330011001,388200,879,430,328,102
530330011002,405300,1228,661,391,270
530330012001,420600,882,532,431,101
530330012002,615900,923,515,100,415
530330012003,162300,839,918,155,763
530330012004,180800,1149,712,101,611
530330012005,229200,1056,891,136,755
530330013001,321000,869,812,357,455
530330013002,272100,993,725,377,348
530330013003,361100,992,643,233,410
530330014001,369100,973,646,364,282
530330014002,421200,1139,402,237,165
530330014003,332500,1362,555,220,335
530330014004,503000,2534,606,469,137
530330015001,579700,1563,509,383,126
530330015002,594000,1315,598,487,111
530330016001,849700,,548,540,8
530330016002,687800,2205,537,462,75
530330016003,411000,1125,682,385,297
530330017011,366700,1130,899,220,679
530330017012,291500,1090,524,304,220
530330017013,298900,945,556,350,206
530330017021,374800,1139,798,296,502
530330017022,378100,1309,536,359,177
530330017023,399100,1734,473,252,221
530330017024,358800,2065,267,213,54
530330018001,410600,1464,707,395,312
530330018002,343900,1197,666,214,452
530330018003,362700,1095,852,494,358
530330019001,226300,1411,1182,536,646
530330019002,459800,1409,533,381,152
530330019003,416200,1774,460,351,109
530330020001,419800,1235,820,412,408
530330020002,447200,1263,479,298,181
530330020003,515300,1545,307,229,78
530330021001,469800,1573,659,546,113
530330021002,354400,1245,401,253,148
530330021003,461300,1436,663,394,269
530330022001,484900,2043,570,506,64
530330022002,481600,,544,518,26
530330022003,654300,1589,539,466,73
530330022004,840400,,518,518,0
530330024001,488600,1768,390,337,53
530330024002,379600,1121,361,185,176
530330024003,488800,1497,496,367,129
530330025001,458500,1652,602,499,103
530330025002,455300,1400,664,425,239
530330026001,545200,1209,518,302,216
530330026002,564200,1833,475,355,120
530330026003,553300,1212,562,371,191
530330026004,506900,1750,364,230,134
530330027001,468700,1795,714,363,351
530330027002,598200,,535,463,72
530330027003,592400,1308,488,317,171
530330027004,497300,1524,582,426,156
530330028001,495000,1225,381,284,97
530330028002,464700,1614,443,187,256
530330028003,567500,1299,541,298,243
530330028004,534700,1045,667,411,256
530330029001,451600,1226,660,416,244
530330029002,562500,1614,646,429,217
530330029003,474800,1070,572,380,192
530330030001,490100,1577,657,499,158
530330030002,529400,1045,606,414,192
530330030003,471200,1481,581,344,237
530330030004,510000,1908,590,329,261
530330031001,523100,,461,374,87
530330031002,451200,2031,481,419,62
530330031003,494000,1028,558,396,162
530330031004,537600,1165,620,473,147
530330031005,506500,2085,490,412,78
530330032001,540500,1363,450,197,253
530330032002,454600,1127,840,193,647
530330032003,384300,1181,586,265,321
530330032004,619100,978,637,173,464
530330032005,450000,1435,261,193,68
530330032006,719100,1707,740,593,147
530330032007,686500,1170,457,419,38
530330033001,493300,1871,632,338,294
530330033002,341200,1857,437,216,221
530330033003,427000,1240,1005,359,646
530330033004,427000,1067,640,277,363
530330033005,497000,1526,452,234,218
530330034001,609200,1336,497,278,219
530330034002,501900,1310,573,447,126
530330034003,518500,1385,436,250,186
530330035001,576900,1361,645,349,296
530330035002,565800,1173,665,372,293
530330035003,566900,1175,531,298,233
530330036001,522500,1186,756,171,585
530330036002,613900,1160,772,158,614
530330036003,598300,1490,557,364,193
530330036004,559300,1531,1125,173,952
530330038001,555300,1244,485,309,176
530330038002,529700,1426,371,300,71
530330039001,577000,1375,759,487,272
530330039002,569800,2225,402,371,31
530330040001,366700,1082,945,480,465
530330040002,880500,,377,361,16
530330041001,686100,1382,577,213,364
530330041002,909800,1125,570,488,82
530330041003,949700,,477,466,11
530330041004,723400,1646,588,311,277
530330041005,930600,1088,401,203,198
530330041006,1558800,,287,240,47
530330042001,761800,1518,761,578,183
530330042002,595900,1232,616,407,209
530330042003,455600,1698,711,466,245
530330042004,604600,1486,592,477,115
530330042005,663700,,545,495,50
530330043011,484400,1031,410,96,314
530330043012,578600,1392,489,353,136
530330043013,601900,1422,512,319,193
530330043021,421700,897,566,110,456
530330043022,,1087,874,8,866
530330044001,782700,1643,426,153,273
530330044002,500000,970,760,296,464
530330044003,697000,1360,479,93,386
530330044004,411700,1078,717,53,664
530330045001,469100,1353,344,175,169
530330045002,532900,1781,671,450,221
530330046001,702300,1770,464,282,182
530330046002,637000,1418,594,413,181
530330046003,595500,1904,362,274,88
530330047001,488300,861,664,225,439
530330047002,536500,1183,878,181,697
530330047003,394500,1453,1494,373,1121
530330047004,357100,1356,1886,235,1651
530330048001,612800,1830,439,343,96
530330048002,558500,1503,606,339,267
530330048003,483800,1147,577,263,314
530330048004,470400,1748,493,272,221
530330049001,597100,860,539,171,368
530330049002,557700,1399,744,40,704
530330049003,462500,1429,675,248,427
530330049004,460300,1142,756,281,475
530330049005,484000,1143,913,112,801
530330050001,620200,1215,679,236,443
530330050002,549800,1256,440,197,243
530330050003,405600,1261,771,112,659
530330051001,551000,1474,665,316,349
530330051002,719400,,511,431,80
530330051003,666700,1313,464,302,162
