block_group,occupied_housing_units,perc_owner,perc_family,avg_occupancy
5.30E+11,623,0.92776886,0.565008026,2.075441413
5.30E+11,632,0.15664557,0.408227848,1.800632911
5.30E+11,684,0.41374269,0.488304094,2.219298246
5.30E+11,832,0.03125,0.359375,2.133413462
5.30E+11,629,0.151033386,0.295707472,1.538950715
5.30E+11,439,0.722095672,0.62642369,2.337129841
5.30E+11,534,0.486891386,0.653558052,2.13670412
5.30E+11,893,0.203807391,0.484882419,2.011198208
5.30E+11,504,0.676587302,0.458333333,1.986111111
5.30E+11,713,0.46002805,0.611500701,2.053295933
5.30E+11,489,1,0.691206544,2.558282209
5.30E+11,467,0.561027837,0.556745182,2.334047109
5.30E+11,620,0.558064516,0.55,2.237096774
5.30E+11,1843,0.202387412,0.37710255,1.809549647
5.30E+11,668,0.55239521,0.513473054,1.890718563
5.30E+11,790,0.297468354,0.155696203,1.336708861
5.30E+11,516,0.399224806,0.368217054,1.715116279
5.30E+11,389,0.658097686,0.280205656,1.843187661
5.30E+11,592,0.508445946,0.52027027,1.940878378
5.30E+11,802,0.355361596,0.403990025,2.1159601
5.30E+11,429,0.953379953,0.727272727,2.447552448
5.30E+11,380,0.981578947,0.736842105,2.323684211
5.30E+11,437,0.917620137,0.821510297,2.359267735
5.30E+11,430,0.872093023,0.711627907,2.281395349
5.30E+11,501,0.377245509,0.381237525,1.928143713
5.30E+11,674,0.452522255,0.410979228,2.140949555
5.30E+11,756,0.556878307,0.682539683,2.202380952
5.30E+11,304,0.661184211,0.75,2.822368421
5.30E+11,680,0.380882353,0.438235294,2.125
5.30E+11,931,0.301825994,0.523093448,2.185821697
5.30E+11,502,0.523904382,0.400398406,2.077689243
5.30E+11,434,0.721198157,0.546082949,2.35483871
5.30E+11,302,0.745033113,0.456953642,1.864238411
5.30E+11,452,0.738938053,0.665929204,2.402654867
5.30E+11,568,0.73415493,0.642605634,2.267605634
5.30E+11,449,0.779510022,0.583518931,2.29844098
5.30E+11,395,0.901265823,0.693670886,2.2
5.30E+11,365,0.42739726,0.6,2.720547945
5.30E+11,427,0.590163934,0.672131148,2.339578454
5.30E+11,430,0.762790698,0.588372093,2.606976744
5.30E+11,661,0.591527988,0.568835098,2.254160363
5.30E+11,532,0.810150376,0.616541353,2.353383459
5.30E+11,515,0.194174757,0.213592233,1.712621359
5.30E+11,918,0.168845316,0.244008715,1.418300654
5.30E+11,712,0.141853933,0.456460674,2.219101124
5.30E+11,891,0.152637486,0.22671156,1.436588103
5.30E+11,812,0.439655172,0.375615764,1.735221675
5.30E+11,725,0.52,0.529655172,2.077241379
5.30E+11,643,0.362363919,0.488335925,2.024883359
5.30E+11,646,0.563467492,0.617647059,2.29876161
5.30E+11,402,0.589552239,0.60199005,2.400497512
5.30E+11,555,0.396396396,0.576576577,2.372972973
5.30E+11,606,0.773927393,0.676567657,2.5
5.30E+11,509,0.752455796,0.63654224,2.257367387
5.30E+11,598,0.814381271,0.474916388,2.008361204
5.30E+11,548,0.98540146,0.669708029,2.461678832
5.30E+11,537,0.860335196,0.631284916,2.150837989
