block_group,median_household_income,per_capita_income,population_poverty,population_unemployed,population_industry_administration,population_industry_agriculture,population_industry_art,population_industry_construction,population_industry_education,population_industry_finance,population_industry_informatin,population_industry_management,population_industry_manufacture,population_industry_other,population_industry_retail,population_industry_total,population_industry_transportation,population_industry_wholesale
530330001001,113672,68764,86,26,64,11,13,13,185,71,28,75,13,0,156,659,30,0
530330001002,37083,27463,302,61,31,0,103,10,147,15,14,80,127,31,0,578,13,7
530330001003,56875,35299,282,51,32,0,69,62,350,41,0,233,20,28,104,959,20,0
530330001004,27955,17369,507,132,0,67,107,52,193,32,0,149,68,28,50,803,57,0
530330001005,35417,32499,127,60,90,0,0,0,143,44,17,103,79,0,31,532,12,13
530330002001,75197,35132,52,70,0,0,85,47,236,15,16,50,112,15,32,623,15,0
530330002002,48516,23328,413,125,32,15,0,0,100,13,14,83,11,0,71,339,0,0
530330002003,43013,28691,294,41,47,0,182,11,269,80,0,104,21,116,204,1087,39,14
530330002004,52619,27184,75,23,0,14,84,0,159,0,0,50,15,0,167,489,0,0
530330002005,65028,35482,39,28,14,0,87,53,130,41,15,141,112,78,113,784,0,0
530330002006,92083,41256,56,52,17,42,110,18,180,30,52,105,130,33,43,777,17,0
530330003001,82663,36618,41,34,59,0,13,57,170,27,0,124,73,20,48,693,86,16
530330003002,58750,38751,324,0,56,0,57,22,203,56,5,136,43,50,95,751,16,12
530330004011,31590,22984,963,156,33,0,235,48,552,137,0,138,86,58,186,1541,68,0
530330004012,61000,38175,210,26,52,0,0,15,287,78,54,84,57,79,124,830,0,0
530330004013,27016,28125,239,33,55,0,109,0,88,30,0,81,34,0,91,488,0,0
530330004021,49242,35612,75,35,12,0,11,8,133,31,41,0,11,92,16,474,17,102
530330004022,61227,41931,93,2,10,0,89,48,83,22,93,86,51,35,89,628,22,0
530330004023,54865,42827,86,48,98,0,21,10,171,0,17,46,134,52,123,699,14,13
530330004024,73088,52050,83,1,38,0,44,13,114,92,70,122,79,0,143,860,93,52
530330005001,112083,61557,42,23,16,0,10,41,149,18,9,108,43,3,32,493,31,33
530330005002,126667,56260,40,19,20,0,17,10,108,4,7,110,76,19,46,461,28,16
530330005003,129345,55708,68,53,28,21,53,19,179,79,27,50,69,0,38,627,34,30
530330006001,82500,37103,47,35,0,0,72,23,100,26,12,86,31,14,63,494,67,0
530330006002,39438,26869,281,0,0,0,128,0,153,64,0,93,22,18,64,571,29,0
530330006003,64479,34569,59,74,12,0,178,103,152,31,13,92,97,38,53,811,42,0
530330006004,57826,35172,216,79,31,0,53,59,228,22,24,128,20,111,130,851,45,0
530330006005,82750,31167,21,0,15,0,137,26,97,20,10,188,15,11,59,591,0,13
530330006006,60000,32183,168,65,43,0,134,46,293,68,0,157,52,17,169,1030,51,0
530330007001,47546,23058,453,83,12,0,166,15,296,72,14,199,49,94,128,1124,65,14
530330007002,46466,31583,169,0,45,0,76,0,180,17,17,254,17,16,111,747,14,0
530330007003,105333,42269,38,35,29,0,93,0,169,32,15,60,44,70,111,637,0,14
530330007004,80333,49428,60,4,16,0,15,0,124,15,0,94,17,0,42,370,31,16
530330008001,77500,43798,105,20,38,0,42,17,158,24,11,133,71,45,53,637,38,7
530330008002,91625,46670,72,52,88,12,56,15,251,46,26,100,51,49,66,771,11,0
530330009001,125272,60782,101,18,10,7,23,13,236,29,11,149,32,30,47,635,33,15
530330009002,114712,73095,38,35,18,6,24,27,189,23,0,81,18,10,37,448,8,7
530330010001,51250,24776,335,92,0,0,42,8,135,46,5,59,26,15,36,415,23,20
530330010002,91250,43198,94,31,22,0,76,21,151,42,9,95,54,38,45,589,10,26
530330011001,63929,33270,102,30,16,0,65,40,123,37,27,112,75,32,76,603,0,0
530330011002,64943,46326,233,31,32,16,76,26,444,66,24,141,15,35,19,931,0,37
530330012001,99667,54758,143,26,36,0,65,9,198,67,0,162,11,61,74,729,33,13
530330012002,50172,35206,124,32,0,0,77,0,206,110,28,69,63,13,53,619,0,0
530330012003,20423,21523,462,55,16,0,76,0,128,8,14,13,133,19,53,494,17,17
530330012004,40128,23484,345,97,8,24,118,22,59,85,45,65,25,0,196,721,11,63
530330012005,20327,22876,567,20,0,0,217,12,166,58,13,152,33,19,52,736,0,14
530330013001,47788,43819,319,100,41,34,61,30,132,65,13,246,11,49,120,845,27,16
530330013002,64004,38051,94,95,53,0,115,0,184,125,0,299,41,85,127,1044,0,15
530330013003,64137,39932,160,34,34,0,72,34,186,12,21,84,65,65,159,815,52,31
530330014001,61570,30762,227,77,16,0,49,0,264,124,11,132,43,118,188,1001,23,33
530330014002,58750,40828,147,44,0,0,86,0,175,77,70,187,14,52,10,700,29,0
530330014003,67011,33531,16,59,17,17,40,107,169,77,16,121,49,43,59,769,40,14
530330014004,120083,44879,17,63,29,10,59,31,248,28,51,167,52,39,101,957,77,65
530330015001,91875,48191,40,65,19,0,36,8,132,26,11,120,59,22,129,590,28,0
530330015002,96750,61355,72,36,46,8,40,16,186,33,45,92,58,13,57,704,77,33
530330016001,120000,73827,76,16,30,0,44,15,57,138,25,159,25,55,66,650,29,7
530330016002,101991,57052,12,21,7,6,85,56,101,33,13,173,46,20,63,685,7,75
530330016003,69712,38323,175,64,0,0,171,18,182,73,7,167,71,62,142,932,33,6
530330017011,60792,41323,268,130,52,9,112,7,457,81,9,213,55,73,169,1286,33,16
530330017012,62917,52860,102,78,0,0,65,34,122,23,0,186,71,12,37,565,7,8
530330017013,80625,49067,63,61,21,0,96,25,239,19,18,102,84,9,118,788,57,0
530330017021,50398,34707,248,43,69,0,115,54,135,19,67,169,66,28,172,996,28,74
530330017022,60000,46506,34,38,12,0,85,10,91,39,21,144,88,0,32,534,12,0
530330017023,66568,30332,116,33,0,0,128,26,108,27,7,126,60,10,202,729,23,12
530330017024,81285,40628,42,69,0,0,88,54,43,29,9,62,32,21,20,367,9,0
530330018001,106101,46376,285,102,12,0,269,65,164,23,40,366,42,92,344,1432,15,0
530330018002,75441,39832,243,0,30,0,91,14,299,44,0,199,79,101,233,1109,19,0
530330018003,60463,34450,136,79,60,0,208,18,286,152,64,192,82,63,80,1205,0,0
530330019001,50192,38910,498,185,76,0,69,8,307,49,45,173,16,36,144,976,26,27
530330019002,100139,50516,247,56,44,0,181,85,176,44,46,100,38,114,81,926,8,9
530330019003,75188,59419,63,47,8,0,22,24,244,27,24,131,47,80,68,700,17,8
530330020001,76912,53643,229,48,39,8,116,97,285,45,37,222,64,61,82,1079,23,0
530330020002,74931,46649,75,31,9,0,45,0,140,21,17,145,16,113,111,668,19,32
530330020003,88438,42580,54,29,21,0,16,8,123,44,9,70,33,39,84,475,19,9
530330021001,108487,44613,71,14,55,0,80,27,286,22,9,248,103,101,78,1039,10,20
530330021002,70341,38572,47,35,10,0,19,46,99,51,16,78,28,66,43,490,0,34
530330021003,86736,55759,93,56,62,0,166,28,340,67,39,152,49,11,52,983,0,17
530330022001,82167,49652,106,49,31,16,117,0,281,70,32,160,64,20,97,925,18,19
530330022002,117150,52858,30,51,27,0,87,0,212,39,46,146,24,20,87,770,32,50
530330022003,160089,78457,0,7,0,0,15,19,155,50,44,197,17,82,37,627,0,11
530330022004,156250,79011,16,33,17,0,15,31,280,58,16,50,0,0,40,507,0,0
530330024001,125714,56929,31,36,33,0,9,0,158,40,38,56,28,15,92,493,0,24
530330024002,79408,46711,61,32,7,0,69,25,265,0,17,64,16,9,72,552,8,0
530330024003,98600,46093,59,34,10,0,48,25,231,35,32,179,23,29,25,691,28,26
530330025001,113482,50301,30,27,26,0,101,0,315,16,107,133,58,48,44,877,29,0
530330025002,95735,52186,106,61,15,9,35,38,221,48,59,151,79,60,83,844,16,30
530330026001,80833,41956,193,18,13,0,125,0,270,36,26,102,90,76,53,828,30,7
530330026002,126131,48031,144,9,51,0,62,17,251,42,24,90,58,7,59,723,56,6
530330026003,81855,45247,196,73,6,0,98,21,201,76,48,146,47,16,85,827,49,34
530330026004,85294,38374,74,4,7,0,114,0,151,0,34,109,38,8,91,569,8,9
530330027001,92917,36888,262,21,12,10,171,15,419,52,75,124,127,95,139,1281,15,27
530330027002,138194,69313,177,48,62,0,14,40,280,65,41,114,67,9,79,771,0,0
530330027003,132708,70209,69,10,0,0,86,14,252,13,42,124,157,52,47,830,0,43
530330027004,116250,64084,4,9,28,0,66,82,210,47,23,176,84,11,44,818,29,18
530330028001,131205,54134,15,18,28,0,22,22,206,17,0,121,29,35,15,556,56,5
530330028002,86518,40222,277,0,68,0,144,19,232,35,44,159,0,61,51,831,0,18
530330028003,67721,51071,87,21,17,0,36,28,149,0,52,132,32,43,116,698,70,23
530330028004,95350,44012,69,77,43,0,37,0,247,39,77,324,0,0,144,911,0,0
530330029001,106146,46361,36,54,20,0,40,26,149,23,18,229,83,28,116,786,38,16
530330029002,106944,54970,72,22,44,0,58,51,183,52,60,294,49,85,99,1016,30,11
530330029003,96522,58612,69,38,20,0,134,12,193,50,34,178,72,33,72,850,30,22
530330030001,86151,44806,72,14,25,0,0,50,127,21,81,236,97,32,31,750,19,31
530330030002,88947,37712,172,17,22,0,135,107,153,13,121,203,91,59,104,1062,0,54
530330030003,73661,38559,87,47,26,11,126,11,215,52,14,129,38,21,90,744,11,0
530330030004,120388,56358,14,39,56,0,90,19,324,71,0,230,30,12,69,975,55,19
530330031001,110234,57543,0,10,33,0,64,48,84,16,82,190,42,0,48,672,0,65
530330031002,91295,51751,112,58,0,0,29,19,99,106,19,136,46,55,14,523,0,0
530330031003,85560,37736,30,31,52,17,135,49,102,30,30,144,35,0,173,783,0,16
530330031004,111818,47503,139,30,43,0,58,18,270,100,16,183,75,31,87,926,45,0
530330031005,104595,44888,39,50,27,33,95,44,138,44,33,103,28,28,72,713,35,33
530330032001,92333,46305,25,13,20,0,82,0,193,58,106,108,15,42,18,642,0,0
530330032002,76359,50930,82,29,0,52,14,18,210,50,76,322,31,36,145,1026,50,22
530330032003,76094,43232,115,36,0,0,36,34,147,18,46,261,68,45,13,682,14,0
530330032004,45975,42810,108,45,0,0,136,29,126,51,16,194,35,17,35,681,36,6
530330032005,74250,41003,55,32,18,0,41,17,92,0,0,89,55,10,53,421,35,11
530330032006,86859,50320,362,82,13,0,42,65,207,40,97,183,85,33,144,928,19,0
530330032007,129063,62798,38,15,32,0,110,121,92,36,30,53,49,98,111,744,0,12
530330033001,95972,44982,113,68,20,0,109,21,298,56,33,130,101,45,128,941,0,0
530330033002,82303,47350,35,54,19,0,94,10,203,0,23,113,28,11,35,536,0,0
530330033003,78708,46639,131,72,23,5,211,12,337,85,73,399,22,160,275,1674,72,0
530330033004,85227,52530,80,17,0,0,107,0,262,52,12,170,121,12,33,853,84,0
530330033005,87188,50924,17,27,0,17,26,9,271,15,54,143,16,11,70,632,0,0
530330034001,93594,47653,84,43,20,15,102,30,266,20,20,139,17,37,22,699,0,11
530330034002,101063,51180,52,17,38,0,82,8,287,25,42,260,26,29,11,830,0,22
530330034003,105543,53279,30,0,13,0,72,21,189,28,29,167,31,41,27,646,17,11
530330035001,86544,49903,111,38,34,0,63,6,235,61,6,223,78,17,148,911,20,20
530330035002,81806,55100,146,26,48,0,64,15,242,53,39,160,53,72,96,887,37,8
530330035003,67639,41154,63,32,7,0,74,1,252,26,29,93,28,22,119,676,25,0
530330036001,50313,41919,156,0,0,43,88,98,334,22,84,351,81,28,14,1226,55,28
530330036002,90924,56882,376,15,0,0,0,21,402,100,37,184,15,16,80,931,0,76
530330036003,82554,47878,167,48,27,0,45,38,138,39,43,180,74,48,25,696,0,39
530330036004,64810,49456,187,79,25,0,30,117,397,30,60,232,191,179,50,1311,0,0
530330038001,86625,47918,122,61,15,5,23,13,160,18,26,103,93,33,59,575,14,13
530330038002,106875,51897,66,9,29,0,96,15,147,33,22,79,44,10,47,534,12,0
530330039001,96536,39533,154,83,5,0,66,26,292,69,48,203,104,61,55,991,47,15
530330039002,145833,63184,15,30,16,0,35,16,157,20,7,142,92,24,21,583,18,35
530330040001,61042,53134,504,164,70,0,51,27,370,50,32,130,88,7,133,996,13,25
530330040002,157426,56916,60,0,15,0,48,23,247,34,7,67,48,3,80,593,0,21
530330041001,74708,47578,179,64,15,0,12,27,225,122,44,124,47,65,32,725,0,12
530330041002,169063,65285,31,47,70,0,55,0,198,104,29,225,63,23,70,837,0,0
530330041003,238021,101789,0,16,0,14,30,11,215,85,16,192,11,36,78,699,0,11
530330041004,95972,56859,78,47,64,0,12,43,340,41,16,221,0,18,0,755,0,0
530330041005,,53380,226,0,0,0,68,0,146,52,36,46,91,17,102,570,0,12
530330041006,195089,103702,32,16,0,0,0,0,41,48,13,90,11,13,36,266,14,0
530330042001,111164,67213,99,67,0,0,0,13,274,28,29,176,14,69,78,726,0,45
530330042002,110000,47713,286,75,46,0,118,14,275,28,44,172,26,27,94,873,0,29
530330042003,82417,59102,57,14,40,0,0,87,412,16,27,367,0,11,90,1077,12,15
530330042004,127813,50476,0,19,17,0,19,9,348,67,51,276,50,0,40,1014,58,79
530330042005,145982,60647,94,2,0,0,26,17,472,39,26,210,110,12,55,995,26,2
530330043011,30357,26469,475,38,22,0,47,5,204,6,30,94,21,18,36,495,0,12
530330043012,70469,47621,107,23,24,0,173,51,176,18,0,145,66,8,39,708,8,0
530330043013,98214,64650,155,46,24,0,39,0,211,38,77,103,52,30,67,660,19,0
530330043021,11638,11528,672,126,0,10,140,15,189,35,42,125,57,47,178,846,0,8
530330043022,20147,14063,927,102,11,0,90,12,348,11,8,56,21,119,0,706,12,18
530330044001,93750,55617,210,27,0,0,76,0,274,16,11,167,12,0,30,620,2,32
530330044002,68816,49711,146,48,0,0,107,0,433,0,29,220,20,97,162,1068,0,0
530330044003,59904,18201,1307,229,0,90,106,0,532,38,103,253,38,416,173,1767,0,18
530330044004,34152,20330,631,60,13,0,232,29,292,50,0,63,16,52,198,962,0,17
530330045001,58661,30748,270,17,31,0,34,16,147,2,53,123,37,24,72,560,16,5
530330045002,106719,46651,347,92,50,14,183,92,372,46,85,279,103,91,89,1449,28,17
530330046001,104286,58195,49,31,0,0,70,19,199,87,16,181,38,13,51,707,33,0
530330046002,130694,58371,95,82,59,0,36,48,214,54,55,185,61,51,57,820,0,0
530330046003,98571,55765,89,7,8,0,36,9,106,26,25,219,50,22,78,599,12,8
530330047001,81207,37710,185,17,0,0,59,0,186,30,152,104,57,19,144,807,26,30
530330047002,61429,45998,70,16,93,0,0,57,190,89,0,396,24,291,196,1448,54,58
530330047003,81356,57641,170,156,0,0,76,78,336,142,72,481,141,196,234,1756,0,0
530330047004,58269,60660,158,137,26,0,271,0,297,240,116,536,74,59,260,1981,74,28
530330048001,104271,50070,15,11,32,0,49,20,113,14,43,254,73,16,120,734,0,0
530330048002,103434,57941,91,103,44,0,56,26,288,25,24,233,88,56,57,897,0,0
530330048003,70114,44136,72,71,0,0,183,81,216,24,18,172,43,10,93,840,0,0
530330048004,115134,42957,124,36,31,0,13,71,243,0,25,145,76,113,128,900,55,0
530330049001,73177,48460,54,0,0,0,73,25,107,69,24,141,96,58,49,697,19,36
530330049002,74561,48354,70,130,16,0,105,114,161,76,39,286,84,60,128,1173,104,0
530330049003,74228,66181,72,0,0,0,72,29,249,61,110,358,76,27,64,1061,15,0
530330049004,71393,44902,95,59,60,19,123,17,269,15,15,375,32,90,90,1147,28,14
530330049005,54714,45811,95,27,0,0,89,16,257,62,98,357,87,54,147,1300,0,133
530330050001,64947,51067,79,43,63,0,84,38,239,57,24,195,100,120,50,1040,14,56
530330050002,86932,59133,18,0,37,0,49,24,147,43,8,159,18,60,31,585,9,0
530330050003,58875,36877,95,46,0,0,118,27,218,14,68,240,61,84,64,927,33,0
