gis_id,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,total_bikelanes,total_sidewalks,SW_rank1,SW_rank2,SW_rank3,SW_rank4,trans_eff,avg_driving_time,avg_transit_time
530330001001,0,0,117,40,37,40,0.007277077,0.074952074,0.000711275,0.073684522,0.000556277,0,0.348484848,23,66
530330001002,0.003337389,1.53E-05,114,23,77,63,0.005389378,0.082544529,0.007839418,0.049135694,0.019935138,0.005634279,0.372881356,22,59
530330001003,0.030289766,8.75E-05,109,25,75,59,0.092978115,0.432503415,0.084254818,0.178535885,0.169712711,0,0.379310345,22,58
530330001004,0.002737828,1.66E-05,119,26,71,66,0.006998225,0.030011471,0.007244757,0.009318858,0.010971376,0.002476481,0.37704918,23,61
530330001005,0.009459609,2.68E-05,106,21,88,70,0.003512961,0.060291761,0.015629755,0.016842833,0.023248928,0.004570245,0.375,21,56
530330002001,0.003082978,1.49E-05,113,33,71,60,0.013990126,0.073601444,0.003194018,0.061021721,0.00894173,0.000443975,0.348484848,23,66
530330002002,0.001827177,9.15E-06,103,34,77,70,0.012943232,0.065997764,0.017784953,0.041959884,0.005158427,0.0010945,0.34375,22,64
530330002003,0.010747095,5.87E-05,120,36,35,34,0.02494908,0.2387893,0.001266363,0.144680009,0.089680411,0.003162517,0.294871795,23,78
530330002004,0.00697276,2.21E-05,117,33,65,54,0.019084254,0.121731807,0.036421933,0.068387829,0.016922046,0,0.301369863,22,73
530330002005,0.010766974,4.61E-05,108,28,68,51,0.029790209,0.256327327,0.009208806,0.19372483,0.053393691,0,0.3,21,70
530330002006,0.000557197,2.72E-06,114,36,62,51,0.004977405,0.063725308,0.004264448,0.05751971,0.001941149,0,0.328571429,23,70
530330003001,0.000985743,2.05E-05,124,49,31,34,0.009957689,0.09216228,0.003486771,0.062187587,0.012212416,0.014275505,0.25974026,20,77
530330003002,2.12E-05,5.29E-06,131,38,67,60,0.001864936,0.076634862,0.005013588,0.05738721,0.004618948,0.009615115,0.328358209,22,67
530330004011,0.002451295,1.71E-05,133,44,73,71,0.005866019,0.059458431,0.01227778,0.024659407,0.021280141,0.001241102,0.367647059,25,68
530330004012,0.002075933,1.21E-05,140,42,51,50,0.004696748,0.057484752,0.005364567,0.041529525,0.009889991,0.000700668,0.357142857,25,70
530330004013,0.010107682,5.90E-05,135,41,41,61,0.033270225,0.128458253,0.008798078,0.059659188,0.058345131,0.001655856,0.342857143,24,70
530330004021,0.002183357,1.51E-05,128,38,68,68,0.014432756,0.106137024,0.002958504,0.07278868,0.028336121,0.002053719,0.333333333,22,66
530330004022,0.0030237,1.41E-05,112,34,46,59,0.047341648,0.134740497,0.011684248,0.090838689,0.028819558,0.003398002,0.349206349,22,63
530330004023,0.000570357,4.89E-06,117,34,56,54,0.005006484,0.035714146,0.000776665,0.028589583,0.002568351,0.003779547,0.333333333,21,63
530330004024,0.002136184,1.30E-05,123,37,52,54,0.013970465,0.117499328,0.055106006,0.028254854,0.023803693,0.010334776,0.323529412,22,68
530330005001,0.000167425,1.86E-05,146,55,17,20,0.02000235,0.234098639,0.031776496,0.191604527,0,0.010717616,0.313253012,26,83
530330005002,0.000247481,2.28E-05,134,48,39,38,0.012249771,0.098738778,0.000485416,0.084695365,0.00091452,0.012643478,0.315789474,24,76
530330005003,0.000131995,1.47E-05,133,51,27,20,0.033342295,0.166107254,0.0250172,0.131977304,0.007935459,0.001177291,0.307692308,24,78
530330006001,0.005510305,4.75E-05,125,39,34,43,0.044844737,0.19271248,0.030002228,0.096300174,0.049134813,0.017275265,0.338235294,23,68
530330006002,0.01062014,5.93E-05,98,30,83,62,0.025988939,0.214657874,0.023029416,0.129337298,0.054775175,0.007515984,0.289855072,20,69
530330006003,0.005868915,3.29E-05,114,36,58,53,0.03720831,0.10469036,0.012652023,0.031236774,0.041989731,0.018811832,0.328125,21,64
530330006004,0.003379613,1.74E-05,106,36,57,48,0.018433893,0.102691192,0.007296281,0.05735294,0.024902075,0.013139896,0.322580645,20,62
530330006005,0.002636598,1.24E-05,112,38,31,40,0.015572386,0.07471381,0.002090458,0.046276778,0.016095318,0.010251257,0.291666667,21,72
530330006006,0.003058412,1.38E-05,99,29,77,61,0.034540746,0.1265863,0.002365536,0.092975809,0.028007885,0.00323707,0.307692308,20,65
530330007001,0.009264835,2.67E-05,99,28,87,72,0.016343157,0.078659127,0.020590637,0.032476631,0.023772493,0.001819365,0.362068966,21,58
530330007002,0.003920538,1.59E-05,94,32,80,70,0.01805326,0.141093506,0.010526539,0.105378611,0.019119652,0.006068704,0.370967742,23,62
530330007003,0.00472485,2.15E-05,98,31,78,60,0.010151638,0.130340785,0.011035688,0.101138725,0.018166373,0,0.313432836,21,67
530330007004,0.000462896,4.68E-06,93,32,79,66,0.015433975,0.142828116,0.020529577,0.114139144,0.005323755,0.001418311,0.303030303,20,66
530330008001,0.005250428,2.79E-05,102,28,54,56,0.032505576,0.179187631,0.000545688,0.15046476,0.013451574,0.01472561,0.313432836,21,67
530330008002,0.00120205,6.51E-06,95,29,40,49,0.016947456,0.060052034,0.003166987,0.044172047,0.006311033,0.006401966,0.308823529,21,68
530330009001,0.003181516,1.77E-05,105,29,16,36,0.023337786,0.150389907,0.00059643,0.131716354,0,0.018077123,0.314285714,22,70
530330009002,0.001130913,6.28E-06,93,29,22,52,0.022849012,0.056403475,0,0.051669802,0,0.004733673,0.287671233,21,73
530330010001,0.005259385,2.07E-05,89,30,55,58,0.027383433,0.178260743,0.014251382,0.102411386,0.041777269,0.019820706,0.294117647,20,68
530330010002,0.003206126,1.64E-05,83,28,48,47,0.028770578,0.154806889,0.017961437,0.08118009,0.044661078,0.011004284,0.279411765,19,68
530330011001,0.003967679,2.03E-05,87,30,67,61,0.012978718,0.122795481,0.014181024,0.076906814,0.022969535,0.008738108,0.28358209,19,67
530330011002,0.00113608,7.80E-06,81,34,51,48,0.005321881,0.11326782,0,0.100205216,0.011478445,0.001584159,0.28358209,19,67
530330012001,0.00433164,2.62E-05,87,29,65,55,0.030632936,0.1300234,0.012805541,0.085440766,0.027708006,0.004069088,0.276923077,18,65
530330012002,0.012949529,3.87E-05,85,24,84,57,0.057858627,0.189845189,0.01815482,0.130925136,0.040765232,0,0.316666667,19,60
530330012003,0.035928144,7.19E-05,92,24,90,63,0.075406718,0.229666332,0.091445309,0.039641015,0.098580007,0,0.355932203,21,59
530330012004,0.011672069,2.06E-05,93,26,77,65,0.029981949,0.099685689,0.016371826,0.00798111,0.05451662,0.020816133,0.366666667,22,60
530330012005,0.001777839,6.84E-06,100,34,72,61,0.004523518,0.054176676,0.008306567,0.023657948,0.018872464,0.003339697,0.261538462,17,65
530330013001,0.003158803,1.03E-05,90,35,83,63,0.012511265,0.086563472,0.029295866,0.043617327,0.011827059,0.001823219,0.31147541,19,61
530330013002,0.00353899,1.52E-05,99,31,87,68,0.006420855,0.072198802,0.004010725,0.050252826,0.01793525,0,0.333333333,20,60
530330013003,0.002469358,9.33E-06,90,27,90,70,0.010291519,0.118736082,0.084137213,0.024569558,0.01002931,0,0.351851852,19,54
530330014001,0.002927408,1.79E-05,113,36,63,57,0.010155784,0.130716802,0.002685881,0.103256542,0.00861948,0.016154898,0.328125,21,64
530330014002,0.003976389,2.75E-05,112,39,69,52,0.029675397,0.169702501,0.045879834,0.084512944,0.02247157,0.016838154,0.34375,22,64
530330014003,0.006179303,3.58E-05,113,35,76,54,0.025232686,0.127612629,0.048188301,0.036150913,0.043273416,0,0.366666667,22,60
530330014004,0.000581745,7.49E-06,123,46,47,29,0.011381077,0.058999526,0.011489143,0.043069372,0.003434439,0.001006573,0.328571429,23,70
530330015001,0.001922203,1.88E-05,138,55,21,33,0.002906449,0.160632756,0.002414631,0.121721519,0.010471637,0.026024969,0.317073171,26,82
530330015002,0.001788525,3.82E-05,134,44,26,34,0.011393944,0.127325246,0,0.100335854,0.006200331,0.020789062,0.356164384,26,73
530330016001,0.000164156,1.49E-05,127,45,45,31,0.004711739,0.217331365,0,0.204653583,0.004797111,0.007880671,0.324324324,24,74
530330016002,0.001389384,2.02E-05,122,46,53,44,0.008005131,0.139831954,0.070108666,0.046331005,0.011022118,0.012370165,0.357142857,25,70
530330016003,0.007905193,2.48E-05,112,35,79,66,0.013508005,0.087104137,0.026010892,0.041791841,0.017804588,0.001496816,0.37704918,23,61
530330017011,0.005122679,2.61E-05,93,32,89,76,0.031496129,0.12820602,0.039235541,0.057975417,0.026999033,0.003996028,0.322033898,19,59
530330017012,0.002293666,1.05E-05,91,33,81,76,0.01816245,0.098505839,0.0233974,0.067964435,0.007144004,0,0.316666667,19,60
530330017013,0.001594985,7.25E-06,99,34,79,71,0.018591418,0.071191862,0.005116319,0.05752397,0.008551574,0,0.327868852,20,61
530330017021,0.005200958,3.02E-05,101,33,79,67,0.022063824,0.106641559,0.011548522,0.076650462,0.016362294,0.002080282,0.333333333,20,60
530330017022,0.002585309,1.31E-05,102,39,83,68,0.011010698,0.127652441,0.006331452,0.102560441,0.018760549,0,0.35,21,60
530330017023,0.002184891,1.36E-05,107,43,74,55,0.012141681,0.073327561,0.003880724,0.051666078,0.017780759,0,0.355932203,21,59
530330017024,0.000776042,3.61E-06,104,35,78,66,0.015695685,0.107637165,0.001390834,0.083015674,0.01321621,0.010014448,0.333333333,20,60
530330018001,0.002444916,1.46E-05,79,31,59,62,0.03437015,0.171896649,0.114626526,0.015204488,0.042065634,0,0.293103448,17,58
530330018002,0.002747729,1.08E-05,79,26,83,69,0.008978047,0.069377536,0.054391163,0.001286359,0.013700014,0,0.320754717,17,53
530330018003,0.002184046,8.26E-06,85,27,80,70,0.006213365,0.111475175,0.096821369,0.003809981,0.010843825,0,0.327272727,18,55
530330019001,0.018621442,6.54E-05,86,20,62,69,0.034772158,0.117939318,0.011435832,0.043598523,0.056282552,0.006622411,0.322033898,19,59
530330019002,0.002241687,2.46E-05,70,26,67,72,0.033928148,0.131139367,0.094985686,0.0150461,0.021107581,0,0.26984127,17,63
530330019003,0.001646726,9.94E-06,74,28,50,54,0.015125236,0.124039114,0.053026853,0.055038753,0.014394479,0.001579029,0.28125,18,64
530330020001,0.001179829,9.16E-06,67,24,76,56,0.015713627,0.078254485,0.037332629,0.031072834,0.007719952,0.00212907,0.298245614,17,57
530330020002,0.000765152,6.16E-06,73,24,78,57,0.006759236,0.043210123,0.00593515,0.030392966,0.004536392,0.002345614,0.26984127,17,63
530330020003,0.004176178,3.00E-05,67,24,67,74,0.021863448,0.144250241,0.094393989,0.026461593,0.021568113,0.001826547,0.283333333,17,60
530330021001,0.002899619,1.44E-05,71,24,65,72,0.016539083,0.118291411,0.005014772,0.097951233,0.01376923,0.001556176,0.28358209,19,67
530330021002,0.001239981,9.49E-06,66,32,58,55,0.006176293,0.099274642,0,0.063787255,0.013827607,0.021659779,0.276923077,18,65
530330021003,0.003242015,1.90E-05,58,33,60,60,0.009981673,0.188293012,0.06043181,0.094783138,0.021612586,0.010249059,0.290322581,18,62
530330022001,0.001620043,8.90E-06,90,34,35,55,0.017938184,0.1412544,0.028894929,0.097636286,0.005017804,0.009705382,0.287671233,21,73
530330022002,0.004040828,1.94E-05,75,26,66,67,0.018773654,0.171615843,0.036267743,0.10857196,0.0145664,0.01220974,0.289855072,20,69
530330022003,0.000828458,5.95E-06,83,47,46,49,0.00446097,0.026063417,0.009740797,0.012496873,0.001465271,0.002360476,0.28,21,75
530330022004,0.000474959,6.38E-06,70,33,23,56,0.034426839,0.087514592,0.03418225,0.035719108,0.010213524,0.00739971,0.428571429,21,49
530330024001,0.00185574,1.52E-05,63,32,57,75,0.009551579,0.079459719,0.055154767,0.013144974,0.011159978,0,0.273972603,20,73
