neighborhood,NAME,NBH_names,NCID,socio_status,fam_friendliness,infrastructure,connectivity,elem,upper,health,health_inverse,dev,population_total,population_female_perc,population_male_perc,perc_under18,perc_19to34,perc_35to64,perc_over65,num_units,num_permits,total_value_permits,math_perc_elem,reading_perc_elem,isa_perc_elem,fam_sat_elem,stu_sat_elem,math_upper,reading_upper,isa_upper,fam_upper,stu_upper,public_health,farmers_market,parks,food_banks,occupied_housing_units,perc_owner,perc_family,avg_occupancy,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,avg_driving_time,avg_transit_time,sidewalk_availability,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,median_house_value
1.1,33,100,1,0.181651411,1.230893495,-0.476235466,-1.904033067,-0.654331629,-1.952901953,1.648271217,-1.648271217,-0.286375648,6327,0.497464535,0.502535465,0.213400619,0.178271566,0.468293675,0.140034141,0,275,58781051,0.410233333,0.62836,0.95334,0.768,0.586,0.464248334,0.647579167,0.89264,0.653,0.441,2.838769746,5.668394117,0.585494547,2.461277308,2633,0.825199071,0.626180056,2.331113558,0.000862824,1.61E-05,143.4386333,38.4697294,38.6741418,24.4629353,42.48221078,0.014865266,24.23530874,72.94987927,0.030403631,0.236239815,0.045738594,90266.42001,51521.56329,0.019126974,2.516947624,411470.8647
1.2,33,100,2,0.401389497,0.518753244,0.146497616,-1.290879226,-0.598388369,-0.770827895,1.137119862,-1.137119862,-0.277748006,14649,0.541578394,0.458421606,0.182527507,0.142871784,0.52858365,0.146017059,80,820,143107309,0.605291641,0.645609117,0.953173021,0.804380425,0.58418446,0.486250118,0.677145293,0.910424284,0.636410183,0.460539118,4.249652865,2.734133201,0.452969616,2.470109691,6559,0.704920806,0.589618251,2.199747484,0.002177979,2.58E-05,113.0842005,32.14284781,51.92633104,38.27603062,46.91381512,0.019661343,22.36169339,65.5052714,0.095981076,0.187746477,0.064053504,98796.09621,56308.9038,0.024110513,2.577039699,515713.3069
1.3,33,100,3,0.498748066,0.309375887,-0.323961703,-0.498609946,-0.133277104,-0.498173073,0.305524941,-0.305524941,-0.050742393,19159,0.535312916,0.464687084,0.210158115,0.175675723,0.470356645,0.143809517,1887,1081,484191539,0.783439398,0.80847793,0.954783884,0.807731542,0.592034518,0.494088334,0.687678334,0.91676,0.6305,0.4675,5.813608677,1.1105008,0.435843799,1.103459615,8744,0.691630255,0.605402249,2.258146579,0.001673296,1.51E-05,62.85604551,29.04660836,75.35050006,49.57224797,48.00221812,0.014504619,19.23467579,60.2090609,0.07831775,0.170976049,0.044668615,88096.27033,45567.4734,0.014489831,2.668689291,444225.7812
1.4,33,100,4,0.705610384,-0.278745335,-0.382488303,-1.159496465,0.137397011,-0.08110635,1.159867928,-1.159867928,-0.27233593,11093,0.515054627,0.484945373,0.162850544,0.169461726,0.499251341,0.168436389,0,622,122985039,0.750506571,0.764758109,0.956407892,0.7876593,0.574280593,0.494088334,0.687678334,0.91676,0.6305,0.4675,6.027394452,2.308062047,0.218884347,2.513459608,5653,0.577437297,0.493916657,1.975759374,0.001544077,2.28E-05,62.88081274,58.13531439,54.63880648,44.90116612,35.39245011,0.014843853,21.45795811,70.37177633,0.062537957,0.169999858,0.05389381,102085.1361,64787.43099,0.024032523,2.733852122,608060.8518
2.1,33,100,5,0.170742385,0.031729093,0.245475269,-0.726198318,-0.417109634,-0.273834965,0.566809723,-0.566809723,-0.025635945,5054,0.471853481,0.528146519,0.142560682,0.300116171,0.483112329,0.074210818,221,443,219063844,0.744301273,0.694769634,0.958032001,0.742442699,0.515494298,0.494088334,0.687678334,0.91676,0.6305,0.4675,4.820281692,2.315729586,0.965078578,1.545677174,2610,0.600863725,0.431747803,1.914870624,0.002935401,1.60E-05,49.88731768,26.93014753,23.36575213,47.23329152,42.82129748,0.023831039,17,62.36458148,0.053637603,0.310019706,0.054024636,66778.67217,45884.71767,0.041213974,2.668553507,333179.0576
2.2,33,200,6,-1.138822176,0.991109952,0.342990155,-0.735716145,-0.71219719,-2.049629385,0.478012032,-0.478012032,-0.223850167,8093,0.4916357,0.5083643,0.260518715,0.31085755,0.368335282,0.060288453,104,385,149719349,0.470407709,0.488905168,0.949745592,0.807980475,0.559707586,0.476523992,0.664075268,0.902562549,0.643743891,0.45190164,3.70211613,2.441065468,0.497520953,2.027191752,2896,0.448169779,0.623550436,2.558623304,0.002252571,1.39E-05,88.65861694,23.13275151,43.59340777,39.9860932,47.58184805,0.024885769,19.99606829,58.80829723,0.054717451,0.59523107,0.114343738,53464.31747,27879.14486,0.080900697,2.022685074,301369.5302
2.3,33,200,7,-0.724204927,1.276141252,0.57040419,-0.662175979,-0.872834281,-0.744422112,0.258275828,-0.258275828,-0.259975881,4670,0.492231307,0.507768693,0.233804953,0.171862565,0.488851906,0.105480575,0,229,66761011,0.389429517,0.480992112,0.95259094,0.805011328,0.490173335,0.494088334,0.687678334,0.91676,0.6305,0.4675,3.813391081,3.015690553,0.543587689,1.615916191,1719,0.624834698,0.644295244,2.401343558,0.00276382,2.16E-05,80.28426828,26.23914793,35.62659576,45.46798669,42.95973057,0.03261478,20.28980116,60.28920559,0.049125848,0.544214278,0.123315799,70810.1092,33836.63077,0.059053938,2.164562779,313143.0322
2.4,33,200,8,-1.038699493,1.257153039,0.006517844,-0.727923409,-1.261579214,-2.623576022,0.3270687,-0.3270687,-0.230984793,12698,0.520737439,0.479262561,0.178860078,0.276360239,0.45459465,0.090185034,138,432,81598785,0.402252078,0.424689462,0.950145556,0.771152589,0.527729504,0.466783118,0.650985424,0.894688894,0.651088719,0.443251065,2.343139865,4.019002494,0.419227927,1.269394414,5498,0.572296689,0.571363839,2.279941608,0.00349793,1.78E-05,108.397976,23.8267492,64.10241308,51.80903808,52.0481801,0.014054864,21.12564473,58.54495027,0.071581113,0.481064363,0.132003132,62560.39593,33001.93248,0.047652816,2.051146783,302449.7651
2.5,33,200,9,-1.283505934,1.27482957,0.580863755,-0.539133139,-0.603255069,-2.678509216,0.116471452,-0.116471452,-0.252688822,7930,0.5183243,0.4816757,0.214531505,0.202326547,0.450669192,0.132472756,0,184,28804376,0.322343762,0.350855633,0.953053686,0.822188243,0.565794961,0.464248334,0.647579167,0.89264,0.653,0.441,1.453573769,4.863799421,0.46366593,0.833987495,3229,0.511820696,0.554927956,2.461035481,0.00335806,2.35E-05,95.47719723,27.07619485,48.01248978,40.18995309,45.19596119,0.022161065,21.00950185,60.55771947,0.085489683,0.549468935,0.101794329,59264.83234,28105.02151,0.016549841,1.857157456,312755.6743
3.1,33,200,10,-1.933551984,1.470538859,0.142575042,-0.450092235,-0.509003691,-3.011401064,-0.008206808,0.008206808,-0.261765738,6334,0.501620878,0.498379122,0.239603164,0.133649701,0.549688382,0.077058753,0,144,38483249,0.32012,0.3415,0.95581,0.797,0.555,0.464248334,0.647579167,0.89264,0.653,0.441,2.322294155,4.428544756,0.602345142,0.657831495,2486,0.453229434,0.515573023,2.352748095,0.002179182,1.74E-05,80.94032887,19.58511962,41.5593822,62.11271947,40.28615994,0.017726011,19.23801283,57.07587348,0.044415556,0.603417503,0.171930731,39450.21179,22954.72728,0.037457601,1.531246488,239651.8506
3.2,33,200,6,-0.49781084,-0.443669226,-0.52693356,-0.444768655,0.21057312,-0.440011579,0.507413749,-0.507413749,-0.167890652,1055,0.482744707,0.517255293,0.056511574,0.277669015,0.59714293,0.068676481,40,475,271170932,0.641409842,0.599595003,0.961759618,0.864408291,0.594168208,0.531274365,0.655191093,0.919885398,0.789841187,0.496502833,3.572180827,3.264781431,0.706051073,0.441915679,597,0.402334504,0.245117734,1.579240756,0.00180573,9.51E-06,52.36295849,15.11720843,44.6540413,54.75991654,46.25141665,0.013314455,16.74858335,50.36862508,0.031575072,0.274359139,0.158278304,44344.41398,32637.98539,0.028187016,2.233408291,311368.0288
3.3,33,300,1,-0.834635412,0.868875388,-0.358571555,0.30633443,0.545623455,0.101533586,0.017052206,-0.017052206,-0.128384188,2832,0.35201701,0.64798299,0.100732904,0.320500335,0.457130461,0.1216363,0,927,745946314,0.648409855,0.636932833,0.966663265,0.878383461,0.588067684,0.59534,0.672391667,0.931655,0.805,0.498,3.168539647,3.294673006,1.081501465,1.478030393,1069,0.57540846,0.414136339,2.155357947,0.003086486,1.12E-05,16.02023341,9.20662365,56.69739695,52.4669037,74.15622252,0.018166273,15.2338247,44.03750015,0.033215752,0.602792407,0.211225679,88626.79549,39304.69934,0.045417123,2.119353598,373703.8481
3.4,33,300,2,-2.229067705,2.61146107,0.30449685,-0.026033208,0.074599442,-2.691193717,-0.469729893,0.469729893,-0.247612827,15110,0.489283374,0.510716626,0.260876091,0.210343612,0.401951794,0.126828502,170,622,61118598,0.620708982,0.546847898,0.955954347,0.840965738,0.573987153,0.390185898,0.594512305,0.896025213,0.765421759,0.484551968,3.560307965,3.12398369,0.465866024,0.928788329,4620,0.597975822,0.754788019,3.145084846,0.003054926,1.57E-05,15.24516059,11.94398786,57.68847328,51.05644717,57.81145474,0.022370936,19.28380979,61.71492479,0.042970652,0.918615397,0.198624607,50323.58875,20220.44519,0.049085758,1.404518547,298473.5972
