name,address,lat,long,OBJECTID,GIS_ID,,,,,,,,
Ballard House,"2445 NW 57th St, Seattle, WA 98107",47.6696435,-122.3897877,1,,,,,,,,,
Barton Place,"9201 Rainier Ave S, Seattle, WA 98118",47.5206121,-122.2704771,2,,,,,,,,,
Beacon Tower,"1311 S Massachusetts St, Seattle, WA 98144",47.5882102,-122.3155927,3,,,,,,,,,
Bell Tower,"2215 1st Ave, Seattle, WA 98121",47.6127961,-122.3461302,4,,,,,,,,,
Bitter Lake Manor,"620 N 130th St, Seattle, WA 98133",47.723733,-122.350882,5,,,,,,,,,
Blakeley Manor,"2401 NE Blakeley St, Seattle, WA 98105",47.6657869,-122.3015699,6,,,,,,,,,
Cal-Mor Circle,"6420 California Ave SW, Seattle, WA 98136",47.5454548,-122.3867605,7,,,,,,,,,
Capitol Park,"525 14th Ave E, Seattle, WA 98112",47.6238378,-122.3150836,8,,,,,,,,,
Carroll Terrace,"600 5th Ave W, Seattle, WA 98119",47.624825,-122.362904,9,,,,,,,,,
Cedarvale House,"11050 8th Ave NE, Seattle, WA 98125",47.7103298,-122.3200795,10,,,,,,,,,
Cedarvale Village,"11219 Roosevelt Way NE, Seattle, WA 98125",47.7104849,-122.3181185,11,,,,,,,,,
Center Park,"2121 26th Ave S, Seattle, WA 98144",47.5842083,-122.2996639,12,,,,,,,,,
Columbia Place,"4628 S Holly St, Seattle, WA 98118",47.5429024,-122.2740054,13,,,,,,,,,
Denny Terrace,"100 Melrose Ave E, Seattle, WA 98102",47.6190821,-122.3275029,14,,,,,,,,,
Fort Lawton Place,"3401 W Government Way, Seattle, WA 98199",47.6587043,-122.401324,15,,,,,,,,,
Fremont Place,"601 Phinney Ave N, Seattle, WA 98103",47.6776467,-122.3546023,16,,,,,,,,,
Gideon-Mathews Gardens,"323 25th Ave S, Seattle, WA 98144",47.5997485,-122.3002174,17,,,,,,,,,
Green Lake Plaza,"505 NE 70th St, Seattle, WA 981151",47.6792504,-122.3219992,18,,,,,,,,,
Harvard Court,"610 Harvard Ave E, Seattle, WA 98102",47.6246095,-122.3217202,19,,,,,,,,,
High Point,"6558 35th Ave SW, Seattle, WA 98126",47.543146,-122.376058,20,,,,,,,,,
Holly Court,"3824 S Myrtle St, Seattle, WA 98118",47.5399122,-122.283828,21,,,,,,,,,
International Terrace,"202 6th Ave S, Seattle, WA 98104",47.600367,-122.325965,22,,,,,,,,,
Island View,"3033 California Ave SW, Seattle, WA 98116",47.5760942,-122.3871149,23,,,,,,,,,
Jackson Park House,"14396 30th Ave NE, Seattle, WA 98125",47.7330975,-122.2965127,24,,,,,,,,,
Jackson Park Village,"14378 30th Ave NE, Seattle, WA 98125",47.7335496,-122.2959384,25,,,,,,,,,
Jefferson Terrace,"800 Jefferson St, Seattle, WA 98104",47.6046412,-122.3254777,26,,,,,,,,,
"Kebero Court, Yesler","1105 E Fir St, Seattle, WA 98122",47.6022392,-122.3178869,27,,,,,,,,,
Lake City Court,"12536 33rd Ave NE, Seattle, WA 98125",47.7202697,-122.291934,28,,,,,,,,,
Lake City House,"12546 33rd Ave NE, Seattle, WA 98125",47.7208085,-122.2919809,29,,,,,,,,,
Leschi House,"1011 S Weller St, Seattle, WA 98104",47.5970235,-122.3188741,30,,,,,,,,,
Lictonwood,"9009 Greenwood Ave N, Seattle, WA 98103",47.6946099,-122.3557921,31,,,,,,,,,
Longfellow Creek,"5915 Delridge Way SW, Seattle, WA 98106",47.549484,-122.363719,32,,,,,,,,,
Michaelson Manor,"320 W Roy St, Seattle, WA 98119",47.6261158,-122.3614607,33,,,,,,,,,
Nelson Manor,"2200 NW 58th St, Seattle, WA 98107",47.6711313,-122.3851561,34,,,,,,,,,
NewHolly,"1011 S Weller St, Seattle, WA 98104",47.5970235,-122.3188741,35,,,,,,,,,
Olive Ridge,"1700 17th Ave, Seattle, WA 98122",47.6167924,-122.3097907,36,,,,,,,,,
Olmsted Manor,"501 NE Ravenna Blvd, Seattle, WA 98115",47.6772179,-122.3239091,37,,,,,,,,,
Olympic West,"110 W Olympic Pl, Seattle, WA 98119",47.6269272,-122.3588823,38,,,,,,,,,
Phinney Terrace,"6561 Phinney Ave N, Seattle, WA 98103",47.6771009,-122.3547585,39,,,,,,,,,
Pinehurst Court,"12702 15th Ave NE, Seattle, WA 98125",47.7214157,-122.312147,40,,,,,,,,,
Pleasant Valley Plaza,"3801 34th Ave W, Seattle, WA 98199",47.6544222,-122.4013607,41,,,,,,,,,
Primeau Place,"308 14th Ave E, Seattle, WA 98112",47.621474,-122.3142195,42,,,,,,,,,
Queen Anne Heights,"1212 Queen Anne Ave N, Seattle, WA 98109",47.630173,-122.356278,43,,,,,,,,,
Rainier Vista,"4570 Martin Luther King Jr Way S, Seattle, WA 98108",47.5619187,-122.2936932,44,,,,,,,,,
"Raven Terrace, Yesler","820 Yesler Way, Seattle, WA 98104",47.6019113,-122.3219913,45,,,,,,,,,
Ravenna School Apartments,"6545 Ravenna Ave NE, Seattle, WA 98115",47.677265,-122.304478,46,,,,,,,,,
Reunion House,"530 10th Ave E, Seattle, WA 98102",47.6239581,-122.3195852,47,,,,,,,,,
Ross Manor,"1420 Western Ave, Seattle, WA 98101",47.6080435,-122.3403777,48,,,,,,,,,
Schwabacher House,"1715 NW 59th St, Seattle, WA 98107",47.6714165,-122.3798978,49,,,,,,,,,
South Park Manor,"520 S Cloverdale St, Seattle, WA 98108",47.5267406,-122.3274828,50,,,,,,,,,
Stewart Manor,"6339 34th Ave SW, Seattle, WA 98126",47.5451817,-122.3754433,51,,,,,,,,,
Sunrise Manor,"1530 NW 57th St, Seattle, WA 98107",47.6703997,-122.3773997,52,,,,,,,,,
"The Baldwin, Yesler","1305 E Fir St, Seattle, WA 98122",47.6024807,-122.3147214,53,,,,,,,,,
Tri-Court,"724 N 143rd St, Seattle, WA 98133",47.7325701,-122.349177,54,,,,,,,,,
University House,"4700 12th Ave NE, Seattle, WA 98105",47.663385,-122.3149409,55,,,,,,,,,
University West,"4544 7th Ave NE, Seattle, WA 98105",47.662393,-122.3203982,56,,,,,,,,,
West Town View,"1407 2nd Ave W, Seattle, WA 98119",47.6315651,-122.3596045,57,,,,,,,,,
Westwood Heights,"9455 27th Ave SW, Seattle, WA 98126",47.5180924,-122.3677896,58,,,,,,,,,
Wildwood Glen,"4502 SW Wildwood Pl, Seattle, WA 98136",47.5210799,-122.3905138,59,,,,,,,,,
Willis House,"6341 5th Ave NE, Seattle, WA 98115",47.6756586,-122.3237908,60,,,,,,,,,
Wisteria Court,"7544 24th Ave SW #1, Seattle, WA 98106",47.5342646,-122.3629134,61,,,,,,,,,
Yesler,"680 E Yesler Way, Seattle, WA 98122",47.601698,-122.320757,62,,,,,,,,,
