block_group,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,red_lun_avg,median_house_value
5.30E+11,0.155452436,0.047177108,113672,68764,0.020108275,2.866,0.46663,577800
5.30E+11,0.499168053,0.158069884,37083,27463,0.050748752,1.987,0.46663,247600
5.30E+11,0.453640324,0.13378967,56875,35299,0.031736154,2.335,0.356543333,348300
5.30E+11,0.957048458,0.136563877,27955,17369,0.072687225,1.889,0.46663,471679.3478
5.30E+11,0.302,0.044,35417,32499,0.06,2.115,0.46663,351400
5.30E+11,0.467544685,0.221072437,75197,35132,0.065851364,2.24,0.46663,314600
5.30E+11,0.624671916,0.089238845,48516,23328,0.10936133,2.279,0.46663,385400
5.30E+11,0.487739872,0.159914712,43013,28691,0.021855011,2.415,0.45411,428400
5.30E+11,0.55651341,0.025862069,52619,27184,0.022030651,2.298,0.46663,301100
5.30E+11,0.354752343,0.158634538,65028,35482,0.018741633,2.322,0.45411,345500
5.30E+11,0.257016248,0.039143279,92083,41256,0.038404727,2.853,0.46663,337600
5.30E+11,0.238793103,0.152586207,82663,36618,0.029310345,1.936,0.447443333,342700
5.30E+11,0.363574814,0.144211239,58750,38751,0,2.105,0.447443333,331300
5.30E+11,0.57113523,0.160750953,31590,22984,0.04576122,2.09,0.388296667,303500
5.30E+11,0.504322767,0.034582133,61000,38175,0.018731988,2.4,0.388296667,329200
5.30E+11,0.199099099,0.056756757,27016,28125,0.02972973,2.103,0.388296667,220500
5.30E+11,0.155737705,0.076502732,49242,35612,0.031876138,2.218,0.388296667,393200
5.30E+11,0.153116531,0.127371274,61227,41931,0.002710027,2.769,0.388296667,291500
5.30E+11,0.334160463,0.146401985,54865,42827,0.039702233,2.437,0.388296667,401600
5.30E+11,0.276732939,0.000537346,73088,52050,0.000537346,2.393,0.388296667,508500
5.30E+11,0.054945055,0,112083,61557,0.021062271,3.014,0.388296667,642700
5.30E+11,0.248612653,0.032186459,126667,56260,0.02108768,2.796,0.388296667,536300
5.30E+11,0.137963844,0.085632731,129345,55708,0.050428164,2.878,0.388296667,536200
5.30E+11,0.330417881,0.040816327,82500,37103,0.034013605,2.186,0.447443333,349500
5.30E+11,0.304950495,0.140594059,39438,26869,0,2.248,0.340433333,296000
5.30E+11,0.761548913,0.178668478,64479,34569,0.050271739,2.469,0.447443333,327800
5.30E+11,0.237149533,0.13317757,57826,35172,0.04614486,2.218,0.447443333,413800
5.30E+11,0.784632035,0.1504329,82750,31167,0,2.08,0.447443333,418100
5.30E+11,0.423706614,0.201702685,60000,32183,0.042567125,2.462,0.340433333,359200
5.30E+11,0.52118039,0.166111376,47546,23058,0.039504998,2.266,0.356543333,216800
5.30E+11,0.443262411,0.171985816,46466,31583,0,2.583,0.356543333,299200
5.30E+11,0.428837209,0.029767442,105333,42269,0.03255814,2.502,0.315173333,368900
5.30E+11,0.299319728,0.015306122,80333,49428,0.006802721,2.508,0.315173333,364200
5.30E+11,0.220522052,0.090909091,77500,43798,0.0180018,2.756,0.356543333,403800
5.30E+11,0.135174419,0.055959302,91625,46670,0.037790698,2.754,0.356543333,432200
5.30E+11,0.253938832,0.032437442,125272,60782,0.016682113,2.889,0.356543333,549100
5.30E+11,0.131165919,0.015695067,114712,73095,0.039237668,3.355,0.356543333,758100
5.30E+11,0.616346154,0.1,51250,24776,0.088461538,2.325,0.356543333,374600
5.30E+11,0.372865275,0.068311195,91250,43198,0.029411765,2.845,0.242846667,453400
5.30E+11,0.368647717,0.028423773,63929,33270,0.025839793,2.517,0.315173333,388200
5.30E+11,0.306366048,0.080901857,64943,46326,0.020557029,2.897,0.315173333,405300
5.30E+11,0.315748642,0.107835531,99667,54758,0.020170675,2.596,0.340433333,420600
5.30E+11,0.718888889,0.164444444,50172,35206,0.035555556,2.708,0.340433333,615900
5.30E+11,0.351371386,0.04818384,20423,21523,0.040770941,2.017,0.340433333,162300
5.30E+11,0.561651917,0.180530973,40128,23484,0.057227139,2.026,0.340433333,180800
5.30E+11,0.489795918,0.199546485,20327,22876,0.015117158,2.172,0.447443333,229200
5.30E+11,0.406976744,0.059507524,47788,43819,0.068399453,2.259,0.361386667,321000
5.30E+11,0.487195503,0.101186758,64004,38051,0.059337914,2.551,0.361386667,272100
5.30E+11,0.37254902,0.190045249,64137,39932,0.025641026,2.577,0.361386667,361100
5.30E+11,0.142401022,0.099616858,61570,30762,0.04916986,2.42,0.361386667,369100
5.30E+11,0.1522158,0.075144509,58750,40828,0.04238921,2.205,0.361386667,421200
5.30E+11,0.400296516,0.206078577,67011,33531,0.043736101,2.326,0.361386667,332500
5.30E+11,0.156572165,0.068943299,120083,44879,0.040592784,2.798,0.234126667,503000
5.30E+11,0.067811159,0.006866953,91875,48191,0.055793991,2.769,0.234126667,579700
5.30E+11,0.123276561,0.02757502,96750,61355,0.02919708,2.919,0.22857,594000
5.30E+11,0.09575234,0.05975522,120000,73827,0.011519078,3.074,0.234126667,849700
5.30E+11,0.13909465,0.067489712,101991,57052,0.017283951,2.576,0.234126667,687800
5.30E+11,0.349037823,0.117451891,69712,38323,0.04246848,2.568,0.234126667,411000
5.30E+11,0.479041916,0.083832335,60792,41323,0.070767556,2.731,0.265606667,366700
5.30E+11,0.087982833,0.113733906,62917,52860,0.083690987,2.532,0.265606667,291500
5.30E+11,0.442457232,0.108087092,80625,49067,0.047433904,2.433,0.361386667,298900
5.30E+11,0.313854235,0.031516743,50398,34707,0.028233749,2.646,0.361386667,374800
5.30E+11,0.181093394,0.067198178,60000,46506,0.043280182,2.55,0.236783333,378100
5.30E+11,0.295454545,0.170821114,66568,30332,0.024193548,2.185,0.236783333,399100
5.30E+11,0.261275272,0.063763608,81285,40628,0.107309487,2.258,0.361386667,358800
5.30E+11,0.460383221,0.14344899,106101,46376,0.052822372,2.592,0.252943333,410600
5.30E+11,0.246406571,0.056125941,75441,39832,0,2.798,0.252943333,343900
