block_group,median_earning_female,median_earning_male,population_born_total,population_foreign_born,population_foreign_born_perc,,median_earning_lessthanhighschool,median_earning_highschool,median_earning_somecollege,median_earning_bachelor,median_earning_advance
530330001001,43214,51333,1293,264,0.204176334,,,,,,
530330001002,,,1202,180,0.149750416,,,,,,
530330001003,30038,41370,1607,496,0.308649658,,,,,,
530330001004,18697,35915,1816,661,0.363986784,,,,,,
530330001005,39327,41181,1000,169,0.169,,,,,,
530330002001,39813,36612,1063,309,0.290686736,,,,,,
530330002002,,,1143,300,0.262467192,,,,,,
530330002003,24757,42372,1876,759,0.404584222,,,,,,
530330002004,,,1044,391,0.374521073,,,,,,
530330002005,30167,50426,1494,238,0.159303882,,,,,,
530330002006,45539,56452,1354,140,0.103397341,,,,,,
530330003001,45605,36406,1160,92,0.079310345,,,,,,
530330003002,38295,33750,1477,219,0.148273527,,,,,,
530330004011,21974,31574,3409,761,0.22323262,,13803,27105,31545,33125,43990
530330004012,53059,44856,1388,502,0.36167147,,13803,27105,31545,33125,43990
530330004013,16944,27390,1110,104,0.093693694,,13803,27105,31545,33125,43990
530330004021,40588,42019,1098,112,0.102003643,,13803,27105,31545,33125,43990
530330004022,25707,41675,738,44,0.059620596,,24592,30814,31618,48542,53171
530330004023,19267,34565,1209,132,0.109181141,,24592,30814,31618,48542,53171
530330004024,53750,37243,1861,201,0.108006448,,24592,30814,31618,48542,53171
530330005001,45139,85852,1092,68,0.062271062,,,,,,
530330005002,66250,68542,901,187,0.20754717,,,,,,
530330005003,43309,86250,1051,105,0.099904853,,,,,,
530330006001,31902,44013,1029,225,0.218658892,,20402,30625,34095,49183,55426
530330006002,32177,19545,1010,278,0.275247525,,20402,30625,34095,49183,55426
530330006003,46125,40368,1472,507,0.344429348,,20402,30625,34095,49183,55426
530330006004,27475,41747,1712,196,0.114485981,,20402,30625,34095,49183,55426
530330006005,,,924,165,0.178571429,,20402,30625,34095,49183,55426
530330006006,24303,43571,1527,317,0.207596595,,20402,30625,34095,49183,55426
530330007001,25729,27113,2101,680,0.323655402,,,,,,
530330007002,,,1128,231,0.204787234,,,,,,
530330007003,42167,51725,1075,206,0.191627907,,,,,,
530330007004,46083,50605,588,97,0.164965986,,,,,,
530330008001,44250,53289,1111,128,0.115211521,,,,,,
530330008002,35750,63500,1376,121,0.087936047,,,,,,
530330009001,45227,96875,1079,140,0.129749768,,,,,,
530330009002,48977,80250,892,89,0.099775785,,,,,,
530330010001,24674,27778,1040,260,0.25,,-,16250,25741,55000,72368
530330010002,25662,74083,1054,169,0.160341556,,-,16250,25741,55000,72368
530330011001,37047,39844,1161,260,0.223944875,,,,,,
530330011002,30991,56750,1508,156,0.103448276,,,,,,
530330012001,39500,54583,1289,88,0.068269977,,,,,,
530330012002,53125,37564,900,255,0.283333333,,,,,,
530330012003,,,1349,371,0.275018532,,,,,,
530330012004,25713,33182,1695,840,0.495575221,,,,,,
530330012005,21523,35303,1323,482,0.364323507,,,,,,
530330013001,40054,41731,1462,382,0.26128591,,,,,,
530330013002,47833,48917,1601,271,0.169269207,,,,,,
530330013003,41463,47208,1326,314,0.236802413,,,,,,
530330014001,32736,34750,1566,109,0.069604087,,17926,32344,37364,49264,56898
530330014002,24779,61333,1038,55,0.052986513,,17926,32344,37364,49264,56898
530330014003,40515,48264,1349,360,0.266864344,,17926,32344,37364,49264,56898
530330014004,50380,41667,1552,227,0.146262887,,17926,32344,37364,49264,56898
530330015001,39286,70179,1165,64,0.054935622,,-,40903,48194,72121,85714
530330015002,58843,80556,1233,123,0.099756691,,-,40903,48194,72121,85714
530330016001,52414,95221,1389,67,0.048236141,,,,,,
530330016002,47216,62356,1215,123,0.101234568,,,,,,
530330016003,41250,43207,1507,231,0.153284672,,,,,,
530330017011,40719,47391,1837,165,0.089820359,,,,,,
530330017012,41935,65769,932,80,0.08583691,,,,,,
530330017013,42944,32467,1286,178,0.138413686,,,,,,
530330017021,37375,36509,1523,334,0.219304005,,,,,,
530330017022,51957,50321,878,78,0.088838269,,,,,,
530330017023,31389,40885,1364,164,0.120234604,,,,,,
530330017024,27614,46522,643,72,0.111975117,,,,,,
530330018001,40893,42822,1931,130,0.067322631,,,,,,
530330018002,56023,41622,1461,284,0.194387406,,,,,,
530330018003,31786,33351,1825,462,0.253150685,,,,,,
530330019001,34743,43056,2216,533,0.240523466,,20324,65703,39028,56412,52431
530330019002,35000,38188,1366,125,0.091508053,,20324,65703,39028,56412,52431
530330019003,42074,51944,1141,223,0.195442594,,20324,65703,39028,56412,52431
530330020001,44097,46625,1750,168,0.096,,,,,,
530330020002,27267,41513,1049,153,0.145853194,,,,,,
530330020003,44432,56771,801,79,0.098626717,,,,,,
530330021001,45375,67734,1749,293,0.1675243,,,,,,
530330021002,41734,41318,859,162,0.188591385,,,,,,
530330021003,38676,36167,1540,426,0.276623377,,,,,,
530330022001,34934,40500,1553,223,0.143593046,,,,,,
530330022002,52344,66023,1498,210,0.140186916,,,,,,
530330022003,63333,129130,1330,136,0.102255639,,,,,,
530330022004,96750,96813,1241,43,0.034649476,,,,,,
530330024001,44444,99844,948,32,0.033755274,,,,,,
530330024002,30938,32218,801,185,0.230961298,,,,,,
530330024003,55556,72656,1245,51,0.040963855,,,,,,
530330025001,45278,70104,1461,103,0.070499658,,-,47083,29493,69737,53125
530330025002,45500,81528,1520,170,0.111842105,,-,47083,29493,69737,53125
530330026001,32788,52566,1269,210,0.165484634,,-,30179,35000,60122,77153
530330026002,49063,77031,1305,120,0.091954023,,-,30179,35000,60122,77153
530330026003,40417,61779,1459,138,0.094585332,,-,30179,35000,60122,77153
530330026004,24141,45847,956,70,0.073221757,,-,30179,35000,60122,77153
530330027001,32852,38889,2098,161,0.076739752,,,,,,
530330027002,66723,65192,1427,334,0.234057463,,,,,,
530330027003,95972,39231,1226,232,0.189233279,,,,,,
530330027004,,,1276,117,0.09169279,,,,,,
530330028001,32763,106042,939,103,0.109691161,,,,,,
530330028002,33438,50565,1091,138,0.126489459,,,,,,
530330028003,,,1092,161,0.147435897,,,,,,
530330028004,49605,62305,1605,72,0.044859813,,,,,,
530330029001,41375,66458,1517,131,0.086354647,,,,,,
530330029002,31622,82760,1552,115,0.074097938,,,,,,
530330029003,58958,43750,1234,94,0.076175041,,,,,,
530330030001,53571,73036,1446,123,0.085062241,,,,,,
530330030002,,,1598,99,0.061952441,,,,,,
530330030003,,,1335,97,0.072659176,,,,,,
530330030004,42342,84364,1340,84,0.062686567,,,,,,
530330031001,50750,83125,976,66,0.067622951,,24097,23346,50969,62411,77292
530330031002,66071,83398,955,64,0.067015707,,24097,23346,50969,62411,77292
530330031003,38000,65081,1295,131,0.101158301,,24097,23346,50969,62411,77292
530330031004,39931,92414,1800,103,0.057222222,,24097,23346,50969,62411,77292
530330031005,35923,90417,1197,80,0.066833751,,24097,23346,50969,62411,77292
530330032001,31103,57708,913,58,0.063526835,,,,,,
530330032002,39093,51524,1461,84,0.057494867,,,,,,
530330032003,41690,75461,1144,110,0.096153846,,,,,,
530330032004,33702,54028,1054,116,0.110056926,,,,,,
530330032005,41739,53750,633,33,0.052132701,,,,,,
530330032006,26278,35655,1808,43,0.023783186,,,,,,
530330032007,31629,68569,1220,173,0.141803279,,,,,,
530330033001,36384,55750,1595,56,0.035109718,,,,,,
530330033002,46579,57237,895,67,0.074860335,,,,,,
530330033003,35963,48908,2120,123,0.058018868,,,,,,
530330033004,46420,67222,1100,163,0.148181818,,,,,,
530330033005,42292,64261,862,63,0.073085847,,,,,,
530330034001,41515,51184,1197,53,0.04427736,,,,,,
530330034002,47604,73382,1310,58,0.044274809,,,,,,
530330034003,48967,65000,1080,109,0.100925926,,,,,,
530330035001,50028,72857,1328,118,0.088855422,,,,,,
530330035002,41950,68929,1412,100,0.07082153,,,,,,
530330035003,,,1220,78,0.063934426,,,,,,
530330036001,30993,55917,1466,206,0.140518417,,,,,,
530330036002,53462,56758,1408,228,0.161931818,,,,,,
530330036003,34946,99000,1211,190,0.156895128,,,,,,
530330036004,25491,42472,2037,142,0.069710358,,,,,,
530330038001,51125,56563,1201,92,0.076602831,,,,,,
530330038002,46250,65750,964,177,0.183609959,,,,,,
530330039001,31645,57109,2089,238,0.11393011,,-,16719,36750,65962,102763
530330039002,71477,87500,991,168,0.169525732,,-,16719,36750,65962,102763
530330040001,50152,50298,1954,278,0.142272262,,,,,,
530330040002,71875,103125,1171,117,0.099914603,,,,,,
530330041001,38008,32348,1284,555,0.432242991,,,,,,
530330041002,,,1934,315,0.162874871,,,,,,
530330041003,82000,102794,1474,75,0.050881954,,,,,,
530330041004,63152,57986,1326,197,0.148567119,,,,,,
530330041005,,,1030,98,0.095145631,,,,,,
530330041006,,,820,43,0.052439024,,,,,,
530330042001,75878,96276,1647,247,0.149969642,,,,,,
530330042002,,,1723,285,0.16540917,,,,,,
530330042003,,,1543,248,0.160725859,,,,,,
530330042004,47647,80813,1727,59,0.034163289,,,,,,
530330042005,40167,70054,1536,60,0.0390625,,,,,,
530330043011,12419,27763,1085,468,0.431336406,,,,,,
530330043012,,,1132,89,0.078621908,,,,,,
530330043013,35433,60179,1331,98,0.07362885,,,,,,
530330043021,5379,5107,1894,214,0.112988384,,,,,,
530330043022,,,1809,789,0.43615257,,,,,,
530330044001,48056,46905,1096,42,0.038321168,,,,,,
530330044002,30579,50060,1418,113,0.079689704,,,,,,
530330044003,8939,18333,2750,160,0.058181818,,,,,,
530330044004,10159,19394,1343,183,0.1362621,,,,,,
530330045001,,,932,46,0.049356223,,,,,,
530330045002,32892,40899,2120,209,0.098584906,,,,,,
530330046001,54250,40380,1085,115,0.105990783,,,,,,
530330046002,45319,87882,1335,80,0.059925094,,,,,,
530330046003,,,1044,103,0.098659004,,,,,,
530330047001,,,1460,296,0.202739726,,,,,,
530330047002,31250,36585,1556,104,0.066838046,,,,,,
530330047003,51295,58250,2587,267,0.103208349,,,,,,
530330047004,31610,60483,2792,588,0.210601719,,,,,,
530330048001,44471,63984,1054,34,0.032258065,,-,46765,37099,44363,65888
530330048002,55147,46250,1303,123,0.094397544,,-,46765,37099,44363,65888
530330048003,38654,34009,1120,61,0.054464286,,-,46765,37099,44363,65888
530330048004,35388,71161,1295,94,0.072586873,,-,46765,37099,44363,65888
530330049001,47963,41875,978,97,0.099182004,,,,,,
530330049002,35727,51973,1417,188,0.132674665,,,,,,
530330049003,50952,63125,1185,149,0.125738397,,,,,,
530330049004,20225,75424,1543,75,0.04860661,,,,,,
530330049005,41387,48618,1800,151,0.083888889,,,,,,
530330050001,36713,47593,1478,108,0.073071719,,-,30294,26773,43224,69010
530330050002,43906,77813,768,87,0.11328125,,-,30294,26773,43224,69010
530330050003,33851,43750,1449,173,0.119392685,,-,30294,26773,43224,69010
530330051001,41136,51604,1378,203,0.147314949,,,,,,
530330051002,35243,103125,1215,36,0.02962963,,,,,,
530330051003,57647,66375,1133,106,0.093556929,,,,,,
530330052001,7881,6234,936,287,0.306623932,,,,,,
530330052002,10732,7781,1564,715,0.457161125,,,,,,
530330052003,,,1069,57,0.053320861,,,,,,
530330052004,38043,22458,1962,222,0.113149847,,,,,,
530330052005,,,1113,411,0.369272237,,,,,,
