,block_group,neighborhood,portion,weight
1,530330001001,8.3,0.170108904,1
2,530330001002,8.3,0.07153908,1
3,530330001003,8.3,0.012467584,1
4,530330001004,8.3,0.065777884,1
5,530330001005,8.3,0.071362266,1
6,530330002001,8.2,0.12119852,1
7,530330002002,8.2,0.141281173,1
8,530330002003,8.2,0.030800482,1
9,530330002004,8.2,0.058368069,1
10,530330002005,8.2,0.033647579,1
11,530330002006,8.2,0.190140487,1
12,530330003001,9.5,0.217821499,1
13,530330003002,9.5,0.194995878,1
14,530330004011,9.1,0.136472974,1
15,530330004012,9.1,0.134628364,1
16,530330004013,9.1,0.019779818,1
17,530330004021,9.1,0.061651574,1
18,530330004022,9.1,0.066274649,1
19,530330004023,9.1,0.19101322,1
20,530330004024,9.1,0.071968051,1
21,530330005001,9.1,0.062702538,1
22,530330005002,9.1,0.082010647,1
23,530330005003,9.1,0.063626593,1
24,530330006001,9.5,0.101474659,1
25,530330006002,9.5,0.029030709,1
26,530330006003,9.5,0.104537803,1
27,530330006004,9.5,0.138366933,1
28,530330006005,9.5,0.138729611,1
29,530330006006,9.5,0.075042909,1
30,530330007001,8.2,0.067802663,1
31,530330007002,8.2,0.064921715,1
32,530330007003,8.2,0.048018208,1
33,530330007004,8.2,0.055265152,1
34,530330008001,8.3,0.058777352,1
35,530330008002,8.3,0.209518007,1
36,530330009001,8.3,0.07718813,1
37,530330009002,8.3,0.173718315,1
38,530330010001,8.3,0.039585098,1
39,530330010002,8.3,0.049957379,1
40,530330011001,8.2,0.089159249,1
41,530330011002,8.2,0.099396704,1
42,530330012001,8.1,0.106362615,1
43,530330012002,8.1,0.031989528,1
44,530330012003,8.1,0.017230231,1
45,530330012004,8.1,0.060124399,1
46,530330012005,8.1,0.09062362,1
47,530330013001,9.2,0.24861442,1
48,530330013002,9.2,0.168527246,1
49,530330013003,9.2,0.164611377,1
50,530330014001,10.1,0.072307463,1
51,530330014002,10.1,0.070354647,1
52,530330014003,10.1,0.072113537,1
53,530330014004,10.1,0.258473312,1
54,530330015001,10.1,0.085947495,1
55,530330015002,10.1,0.109871437,1
56,530330016001,10.1,0.086488295,1
57,530330016002,10.1,0.127500675,1
58,530330016003,10.1,0.116943138,1
59,530330017011,9.3,0.031198565,1
60,530330017012,9.3,0.038651421,1
61,530330017013,9.3,0.056092567,1
62,530330017021,9.3,0.040398599,1
63,530330017022,9.3,0.031092832,1
64,530330017023,9.3,0.049819996,1
65,530330017024,9.3,0.037555317,1
66,530330018001,9.2,0.105324025,1
67,530330018002,9.2,0.188924168,1
68,530330018003,9.2,0.123998763,1
69,530330019001,8.1,0.090031526,1
70,530330019002,8.1,0.088043005,1
