neighborhood,portion,household_1_person,household_2_person,household_3_person,household_4_person,household_5_person,household_6_person,household_7ormore_person,household_family,household_female_family,household_male_family,household_married_family,household_nonfamily,household_total,median_gross_rent,median_house_value,median_household_income,occupied_housing_units,per_capita_income,population_19to34,population_35to64,population_65andover,population_asian,population_black,population_edu_advanced,population_edu_bachelor,population_edu_highschool,population_edu_nodiploma,population_edu_somecollege,population_edu_total,population_female,population_hispanic,population_industry_administration,population_industry_agriculture,population_industry_art,population_industry_construction,population_industry_education,population_industry_finance,population_industry_informatin,population_industry_management,population_industry_manufacture,population_industry_other,population_industry_retail,population_industry_total,population_industry_transportation,population_industry_wholesale,population_male,population_no_health_insurance,population_poverty,population_race_other,population_total,population_trans_car,population_trans_other,population_trans_public,population_trans_total,population_under18,population_unemployed,population_white,tenure_owner,tenure_renter,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5ormore,vehicle_no,household_1_person_margin,household_2_person_margin,household_3_person_margin,household_4_person_margin,household_5_person_margin,household_6_person_margin,household_7ormore_person_margin,household_family_margin,household_female_family_margin,household_male_family_margin,household_married_family_margin,household_nonfamily_margin,household_total_margin,median_gross_rent_margin,median_house_value_margin,median_household_income_margin,occupied_housing_units_margin,per_capita_income_margin,population_19to34_margin,population_35to64_margin,population_65andover_margin,population_asian_margin,population_black_margin,population_edu_advanced_margin,population_edu_bachelor_margin,population_edu_highschool_margin,population_edu_nodiploma_margin,population_edu_somecollege_margin,population_edu_total_margin,population_female_margin,population_hispanic_margin,population_industry_administration_margin,population_industry_agriculture_margin,population_industry_art_margin,population_industry_construction_margin,population_industry_education_margin,population_industry_finance_margin,population_industry_informatin_margin,population_industry_management_margin,population_industry_manufacture_margin,population_industry_other_margin,population_industry_retail_margin,population_industry_total_margin,population_industry_transportation_margin,population_industry_wholesale_margin,population_male_margin,population_no_health_insurance_margin,population_poverty_margin,population_race_other_margin,population_total_margin,population_trans_car_margin,population_trans_other_margin,population_trans_public_margin,population_trans_total_margin,population_under18_margin,population_unemployed_margin,population_white_margin,tenure_owner_margin,tenure_renter_margin,vehicle_1_margin,vehicle_2_margin,vehicle_3_margin,vehicle_4_margin,vehicle_5ormore_margin,vehicle_no_margin
1.1,0.9999999989999999,693,1023,422,351,101,43,0,1657,255,73,1329,976,2633,7392.0,2038700.0,449762.0,2633,254206.0,1151,2923,873,278,146,876,1632,718,143,1300,4669,3146,307,166,0,153,158,907,290,179,531,278,185,405,3606,213,141,3181,278,259,767,6327,2746,413,418,3577,1380,127,5136,2178,455,719,1270,462,68,17,97,131.5826736314474,155.65988564816564,102.62066068779717,108.62780491200216,62.161081071680215,44.77722635447622,37.94733192202055,142.54472982190538,84.0,43.278170016764804,134.8332303254654,156.6620566697629,157.81001235663092,846.8878320061045,135921.87780854118,53610.452562909784,157.81001235663092,21667.323277230164,215.93980642762463,277.65266071118424,150.7083275734954,107.32194556566705,174.76841819962783,171.78183838811367,224.39696967650877,153.27426398453198,118.01694793545543,192.0546797138773,302.0281443839299,266.58019431308094,145.16886718577092,71.96526940128828,37.94733192202055,78.0,74.05403432629448,149.64959071110084,100.29955134495867,87.7040477971228,112.37882362794157,91.77145525706781,73.0,105.64563407921787,298.4091151422825,77.69169839822013,62.4099351065197,301.55264880282516,116.71332400373147,149.87661592123038,688.5826021618611,474.28788725836125,260.14226876845674,415.59716072177395,131.25928538583472,296.3410197728286,218.71442567878324,49.21381919745713,455.12086306826234,158.18343781824947,124.30607386608267,141.53444810363305,160.47429700734008,113.40194001867869,50.67543783727971,39.102429592034305,62.8728876384726
1.2,1.0000000010000003,2008,2692,847,801,145,66,0,3812,561,172,3079,2747,6559,13383.0,5899200.0,1143295.0,6559,645317.0,2212,7815,1918,681,367,2255,4232,1463,343,3111,11404,7808,770,404,16,1062,370,1811,592,361,1765,568,389,583,8449,341,187,6841,1105,870,1335,14649,5884,1155,1328,8367,2704,332,12266,4407,2152,2202,2840,778,83,91,565,300.1166439902992,320.9408045107384,202.84723315835492,184.0760712314341,90.2385726837476,76.8505042273634,58.787753826796276,304.04111564063174,158.83639381451596,81.09253973085318,295.67718883945037,334.3665653141773,353.77393911931955,1018.1694358013307,297382.75934055087,123152.96765405209,353.77393911931955,56827.37888553369,351.81955602268613,614.5583780244152,308.83490735342724,217.3660507070964,192.29924596836048,338.02662617018797,442.6861190505074,283.6987839240768,226.0376074904351,407.0294829616155,678.8711217896958,584.8204852773199,246.62319436743982,136.2497706420088,63.15061361538778,270.09813031563175,158.81750533237826,274.0328447467566,185.45080210125812,145.37881551312762,270.4126476332052,144.47837208385207,146.35231463834114,172.8120366178236,620.1338565180907,125.51892287619425,94.67840302835701,541.6308706120802,306.5729929396913,274.19336242877944,1322.879057208179,951.2723059145578,553.6786071359448,859.569659771679,251.32648089686052,607.5648113576033,384.8921926981632,131.43059004660978,872.2746127223926,307.0374569983278,311.58786882675645,313.646297602889,320.5932001774211,197.5145564255961,77.15568676384133,113.91663618629194,175.7498221905217
1.3,1.000000001,3062,3298,1181,819,304,80,0,4726,728,288,3710,4018,8744,13506.0,6418300.0,1191023.0,8744,680062.0,3665,9062,2561,1053,226,3258,5207,1895,419,3662,14441,10219,900,591,102,1224,323,2169,549,433,2095,889,556,1260,10720,309,220,8940,867,1347,1527,19159,7425,1499,1721,10645,3871,352,16353,5263,3481,3556,3386,750,170,13,869,346.8111878241531,370.75328724098995,235.83892808440257,197.05582965241095,127.54214989563255,79.03163923391695,65.72670690061994,371.33273488880565,218.13757127097568,126.4871534978948,316.83276345731673,375.1919508731497,408.31482951271806,1190.924850693779,330186.26180082053,103660.65314766254,408.31482951271806,40934.670915985145,501.3232490120521,641.4093856500698,360.842070717925,264.06817301598466,125.21581369779138,435.63516846094967,495.53607335894327,327.25677991448856,233.5508509939538,452.26983096377325,709.755591735634,725.2323765525089,323.13774152828387,193.08288375720932,105.08567932882197,257.9496074817715,128.195163715329,312.3411596315798,166.84423873781196,149.56269588369955,303.7647115778921,202.58825237411966,182.56779562672054,256.63398060272533,702.4257967928,123.74974747448982,110.67068265805538,627.1347542594016,270.0018518455012,414.282512302897,1512.3296598294964,1092.176725626398,628.7113805236867,987.5013924040816,299.9449949574088,699.9385687329996,468.7045978012164,133.33791658789335,1004.4301867228006,327.71176359721966,366.7901307287316,383.38231571109276,361.78999433372945,170.57549648176317,101.57755657624375,68.59300255857006,228.39439572809135
1.4,1.0,2462,2086,506,357,177,65,0,2689,245,135,2309,2964,5653,10434.0,5339900.0,820315.0,5653,532055.0,2065,5508,1798,702,316,2017,3608,713,329,2312,8979,5748,454,198,48,776,317,1132,580,287,1094,560,317,529,6375,427,110,5345,755,586,637,11093,4506,921,852,6279,1722,272,9438,2910,2743,2738,2090,489,84,58,194,319.7811751807789,309.8354401936615,172.45579143653018,129.22074136917803,114.17092449481173,99.2169340384997,50.91168824543143,331.8779896287188,110.77003204838391,84.80566018845676,317.64445532702126,346.3119980595532,365.27934515929036,932.3234417303901,457954.1900528916,146631.681590303,365.27934515929036,55672.52152543479,411.9368883700512,532.7494720785746,296.5569085352759,241.9834705098677,283.1006888017053,370.69664147386067,456.54244052442704,199.14316458266902,200.48690730319524,374.8853157967114,685.1875655614308,525.1314121246223,182.58148865643525,92.61209424259879,71.05631569396206,255.14309710435043,137.42998217274132,269.01486947750675,192.11975432005946,133.5926644692739,233.3880888134611,187.6406139405859,148.81532179181013,180.4771453674952,629.3933587193306,160.3652081967906,78.61297602813418,642.7869009244043,310.6750714170675,305.50122749344234,1452.3894105920767,1026.7906310441288,523.7852613428522,840.0000000000001,218.43992309099542,619.3004117550706,400.50717846250893,126.64517361510465,957.3055938413814,301.13618181812694,333.6989661356475,345.77449298639715,326.1717339071551,165.8101323803826,78.70832230456955,73.57988855658861,110.92790451459904
2.1,1.0,994,1132,293,115,76,0,0,1174,152,151,871,1436,2610,4494.0,1342400.0,201389.0,2610,180075.0,1540,2371,386,614,347,718,1720,397,256,1034,4125,2611,577,86,0,358,45,876,248,157,651,291,94,411,3363,146,0,2443,362,340,463,5054,2111,401,758,3270,757,285,3630,1499,1111,1154,966,162,48,34,246,218.11235636707977,247.89312213129273,124.1772926102031,87.54427451295714,64.35060217278468,33.941125496954285,33.941125496954285,229.91955114778733,99.9499874937461,117.49893616539683,196.25238852049674,238.725784112232,256.3318162070405,795.3533805799784,122503.6924586357,42859.26785422261,256.3318162070405,19046.938467900818,300.35811958393936,365.7157366042648,132.92479076530458,228.71379494905855,297.3869533116744,186.18807695446023,289.1816038409082,186.61993462650233,212.4876466997552,285.18941074310595,452.7018886640523,351.30898081318674,294.2193059607068,62.505999712027645,33.941125496954285,153.65871273702638,49.8196748283246,218.05962487356527,143.98611044125056,95.84362263604189,207.75466300422718,131.47243057006287,68.36665854054884,152.54507530562893,440.4690681534857,93.43982020530648,33.941125496954285,380.1289254976527,214.94883112033895,177.60630619434662,876.609377088792,621.7411036757985,309.1536834650365,572.9799298404787,204.86336910243372,436.76194889207096,229.99782607668274,119.95832609702421,491.05295030169606,218.7738558420544,223.30696361734894,228.0350850198276,237.9243577274088,89.11228871485683,51.730068625510256,62.6418390534633,133.93655214316965
2.2,0.999999999,668,927,614,307,224,62,94,1868,659,150,1059,1028,2896,4882.0,1538700.0,250095.0,2896,127090.0,2273,2933,506,1067,3053,465,1129,781,780,1606,4761,4168,549,209,24,322,21,914,130,126,529,217,127,561,3430,185,65,3925,858,2804,632,8093,1994,622,680,3296,2381,445,3341,1132,1764,1310,884,141,29,33,499,140.74800176201438,193.9793803474998,181.73607236869626,111.33283433021904,127.42841127472319,60.32412452742269,84.2436941260294,233.79050451205242,161.27306036657208,95.58242516278817,179.986110575233,159.7404144229005,233.64930986416374,740.204025927987,81269.53659274796,52072.988842585175,233.64930986416374,15125.290443492317,395.53508061864756,352.48404219198346,137.7171013345837,354.60964453889295,765.4710967763577,120.22894826122368,243.0041151914922,205.92231544929754,216.19898242128707,265.67273100564915,440.4179832840616,485.9516436848424,224.5662485771181,113.1591799192624,53.075418038862395,125.5866234915168,37.107950630558946,200.33471990646055,60.06662967072482,66.2872536767062,150.0499916694433,103.99038417084533,87.99431799837987,178.37320426566316,365.1424379608593,83.79140767405688,74.4983221287567,592.0363164536446,254.4995088403905,837.9289946051515,1314.8273650939882,893.3302860644544,294.23120160853097,494.6705974686589,183.55653080182137,352.7520375561281,434.28216633889076,189.58375457828657,468.01495702594804,146.48890742988016,235.77319610167734,222.83401894683854,188.904737897174,60.40695324215582,41.98809355043403,46.78675026115834,140.45995870709916
2.3,0.999999999,427,559,410,176,76,11,60,1059,247,14,798,660,1719,3939.0,921900.0,212989.0,1719,97608.0,1207,1976,409,1073,463,443,826,612,156,1090,3127,2337,253,92,3,307,125,611,169,85,315,188,157,217,2528,193,66,2333,511,730,751,4670,1824,371,285,2480,1078,219,2383,1067,652,579,614,269,92,12,153,107.63828315241747,122.73956167430286,120.36195412172403,74.47147104764348,59.12698199637792,29.5296461204668,56.480084985771754,146.81961721786362,96.52460826131335,20.518284528683193,126.51086909827156,132.30646242719968,136.5942897781602,372.8525177600387,57687.454563362386,37045.13297317206,136.5942897781602,13470.350292401456,270.63628729348176,237.43630724891253,110.70230349906906,335.59052430007614,218.65955272980872,116.67476162392619,176.55877208453848,166.80527569594432,102.27414140436477,201.69283576765935,292.5149568825499,357.7764665262376,122.87391912037315,50.49752469181039,28.635642126552707,132.67252918370102,60.90155991434045,141.95421797185176,83.38465086573187,66.39277069079132,92.00543462209176,74.98666548127073,64.6297145282261,75.11990415329349,302.0678731676045,84.65222974027324,47.3392015141785,333.325666578498,159.58383376770968,299.1655060330318,798.8566830164219,594.8857033077867,293.40074982862603,426.39183857104956,96.48315915225828,293.9676852989117,228.98908270919816,81.78019320104349,351.9232870953555,129.99230746471116,132.984961555809,117.80067911519016,122.53162856993292,98.41239759298621,54.369108876272755,32.31098884280702,78.9810103759125
2.4,1.0,1766,2015,879,558,154,116,10,3087,747,307,2033,2411,5498,8651.0,2673300.0,532001.0,5498,290620.0,3562,5624,1187,1493,1427,960,2387,1926,1047,3082,9402,6597,1907,242,46,855,358,1620,407,188,1052,624,392,807,7204,410,203,6101,1775,1854,1755,12698,5317,536,1231,7084,2325,638,8023,2821,2677,2304,1889,493,164,43,605,209.44211610848473,255.068618218706,171.2045560141435,138.47743498491008,74.444610281739,72.55342858886821,51.701063818842265,269.15608854343236,166.42716124479202,123.93546707863734,217.8095498365487,243.95286429964293,284.8719010362377,750.4478662771985,93175.57579645001,47939.07416711341,284.8719010362377,17870.010016785105,415.9531223587581,435.5513746964874,197.4107393228646,367.92662311933884,419.96904647842797,165.80711685570074,276.2770348762271,304.98196667999895,259.1466766138435,353.8431856062796,605.0099172740889,493.98582975627954,461.78025076869625,91.98912979260103,68.3593446428504,187.79776356495836,162.77899127344412,237.70149347448367,123.0690862889621,77.15568676384133,173.31185764395926,161.24515496597098,124.95199078045935,181.32567385784066,545.0211005089619,118.38074167701434,84.970583144992,482.7577032010986,336.71501303030726,435.311382805458,1199.5849282147556,846.0159572963148,483.5710909473394,762.7706077189918,220.6581065811995,547.0722072999139,306.82405381586364,169.43140204814455,641.4959080150084,207.4319165413076,269.8332818612263,264.69038516727426,215.32533524878116,138.7515765676196,77.09734106958553,59.07622195096772,143.63147287415805
2.5,0.999999999,1222,850,426,443,141,94,53,1711,473,121,1117,1518,3229,5894.0,1781100.0,341418.0,3229,152923.0,1431,3485,1173,1357,575,319,1158,1016,938,2146,5577,4227,925,31,9,771,206,636,210,72,840,288,234,488,3974,147,42,3703,796,1056,1983,7930,2951,269,674,3894,1841,118,4015,1347,1882,1148,941,322,115,65,638,228.8645887855961,186.90906880084765,148.03715749770393,197.07359031590204,95.11046209539727,61.43289021363068,72.18032973047436,274.4303190247025,167.66335318130794,113.05308487608819,218.654979362465,232.83041038489796,307.9058297596848,734.5311429748912,132690.965623135,40421.60565836048,307.9058297596848,14354.56993434495,361.00000000000006,450.5518838047401,255.31549110854985,550.4361906706354,268.71546289709494,139.64956140282,298.35549265934424,274.89088744445496,296.4101887587537,363.9807687227445,652.1027526394901,644.0597798341394,446.50419930836034,48.518037882832814,42.89522117905444,262.8174271238496,106.36728820459794,234.66785037580243,109.13752791776072,57.38466694161429,216.91933984778765,118.15244390193544,109.34806811279292,210.8506580497201,642.731670294844,88.30062287436029,55.154328932550705,580.5256238961377,261.8377360122104,328.1082138563434,1309.967175161271,1049.2316236179693,575.7438666629458,906.4789021262436,270.50508313153745,645.7940848289027,378.92611417003184,71.90966555338719,489.8356867358686,209.32988319874445,275.2725921700161,236.47621444872632,205.83974348992956,129.40247292845683,71.2320152740325,64.00781202322104,190.86120611585793
3.1,0.9999999999999999,863,762,316,245,199,61,40,1316,418,155,743,1170,2486,4299.0,1161600.0,204178.0,2486,115442.0,1505,2331,649,635,529,207,590,986,989,1284,4056,3349,2300,74,50,380,240,357,109,22,364,460,150,390,2916,157,163,2985,1394,1875,1600,6334,2073,271,495,2839,1849,287,3570,984,1502,831,830,291,81,0,453,209.08371529126796,191.22761306882435,143.11883174481267,102.5426740435415,117.95338062132853,64.5600495662759,54.74486277268397,212.34170574807013,146.6594695203825,99.92497185388645,165.01818081653911,237.1729326883656,246.06096805466728,534.2677231501076,87076.83718992095,32055.156652245518,246.06096805466728,12676.64652027499,302.4218907420559,352.9065031987934,177.78076386381068,260.68755244545144,306.66431158515985,100.72239075796404,158.41085821369697,243.89136926098882,260.2095309553437,286.56936333111395,450.26658770110845,529.6593244718722,644.5106670955881,73.3007503372237,58.489315263559035,143.68368035375485,151.62783385645264,132.69137123415373,65.1536645170477,50.20956084253277,130.3533658944026,175.06855799943062,79.435508432942,142.72000560538106,424.719907703889,87.13208364316786,109.74060324237333,405.9556626036888,396.5337312259828,690.9674377277123,1089.115696333498,754.3759009936624,332.9053919659458,550.8166664145158,196.33644592892068,392.4601890638081,383.79421569377513,135.4252561378416,674.6028461250368,158.6379525838631,246.4122561886888,197.5474626513841,191.1203809121361,131.19832316001603,63.43500610861482,37.94733192202055,170.07351351694948
