tract,household_family,household_family_margin,household_female_family,household_female_family_margin,household_male_family,household_male_family_margin,household_married_family,household_married_family_margin,household_nonfamily,household_nonfamily_margin,household_total,household_total_margin,median_gross_rent,median_gross_rent_margin,median_house_value,median_house_value_margin,median_household_income,median_household_income_margin,per_capita_income,per_capita_income_margin,population_19to34,population_19to34_margin,population_35to64,population_35to64_margin,population_65andover,population_65andover_margin,population_asian,population_asian_margin,population_black,population_black_margin,population_edu_advanced,population_edu_advanced_margin,population_edu_bachelor,population_edu_bachelor_margin,population_edu_highschool,population_edu_highschool_margin,population_edu_nodiploma,population_edu_nodiploma_margin,population_edu_somecollege,population_edu_somecollege_margin,population_edu_total,population_edu_total_margin,population_female,population_female_margin,population_hispanic,population_hispanic_margin,population_industry_administration,population_industry_administration_margin,population_industry_agriculture,population_industry_agriculture_margin,population_industry_art,population_industry_art_margin,population_industry_construction,population_industry_construction_margin,population_industry_education,population_industry_education_margin,population_industry_finance,population_industry_finance_margin,population_industry_informatin,population_industry_informatin_margin,population_industry_management,population_industry_management_margin,population_industry_manufacture,population_industry_manufacture_margin,population_industry_other,population_industry_other_margin,population_industry_retail,population_industry_retail_margin,population_industry_total,population_industry_total_margin,population_industry_transportation,population_industry_transportation_margin,population_industry_wholesale,population_industry_wholesale_margin,population_male,population_male_margin,population_no_health_insurance,population_no_health_insurance_margin,population_poverty,population_poverty_margin,population_race_other,population_race_other_margin,population_total,population_total_margin,population_trans_car,population_trans_car_margin,population_trans_other,population_trans_other_margin,population_trans_public,population_trans_public_margin,population_trans_total,population_trans_total_margin,population_under18,population_under18_margin,population_unemployed,population_unemployed_margin,population_white,population_white_margin,renure_renter,renure_renter_margin,tenure_owner,tenure_owner_margin,tenure_total,tenure_total_margin
53033000100,1429,515,294,272,88,131,1047,451,1971,578,3400,641,5185.0,887.0,1525100.0,296172.0,271002.0,105521.0,181394.0,45872.0,2227,788.6231124226015,2554,842.2152562227974,866,440.7884840292652,859,623,848,506,854,490.1424207007651,1398,599,926,638.7734238830504,447,445.0761633114689,1385,555.930130146927,5010,1157,3535,952,860,719,217,248.52570831609057,78,130.17493734918537,292,246.11526077241953,137,150.78729081370622,1018,519.8908852430858,203,200.84187653748958,59,124.80830631453121,640,452.7078383123644,307,321.3406833560565,87,137.1290003029695,341,263.34253142816914,3531,1010,132,192.32499691900523,20,93.66342243066889,3383,1042,758,534.8747745068113,1304,770.9690216566338,1003,2270.7292827902284,6918,1654,2467,843,296,1382.218943144132,685,409,3448,1006,1271,623.4523790720524,330,298,4208,1250,2319,538,1081,343,3400,641
53033000200,2062,650,552,467,213,276,1297,475,1510,592,3572,709,6066.0,1057.0,2112600.0,231025.0,376456.0,107863.0,191073.0,40959.0,2221,985.7721573988252,3178,962.623431498909,1212,592.5364051148034,1724,1123,635,809,1148,643.0021268515502,1952,698,806,505.62510238719244,499,534.4201447633549,1475,701.7855954640895,5880,1352,4338,1376,458,514,110,168.50012019471293,71,173.65796455079573,548,474.04597277165976,129,187.1271827912996,1074,560.4825685275131,179,214.37099994783162,97,164.87748508962918,533,360.34330920199534,401,318.7028170609897,242,274.7077915059606,630,461.28152246590395,4099,1223,71,151.0777374122698,14,110.7950572845314,3636,1056,954,607.4653692610957,929,765.2426041038551,768,2988.4068551789273,7974,2053,2873,1003,435,1707.9029975946873,699,564,4007,1204,1363,696.0882539405845,339,370,4847,1379,1655,626,1917,464,3572,709
53033000300,601,151,154,107,31,39,416,119,486,137,1087,138,2634.0,711.0,674000.0,62364.0,141413.0,49896.0,75369.0,19256.0,688,290.1881573218136,1085,242.5314780665937,329,138.3251087132335,212,141,119,109,206,115.3608724741245,428,182,404,208.16877010285498,191,142.87764386732312,687,213.39566959086125,1916,317,1265,297,160,116,115,75.85300679852301,0,33.941125496954285,70,57.572614336484094,79,74.37227302601633,373,141.866789318957,83,79.88915543595172,5,31.3927678503331,260,141.4198926981712,116,75.09566409881543,70,63.38238371290882,143,107.12577079664632,1444,274,102,72.44351458692114,28,38.2380787878091,1372,265,390,217.81276604003216,365,266.2589494298643,323,593.1421128642678,2637,413,960,223,134,407.39322942479237,309,182,1403,286,535,179.81166195201217,34,52,1983,383,479,145,608,153,1087,138
53033000401,1161,384,454,272,13,46,694,318,2140,452,3301,513,2483.0,571.0,853200.0,193593.0,119606.0,28894.0,89284.0,17443.0,1741,613.0780028092198,2118,586.6510422792342,1226,392.51210622011354,884,574,1003,559,572,287.98559719928005,1194,467,862,324.28433293909245,358,269.39739105449087,1501,561.0580101090588,4487,781,3118,636,499,417,140,132.80786595276695,0,50.91168824543143,344,243.41685465420682,63,102.87748912813527,927,394.1298230828714,245,208.72306471721583,54,121.76481250678097,303,213.73252358025985,177,175.35241547583453,137,152.3595111287253,401,253.30962503972034,2859,777,68,90.80060140027228,0,50.91168824543143,2789,679,659,349.48415580591086,1412,653.1238816760016,482,1631.9410013464253,5907,1065,1976,661,330,1052.6880875332768,385,254,2691,776,822,415.87925308063205,215,177,3538,810,2324,507,977,276,3301,513
53033000402,931,330,157,181,44,83,730,284,1368,461,2299,460,4058.0,938.0,1594800.0,265120.0,238422.0,97583.0,172420.0,43077.0,1031,530.939454156338,2063,688.7789055208945,1296,466.7862047147738,318,265,408,374,678,385.431450329944,1530,546,671,394.1055700074291,236,279.28588489444957,1030,472.68286760349304,4145,1022,2492,670,197,171,158,158.26575991384735,0,67.88225099390857,165,175.4738635233666,79,124.6506744957461,501,309.1432500704811,145,148.2983283765222,221,209.50572995204146,254,186.9306621966931,275,203.14175669402206,179,196.93255347857902,371,292.9433392324447,2661,897,146,188.9181209953192,167,246.83267239076162,2414,848,356,351.5303752581325,337,321.57712473101634,280,1682.9000686220484,4906,1193,1838,704,400,1201.8120268957964,406,307,2644,900,516,333.31459431333616,86,100,3900,992,1251,424,1048,326,2299,460
53033000500,951,174,58,60,41,49,852,176,295,138,1246,170,,,1715200.0,208615.0,368095.0,83067.0,173525.0,27899.0,264,164.39360972980143,1583,335.0904710699398,629,202.64018731146442,253,186,32,60,683,224.95917931155785,984,309,135,98.10525166682281,47,142.7091995725728,504,193.33995542288108,2353,355,1528,287,47,68,64,66.91025491210274,21,59.883369039099975,80,82.66987671015032,70,82.9140054129435,436,172.94499122167298,101,82.46237133015848,43,64.12879185039097,268,137.1361464310807,188,127.73731038702532,22,53.40869947991856,116,90.89053955760966,1581,309,93,80.66532158422724,79,71.98866242639703,1516,328,119,134.3164825433492,150,128.863155782179,97,778.9404167920343,3044,529,1239,261,150,417.8419376081257,148,110,1537,303,568,231.15745638655864,95,95,2662,532,63,78,1183,160,1246,170
53033000600,1816,614,234,274,235,219,1347,526,1529,558,3345,693,7804.0,2376.0,2164400.0,488967.0,386993.0,120604.0,197063.0,42070.0,2162,937.257010214005,3115,961.0659985919723,1061,547.4413487876116,1108,941,524,610,1020,606.8443577832014,1645,794,1208,759.901292324244,383,396.1730964142037,1535,723.2156857923522,5791,1415,3845,1159,910,667,101,174.4992031129899,0,101.82337649086284,702,564.2590649197836,257,301.1036972484062,1023,630.86036541003,231,266.87468648254816,59,131.88707137497295,744,466.3868229312193,237,253.41333944479751,209,235.13422829262691,538,432.4479998516276,4348,1274,234,259.6620092269196,13,109.91274191466906,3829,1225,1122,804.5061879385519,792,655.3213898360241,1005,2847.788119293997,7674,2033,3091,1068,393,1730.9298257407424,788,499,4272,1253,1336,719.2323506643849,253,258,5037,1518,1595,653,1750,505,3345,693
53033000700,1063,367,227,190,104,129,732,330,1106,379,2169,388,3781.0,937.0,1249100.0,162643.0,279678.0,99516.0,146338.0,34471.0,1671,594.7913415347844,1782,607.8661615837883,628,361.48425650430704,871,679,434,427,584,334.52114911231257,1153,513,503,330.14375161654937,209,286.2611531829769,910,418.91678275640163,3359,788,2549,784,552,503,102,122.06354788647131,0,67.88225099390857,350,280.5307420902226,15,77.7445039754289,769,463.1147074747174,136,144.19248511433616,46,101.10674796180257,607,381.73219782653734,127,147.42018254132984,180,190.32182872119398,392,297.8836830778497,2878,819,110,163.82113278764842,44,95.70358371063027,2343,662,584,346.72627412876454,720,500.609117358512,375,1792.3245377524377,4892,1218,1869,591,134,1100.9659044201226,765,450,2768,792,811,423.7804921669978,122,121,3212,937,1087,380,1082,335,2169,388
53033000800,666,130,61,47,13,31,592,122,354,109,1020,124,2625.0,1971.0,836000.0,70915.0,169125.0,59657.0,90468.0,15166.0,382,169.4356293624624,1273,235.98777269061003,393,134.2553261903986,262,192,24,36,613,185.36401473375977,518,150,178,100.59879675338496,70,106.04209300886731,516,183.2557185464505,1895,265,1288,222,48,73,126,82.45234736349522,12,39.44276780272138,98,71.96576218267546,32,45.79601263362543,409,136.5637551920126,70,55.01112724964295,37,46.362516725046085,233,98.41018053833368,122,90.39876722862822,94,64.42596310777778,119,95.25587407060661,1408,239,49,50.35522545207313,7,33.24938334457685,1199,260,178,137.79465000565995,177,125.7822821185367,97,579.8747539182821,2487,397,991,241,157,360.56211235892624,228,115,1376,242,439,159.42120392087034,72,61,2104,370,269,106,751,116,1020,124
53033000900,536,99,7,20,24,26,505,97,308,84,844,90,3087.0,1216.0,1307200.0,151592.0,239984.0,70021.0,133877.0,21254.0,305,125.03224629061154,978,167.0039356534056,343,97.62649225204692,142,80,17,26,669,146.00686983061493,489,128,87,54.13222550973527,38,94.14878002277837,223,79.64718903331507,1506,183,1119,207,67,60,28,25.735913600840718,13,31.240998703626616,47,32.05369530935525,40,36.278820596099706,425,102.2967383924798,52,34.271638343135166,11,33.24938334457685,230,89.18832627204016,50,37.492855684535904,40,34.93370726764127,84,55.65267157973902,1083,176,41,39.78659129900245,22,42.453315081810786,852,122,49,54.72472212066599,139,70.68302950474352,165,412.20975347356386,1971,283,784,154,122,254.1648472875458,161,95,1067,177,345,114.57064592502986,53,36,1647,287,138,74,706,84,844,90
53033001000,506,90,135,82,30,33,341,73,286,86,792,92,2099.0,542.0,828000.0,61912.0,142500.0,45288.0,67974.0,12086.0,493,167.71681936335764,885,171.14826075106305,169,70.14008725792382,209,130,484,255,369,102.03671158307756,379,106,153,89.92290393748944,64,98.69588440152313,415,145.84785933989335,1380,196,984,174,112,106,22,35.32812249916296,0,33.941125496954285,118,78.747018367896,29,36.894348724188006,286,77.0459625809444,88,62.304250089695046,14,29.51294334126311,154,65.11719444323302,80,58.4365667088406,53,47.64146777668229,81,58.51856101617615,1004,190,33,43.24154027718932,46,45.27571355622699,1110,248,176,113.88660102393212,429,233.82495065843148,229,484.8212179741824,2094,316,510,152,223,251.93209246148734,233,89,966,180,547,169.6788582247674,123,58,1172,207,384,103,408,72,792,92
53033001100,629,144,74,59,13,29,542,128,462,157,1091,178,2107.0,886.0,793500.0,59188.0,128872.0,48494.0,79596.0,12753.0,747,252.29801718549697,1115,258.49740875357816,316,135.04953878457047,347,285,118,143,574,179.8486644868342,597,220,219,146.83462839141757,49,112.85374642265771,484,185.17014979470306,1923,391,1359,298,155,128,48,62.05992817228333,16,44.70141199620124,141,92.71355310873648,66,73.96936133451166,567,183.3890905176186,103,85.28363390946268,51,49.25117025464101,253,132.154669294982,90,59.70508834566936,67,54.29187616548944,95,64.91080618908471,1534,337,0,33.941125496954285,37,67.77410593199929,1310,337,155,123.8296747459867,335,191.97497281759456,270,764.4042994187334,2669,551,933,262,231,452.4928935494109,333,150,1497,334,491,185.13714219732356,61,64,1934,410,372,141,719,150,1091,178
53033001200,1189,532,178,235,144,192,867,440,2379,674,3568,734,4849.0,604.0,1608800.0,310589.0,230717.0,75232.0,157847.0,51120.0,2283,879.425059912038,2180,784.3649161888,1139,575.8570630848441,1244,903,368,468,688,429.31588232517856,1468,723,704,494.02270787992387,450,435.0453554693899,1542,773.2698841649517,4852,1202,3320,1002,660,629,60,124.64680654351602,24,104.88225099390857,553,460.3125450486919,43,114.26493307633547,757,445.4977530286633,328,339.247285216008,100,148.6517498388603,461,310.4544018780351,265,272.27751087252733,112,187.55053482134184,428,402.3559296280617,3299,1053,61,123.94627335530467,107,170.2789525947484,3236,1033,922,644.1191935271032,1641,1067.4006068371013,856,2373.0031529350863,6556,1607,1845,811,539,1426.9474851721038,835,498,3219,1055,954,606.818394242571,230,284,4088,1324,2645,701,923,335,3568,734
53033001300,1003,315,91,100,35,63,877,319,1177,348,2180,317,2854.0,534.0,954200.0,132609.0,175929.0,49103.0,121802.0,26925.0,1742,601.8358605888759,1715,511.9237552534785,465,284.15881174060786,878,461,229,213,716,350.50219262717576,1089,422,368,269.8471664984962,287,292.57658881832975,956,366.70721536194003,3416,614,2287,575,382,328,128,140.6922259380964,34,88.28263817372837,248,222.6360895879979,64,102.50334301052897,502,263.17733121078993,202,179.04948742586654,34,76.34988308249825,629,289.964856361436,117,125.0159845191626,199,161.06524846368134,406,282.43594834230237,2704,613,79,90.87585565236617,62,97.17090290048313,2102,517,501,363.24203157960255,573,376.37035943751675,380,1305.4305792441132,4389,851,1944,530,312,874.8397225558587,526,297,2782,623,467,281.9762996828879,229,197,2902,838,1213,341,967,306,2180,317
53033001400,1371,400,187,164,34,76,1150,394,838,368,2209,379,6008.0,1764.0,1625800.0,219441.0,307414.0,136574.0,150000.0,30325.0,1651,708.0125419799994,2396,676.0411585695208,562,357.7553203938018,352,343,0,48,882,437.87265741324137,1325,519,451,317.8426473869068,382,353.9059048637371,1016,486.5683948725467,4056,937,2674,655,386,477,62,111.24798540158955,27,84.29635094902741,234,214.92719343256675,138,161.36525826512306,856,393.52130536709785,306,250.98697656461235,148,142.088822485667,607,420.3615902158971,158,163.5580478898504,252,278.25817585079426,358,247.54151198103506,3427,960,169,190.46349753027474,112,145.07396944605148,2831,888,619,495.723183205499,407,367.4775069551774,426,1842.1895294181336,5505,1271,2605,865,234,1354.3869149311627,462,345,3301,973,896,456.157897282794,243,239,4727,1281,919,385,1290,339,2209,379
