long,lat,OBJECTID,GIS_ID,name,ADDRESS
-122.356032,47.723004,1,,Broadview,12755 GREENWOOD AV N
-122.363319,47.553047,2,,Delridge,5423 DELRIDGE WAY SW
-122.326717,47.681501,3,,Green Lake,7364 E GREEN LAKE DR N
-122.322834,47.596249,4,,International District,713 8TH AV S
-122.337025,47.616804,5,,Mobile Services,2025 9TH AV
-122.298087,47.719861,6,,Lake City,12501 28TH AV NE
-122.290014,47.612674,7,,Madrona\Sally Goldmark,1134 33RD AV
-122.401344,47.645316,8,,Magnolia,2801 34TH AV W
-122.301591,47.639747,9,,Montlake,2401 24TH AV E
-122.290951,47.538994,10,,Newholly,7058 32ND AV S
-122.290711,47.677854,11,,North East,6801 35TH AV NE
-122.322677,47.706193,12,,Northgate,10548 5TH AV NE
-122.362744,47.633781,13,,Queen Anne,400 W GARFIELD ST
-122.270465,47.521356,14,,Rainier Beach,9125 RAINIER AV S
-122.376182,47.522442,15,,Southwest,9010 35TH AV SW
-122.336823,47.61668,16,,Talking Book & Braille,2021 9TH AV
-122.317863,47.665539,17,,University,5009 ROOSEVELT WY NE
-122.339104,47.661174,18,,Wallingford,1501 N 45TH ST
-122.384757,47.582695,19,,West Seattle,2306 42ND AV SW
-122.384204,47.669843,20,,Ballard,5614 22ND AV NW
-122.311407,47.578046,21,,Beacon Hill,2821 BEACON AV S
-122.322451,47.622914,22,,Capitol Hill,425 HARVARD AV E
-122.332968,47.606485,23,,Central,1000 4TH AV
-122.286879,47.559947,24,,Columbia,4721 RAINIER AV S
-122.301832,47.601903,25,,Douglas-Truth,2300 E YESLER WAY
-122.3484,47.650068,26,,Fremont,731 N 35TH ST
-122.354965,47.687497,27,,Greenwood,8016 GREENWOOD AV N
-122.375814,47.548042,28,,High Point,3411 SW RAYMOND ST
-122.32259,47.52627,29,,South Park Branch,8604 8th Ave S
