long,lat,name,Address,Website,enroll_val,math_perc,reading_perc,isa_perc,s_per_t,fam_sat,stu_sat,red_lunch
-122.29301,47.70994,Adams,11051 34th Ave NE,http://www.seattleschools.org/schools/janeaddams/,544,0.648026667,0.753486667,0.95943,18,0.871,0.608,0.18382
-122.407827,47.577141,Alki,3010 59th Ave SW,http://www.seattleschools.org/schools/alki/,413,0.760296667,0.81971,0.95864,18,0.848,0.648,0.2155
-122.377586,47.509701,Arbor Heights,3701 SW 104th St,http://arborheights.wikispaces.com/,410,0.410233333,0.62836,0.95334,16,0.768,0.586,0.3122
-122.349124,47.654636,B.F. Day,3921 Linden Ave N,http://www.seattleschools.org/schools/bfday/,283,0.532953333,0.624,0.95652,15,0.887,0.431,0.34629
-122.315483,47.601201,Bailey Gatzert,1301 E Yesler Wy,http://www.seattleschools.org/schools/gatzert/index.html,291,0.482396667,0.342373333,0.95281,10,0.891,0.601,0.82474
-122.315104,47.58547,Beacon Hill International,2025 - 14th Ave S,http://beaconhillinternationalschool.org/,459,0.63339,0.585993333,0.97033,14,0.873,0.545,0.6122
-122.353151,47.724632,Broadview-Thomson K-8,13052 Greenwood Ave N,http://web.me.com/broadview_thomson/broadview_thomson/Home/Home.html,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115
-122.292207,47.671842,Bryant,3311 NE 60th St,http://www.bryantschool.org/,592,0.84699,0.922686667,0.96633,19,0.806,0.589,0.05912
-122.358753,47.646227,Cascade Parent Partnership,,,121,0.301743333,0.368733333,0.99974,23,0.841,0.618,0.12397
-122.33973,47.659777,Cascadia ,,,754,0.932586667,0.919496667,0.96597,20,0.866,0.61,0.04244
-122.399477,47.642806,Catharine Blaine K-8,,,530,0.825233333,0.84036,0.95643,21,0.819,0.656,0.06415
-122.324689,47.523611,Concord International School,723 S Concord,http://www.seattleschools.org/schools/concord/,391,0.32012,0.3415,0.95581,14,0.797,0.555,0.82864
-122.342306,47.686358,Daniel Bagley,7821 Stone Ave N,http://www.danielbagley.com/,432,0.71604,0.761426667,0.95653,15,0.839,0.649,0.15509
-122.296286,47.552261,Dearborn Park,2820 S Orcas St,http://www.seattleschools.org/schools/dearborn/,371,0.45027,0.41031,0.95596,15,0.85,0.539,0.80054
-122.274656,47.524989,Dunlap,4525 S Cloverdale,http://www.seattleschools.org/area/main/ShowSchool?HighSel=heading&MiddleSel=heading&ElementarySel=219&AlternativeSel=heading&ElementaryBtn.x=12,298,0.429603333,0.438003333,0.94797,12,0.782,0.555,0.81208
-122.258635,47.514821,Emerson,9709 60th Ave S,http://www.emerson.seattleschools.org,313,0.311333333,0.326703333,0.93984,13,0.688,0.467,0.71565
-122.380448,47.552832,Fairmount Park,,,473,0.901596667,0.890326667,0.96248,18,0.916,0.69,0.12896
-122.365599,47.640516,Frantz Coe,2424 7th Ave W,http://www.seattleschools.org/schools/coe/,545,0.78289,0.85401,0.96336,17,0.919,0.662,0.14312
-122.388497,47.540252,Gatewood,4320 SW Myrtle St,http://www.gatewoodelementary.org/,430,0.651516667,0.60606,0.95161,15,0.809,0.566,0.32791
-122.39602,47.566557,Genesee Hill,,,640,0.758506667,0.8064,0.95131,19,0.784,0.572,0.13125
-122.268533,47.545757,Graham Hill,5149 S Graham St,http://www.grahamhillelementary.org/,352,0.571183333,0.342936667,0.95627,12,0.87,0.596,0.69602
-122.328498,47.676302,Green Lake,2400 N 65th,http://www.greenlakedragons.org/,334,0.625,0.630253333,0.95744,16,0.877,0.689,0.15269
-122.35996,47.687253,Greenwood,144 NW 80th St,http://www.greenwoodpta.org,347,0.66498,0.769086667,0.96017,19,0.897,0.674,0.19308
-122.283385,47.565906,Hawthorne,4100 39th Ave S,http://www.seattleschools.org/schools/hawthorne/,390,0.495076667,0.54377,0.95187,16,0.857,0.505,0.64359
-122.314053,47.713317,Hazel Wolf,,,477,0.733053333,0.744416667,0.9489,18,0.87,0.603,0.20964
-122.348278,47.525177,Highland Park,1012 SW Trenton St,http://www.seattleschools.org/schools/hpel/,353,0.32321,0.3545,0.95198,11,0.832,0.57,0.83003
-122.351717,47.632778,John Hay,,,499,0.746053333,0.84868,0.96024,15,0.846,0.591,0.14028
-122.290579,47.573242,John Muir,3301 S Horton St,http://www.seattleschools.org/schools/muir/,397,0.375683333,0.391753333,0.96242,14,0.744,0.49,0.70025
-122.284635,47.707425,John Rogers,4030 NE 109th St,http://www.seattleschools.org/schools/rogers/,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445
-122.324054,47.657528,John Stanford International,4057 5th Ave NE,http://www.jsisweb.com/index.asp,450,0.90382,0.911193333,0.96227,17,0.879,0.589,0.09111
-122.303012,47.574044,Kimball,3200 23rd Ave S,http://www.kimballcougars.org/Kimball/Welcome.html,429,0.60442,0.660776667,0.95972,17,0.815,0.598,0.57576
