name,Address,Website,long,lat,enroll_val,math_perc,reading_perc,isa_perc,s_per_t,fam_sat,stu_sat,red_lunch
Ballard,1418 NW 65th St,http://ballardbeavers.org/,-122.374888,47.67661,1708,0.11138,0.898485,0.92536,21,0.705,0.514,0.1534
Cascade Parent Partnership,,,-122.358753,47.646227,30,-,-,0.99974,23,-,-,0.13333
Chief Sealth,5950 Delridge Wy SW,http://www.seattleschools.org/schools/chiefsealth/,-122.366155,47.528631,1174,0.32937,0.713955,0.85841,18,0.588,0.424,0.67206
Cleveland,5511 15th Ave S,http://www.seattleschools.org/schools/cleveland/,-122.31391,47.55237,842,0.40952,0.69205,0.89692,19,0.803,0.533,0.67221
Franklin,3013 S Mt. Baker Blvd,http://www.franklinquakers.org,-122.293647,47.575887,1308,0.53114,0.69865,0.91117,19,0.757,0.491,0.72324
Garfield,400 23rd Ave,http://ghs.seattleschools.org/,-122.301903,47.605421,1722,0.01081,0.84383,0.90211,22,0.691,0.496,0.37689
Ingraham,1819 N 135TH St,http://www.ingrahamhigh.org,-122.336837,47.725699,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
Interagency Academy,,,-122.286994,47.558128,362,0.01439,0.26476,0.5739,12,0.742,0.578,0.81215
Middle College ,,,-122.324191,47.70621,117,0.08696,0.665345,0.69942,10,0.819,0.661,0.40171
Nathan Hale,10750 30th Ave NE,http://www.seattleschools.org/schools/hale/,-122.294532,47.707628,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
Nova,,,-122.872274,47.029859,344,0.04878,0.70669,0.99668,20,0.806,0.725,0.34884
Rainier Beach,8815 Seward Pk S,http://www.seattleschools.org/schools/rainierbeach/,-122.265859,47.524072,673,0.18881,0.60674,0.84828,15,0.676,0.483,0.82318
Roosevelt,1410 NE 66th St,http://www.rhsseattle.org/,-122.312808,47.67723,1725,0.46353,0.944285,0.92437,21,0.733,0.57,0.14145
Seattle World,,,-122.309127,47.613464,160,0.11765,0.080645,0.89515,11,-,0.709,0.975
South Lake,,,-122.270493,47.525748,96,-,0.291855,0.49102,9,-,0.442,0.95833
The Center School,,,-122.350063,47.621066,270,-,0.93277,0.88378,18,0.773,0.552,0.2
West Seattle HS,3000 California Ave SW,http://www.seattleschools.org/schools/wshs/,-122.384592,47.57678,1007,0.33621,0.74494,0.89445,19,0.626,0.477,0.33962
