long,lat,OBJECTID,GIS_ID,name,ADDRESS
-122.32891,47.714558,1,,Northgate Elementary,Elementary School
-122.312644,47.677219,2,,Roosevelt High School,High School
-122.294437,47.681639,3,,Eckstein Middle School,Middle School
-122.304968,47.622189,4,,Seattle World School,High School
-122.295507,47.575868,5,,Franklin High School,High School
-122.308984,47.573269,6,,Denise Louie Education Center Beacon Hill Site ,Elementary School
-122.363312,47.562385,7,,Southwest Youth and Family Services,High School
-122.311661,47.563877,8,,Mercer Middle School,Middle School
-122.314523,47.552298,9,,Cleveland High School,High & Middle School
-122.365856,47.528285,10,,Chief Sealth Intl HS,High School
-122.371005,47.527366,11,,David T. Denny Intl MS,Middle School
-122.313796,47.553774,12,,Denise Louie Education Center Lake Washington Site,Elementary School
